# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 20:32:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkd37ey9d/ghaz6qxv.json
# random
#   seed = 15198
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727213247.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 4.36599e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43903e-05, 2.43904e-05, 2.46095e-05
-679152,0.916667,4.36599e-05,3,12,1,679153,119.051,0.0732595,0.525734,2.92884e-06,1.19051,0.0732595,0.452474,4.15e-05,2.92808e-05,0.474237,1.19051,0.0732595,0.452474,2.92808e-05,0.474237,2.92884e-06,119.051,0.525734,0.0167474,0.414872,1070.55,0,0,2.53998,2.53998,0.0370003,215.663,1.84168,0.103831,-85.9075,0.100975,0.0815515
-679152,0.969697,4.36599e-05,5,33,1,679153,119.05,0.0732597,0.525736,4.82023e-06,1.1905,0.0732597,0.452476,4.15e-05,2.92811e-05,0.474235,1.1905,0.0732597,0.452476,2.92811e-05,0.474235,4.82023e-06,119.05,0.525736,0.0167475,0.414873,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84168,0.103831,-85.9077,0.100975,0.0815506
-679152,0.966665,4.36599e-05,4,30,1,679157,119.051,0.0732594,0.525737,6.01544e-06,1.19051,0.0732594,0.452478,4.15e-05,2.9281e-05,0.474234,1.19051,0.0732594,0.452478,2.9281e-05,0.474234,6.01544e-06,119.051,0.525737,0.0167475,0.414873,1070.55,0,0,2.53997,2.53997,0.0370002,215.662,1.84168,0.103831,-85.9077,0.100975,0.0815508
-679151,0.97826,4.36599e-05,5,46,1,679153,119.05,0.0732593,0.525736,5.65599e-06,1.1905,0.0732593,0.452477,4.15e-05,2.92813e-05,0.474235,1.1905,0.0732593,0.452477,2.92813e-05,0.474235,5.65599e-06,119.05,0.525736,0.0167477,0.414876,1070.55,0,0,2.53997,2.53997,0.0370004,215.662,1.84167,0.103829,-85.9082,0.100975,0.0815493
-679152,0.962961,4.36599e-05,4,27,1,679154,119.05,0.0732592,0.525737,6.82513e-06,1.1905,0.0732592,0.452478,4.15e-05,2.92812e-05,0.474234,1.1905,0.0732592,0.452478,2.92812e-05,0.474234,6.82513e-06,119.05,0.525737,0.0167476,0.414875,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84167,0.10383,-85.908,0.100975,0.0815498
-679152,0.982456,4.36599e-05,5,57,1,679153,119.05,0.073259,0.525738,8.3115e-06,1.1905,0.073259,0.452479,4.15e-05,2.92811e-05,0.474232,1.1905,0.073259,0.452479,2.92811e-05,0.474232,8.3115e-06,119.05,0.525738,0.0167476,0.414875,1070.55,0,0,2.53997,2.53997,0.0370002,215.662,1.84167,0.10383,-85.908,0.100975,0.0815499
-679152,0.979996,4.36599e-05,5,50,1,679152,119.05,0.073259,0.525737,6.93078e-06,1.1905,0.073259,0.452478,4.15e-05,2.92812e-05,0.474234,1.1905,0.073259,0.452478,2.92812e-05,0.474234,6.93078e-06,119.05,0.525737,0.0167477,0.414875,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84167,0.103829,-85.9082,0.100975,0.0815495
-679150,0.966667,4.36599e-05,4,30,1,679152,119.05,0.0732589,0.525738,4.95624e-06,1.1905,0.0732589,0.452479,4.15e-05,2.92811e-05,0.474232,1.1905,0.0732589,0.452479,2.92811e-05,0.474232,4.95624e-06,119.05,0.525738,0.0167477,0.414875,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84168,0.10383,-85.908,0.100976,0.0815496
-679151,0.981481,4.36599e-05,5,54,1,679153,119.05,0.0732594,0.52574,6.35794e-06,1.1905,0.0732594,0.452481,4.15e-05,2.92811e-05,0.474231,1.1905,0.0732594,0.452481,2.92811e-05,0.474231,6.35794e-06,119.05,0.52574,0.0167475,0.414874,1070.55,0,0,2.53996,2.53996,0.0370001,215.662,1.84168,0.10383,-85.9077,0.100976,0.0815505
-679150,0.983331,4.36599e-05,5,60,1,679153,119.05,0.0732594,0.525738,2.75169e-06,1.1905,0.0732594,0.452478,4.15e-05,2.92813e-05,0.474233,1.1905,0.0732594,0.452478,2.92813e-05,0.474233,2.75169e-06,119.05,0.525738,0.0167477,0.414875,1070.55,0,0,2.53997,2.53997,0.0370003,215.662,1.84168,0.10383,-85.908,0.100976,0.0815495
