# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:22:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpwbqecknw/m1gsq8qu.json
# random
#   seed = 53331
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/cmb/cmb-20230727222250.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,zeta,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 5.0045e-05
# Diagonal elements of inverse mass matrix:
# 2.43903e-05, 2.43912e-05, 2.43915e-05, 0.000116271
-589120,0.888888,5.0045e-05,3,9,1,589122,70.7293,0.201615,0.876866,1.63759e-06,0.707293,0.201615,0.675251,4.15e-05,8.29562e-05,0.123051,0.707293,0.201615,0.675251,8.29562e-05,0.123051,1.63759e-06,70.7293,0.876866,0.0171932,0.420449,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100861,-77.8285,0.179122,0.0785805
-589120,0.8,5.0045e-05,2,5,1,589124,70.7293,0.201614,0.876866,6.94863e-07,0.707293,0.201614,0.675252,4.15e-05,8.29562e-05,0.123051,0.707293,0.201614,0.675252,8.29562e-05,0.123051,6.94863e-07,70.7293,0.876866,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8286,0.179123,0.0785803
-589120,0.5,5.0045e-05,1,2,1,589123,70.7293,0.201614,0.876866,1.48473e-06,0.707293,0.201614,0.675252,4.15e-05,8.29562e-05,0.123051,0.707293,0.201614,0.675252,8.29562e-05,0.123051,1.48473e-06,70.7293,0.876866,0.0171932,0.42045,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8286,0.179122,0.0785803
-589121,0.888889,5.0045e-05,3,9,1,589124,70.7293,0.201613,0.876868,4.70475e-06,0.707293,0.201613,0.675255,4.15e-05,8.29562e-05,0.123049,0.707293,0.201613,0.675255,8.29562e-05,0.123049,4.70475e-06,70.7293,0.876868,0.0171933,0.420451,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8288,0.179122,0.0785799
-589121,0.923076,5.0045e-05,3,13,1,589121,70.7293,0.201613,0.876868,4.49721e-06,0.707293,0.201613,0.675255,4.15e-05,8.29562e-05,0.123049,0.707293,0.201613,0.675255,8.29562e-05,0.123049,4.49721e-06,70.7293,0.876868,0.0171933,0.420451,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.10086,-77.8288,0.179122,0.0785798
-589120,0.916666,5.0045e-05,3,12,1,589121,70.7293,0.201613,0.876869,3.89361e-06,0.707293,0.201613,0.675256,4.15e-05,8.29562e-05,0.123048,0.707293,0.201613,0.675256,8.29562e-05,0.123048,3.89361e-06,70.7293,0.876869,0.0171933,0.420451,1067.89,0,0,2.05019,2.05019,0.0287871,223.741,1.91982,0.100859,-77.8289,0.179122,0.0785795
-589122,0.95238,5.0045e-05,4,21,1,589124,70.7293,0.201613,0.876864,7.32624e-06,0.707293,0.201613,0.675251,4.15e-05,8.29562e-05,0.123053,0.707293,0.201613,0.675251,8.29562e-05,0.123053,7.32624e-06,70.7293,0.876864,0.0171933,0.420451,1067.89,0,0,2.05019,2.05019,0.0287872,223.741,1.91982,0.10086,-77.829,0.17912,0.0785798
-589123,0.92857,5.0045e-05,3,14,1,589125,70.7293,0.201612,0.876863,8.85201e-06,0.707293,0.201612,0.675251,4.15e-05,8.29562e-05,0.123054,0.707293,0.201612,0.675251,8.29562e-05,0.123054,8.85201e-06,70.7293,0.876863,0.0171934,0.420452,1067.89,0,0,2.05019,2.05019,0.0287872,223.741,1.91982,0.100859,-77.8293,0.179119,0.0785792
-589123,1,5.0045e-05,3,7,0,589123,70.7293,0.201612,0.876863,9.35195e-06,0.707293,0.201612,0.675251,4.15e-05,8.29562e-05,0.123054,0.707293,0.201612,0.675251,8.29562e-05,0.123054,9.35195e-06,70.7293,0.876863,0.0171934,0.420452,1067.89,0,0,2.05019,2.05019,0.0287872,223.741,1.91982,0.100859,-77.8293,0.179119,0.0785792
-589123,0.933331,5.0045e-05,3,15,1,589125,70.7293,0.201611,0.876864,1.02858e-05,0.707293,0.201611,0.675253,4.15e-05,8.29562e-05,0.123053,0.707293,0.201611,0.675253,8.29562e-05,0.123053,1.02858e-05,70.7293,0.876864,0.0171934,0.420453,1067.89,0,0,2.05019,2.05019,0.0287872,223.74,1.91982,0.100859,-77.8295,0.179119,0.0785788
