lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.170091
# Diagonal elements of inverse mass matrix:
# 0.000689728, 106.591, 5.11679e-05
-46.7976,0.780993,0.170091,2,3,0,49.455,0.224121,71.1914,0.0136075,0.224121,71.1914,0.0136075,3.26018e+07,1.37001e+06,57571.6,23.815,23.7552,23.7804,23.7792,23.7801,23.7703,23.7401,23.7719,23.7677,23.8745,23.8092,23.8725,23.8483,23.7909,23.8172,23.8714,23.7964,23.74,23.8128,23.8104,23.7936,23.7988,23.7879,23.787,23.7556,23.7872,23.8232,23.7953,23.7899,23.8011,23.7911,23.812,23.7864,23.8131,23.7731,23.7697,23.8168,23.8277,23.8177,23.7672
-47.7896,0.886532,0.170091,2,3,0,48.2982,0.224078,72.3942,0.0150443,0.224078,72.3942,0.0150443,3.26074e+07,1.37013e+06,57571.6,23.815,23.7553,23.7806,23.7794,23.7803,23.7705,23.7404,23.7722,23.7681,23.8749,23.8096,23.873,23.8488,23.7915,23.8179,23.8721,23.7972,23.7409,23.8138,23.8115,23.7948,23.8001,23.7893,23.7885,23.7573,23.7891,23.8253,23.7976,23.7923,23.8039,23.7942,23.8155,23.7903,23.8176,23.7782,23.7759,23.8241,23.8367,23.8304,23.7845
-48.8209,0.921046,0.170091,3,15,0,50.5346,0.20924,77.5,0.0114198,0.20924,77.5,0.0114198,3.25755e+07,1.36946e+06,57571.6,23.8145,23.7546,23.7796,23.7782,23.7789,23.7688,23.7383,23.7698,23.7654,23.8718,23.8063,23.8692,23.8448,23.787,23.8131,23.8668,23.7914,23.7346,23.807,23.8041,23.7867,23.7914,23.7798,23.7784,23.7462,23.7771,23.8123,23.7835,23.7771,23.7871,23.776,23.7955,23.7683,23.7929,23.751,23.7442,23.7879,23.7945,23.776,23.716
-48.5261,1,0.170091,3,15,0,49.2102,0.235103,74.5542,0.0136012,0.235103,74.5542,0.0136012,3.26146e+07,1.37028e+06,57571.6,23.8152,23.7556,23.7809,23.7798,23.7808,23.7712,23.7411,23.773,23.769,23.8759,23.8108,23.8743,23.8502,23.7931,23.8195,23.8739,23.7991,23.7429,23.816,23.8138,23.7973,23.8027,23.7922,23.7915,23.7605,23.7925,23.8289,23.8014,23.7963,23.8081,23.7986,23.8201,23.7951,23.8226,23.7833,23.781,23.829,23.8411,23.8328,23.7834
-47.467,0.995485,0.170091,3,7,0,48.7057,0.22219,70.3104,0.00998127,0.22219,70.3104,0.00998127,3.25852e+07,1.36966e+06,57571.6,23.8147,23.7549,23.78,23.7787,23.7795,23.7696,23.7393,23.7708,23.7666,23.8732,23.8077,23.8708,23.8465,23.7889,23.8151,23.869,23.7938,23.7372,23.8097,23.807,23.7899,23.7948,23.7835,23.7822,23.7504,23.7815,23.8169,23.7884,23.7823,23.7927,23.7819,23.8017,23.7749,23.7998,23.7581,23.7516,23.7953,23.8016,23.7812,23.7174
-47.9422,0.994356,0.170091,3,15,0,48.3319,0.234117,59.7495,0.00798879,0.234117,59.7495,0.00798879,3.25914e+07,1.36979e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7702,23.74,23.7717,23.7675,23.8742,23.8088,23.8721,23.8478,23.7904,23.8166,23.8707,23.7956,23.7391,23.8118,23.8093,23.7923,23.7973,23.7862,23.785,23.7533,23.7847,23.8203,23.7919,23.786,23.7965,23.7858,23.8057,23.779,23.8039,23.7622,23.7553,23.7984,23.8035,23.7795,23.7093
-48.6573,0.787381,0.170091,3,7,0,50.7846,0.236675,63.2352,0.00654883,0.236675,63.2352,0.00654883,3.25887e+07,1.36974e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7701,23.7399,23.7716,23.7674,23.8741,23.8087,23.872,23.8477,23.7902,23.8165,23.8705,23.7954,23.7389,23.8116,23.809,23.792,23.7969,23.7857,23.7845,23.7528,23.784,23.8195,23.791,23.7849,23.7953,23.7844,23.8041,23.777,23.8016,23.7593,23.7515,23.7936,23.7971,23.7691,23.693
-47.4928,1,0.170091,2,7,0,49.1789,0.248418,60.1131,0.00858745,0.248418,60.1131,0.00858745,3.26106e+07,1.3702e+06,57571.6,23.8153,23.7557,23.781,23.7799,23.781,23.7714,23.7414,23.7733,23.7693,23.8762,23.8111,23.8746,23.8505,23.7934,23.8199,23.8743,23.7995,23.7433,23.8164,23.8142,23.7976,23.803,23.7924,23.7916,23.7604,23.7923,23.8285,23.8008,23.7955,23.8069,23.7969,23.8178,23.792,23.8183,23.7778,23.773,23.818,23.8256,23.806,23.7404
-47.9606,0.9995,0.170091,4,23,0,48.6562,0.180976,76.1758,0.0200931,0.180976,76.1758,0.0200931,3.25765e+07,1.36948e+06,57571.6,23.8143,23.7543,23.7792,23.7776,23.7782,23.768,23.7374,23.7688,23.7643,23.8706,23.8049,23.8677,23.8432,23.7853,23.8113,23.8649,23.7894,23.7325,23.8048,23.8018,23.7844,23.789,23.7775,23.776,23.7439,23.7749,23.8102,23.7816,23.7755,23.786,23.7754,23.7957,23.7696,23.7959,23.7559,23.7531,23.8016,23.8156,23.8152,23.7805
-47.6474,0.980929,0.170091,4,31,0,49.7858,0.260675,73.3706,0.00474243,0.260675,73.3706,0.00474243,3.26098e+07,1.37018e+06,57571.6,23.8154,23.7558,23.7812,23.7802,23.7813,23.7717,23.7418,23.7737,23.7698,23.8768,23.8117,23.8752,23.8512,23.7941,23.8206,23.8751,23.8003,23.7442,23.8173,23.8151,23.7985,23.8039,23.7933,23.7926,23.7613,23.7931,23.8293,23.8014,23.796,23.8072,23.797,23.8175,23.7913,23.8168,23.7754,23.7688,23.8117,23.8158,23.787,23.7068
