lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.204307
# Diagonal elements of inverse mass matrix:
# 0.000495151, 4.12255e-05
-48.7077,0.815605,0.204307,2,7,0,48.743,0.251408,0.01046,0.251408,0.01046,3.26214e+07,1.37042e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7815,23.7719,23.742,23.774,23.7701,23.8772,23.8121,23.8758,23.8518,23.7948,23.8214,23.876,23.8013,23.7453,23.8186,23.8165,23.8002,23.8057,23.7954,23.7949,23.764,23.7962,23.8327,23.8054,23.8004,23.8124,23.8029,23.8244,23.7995,23.8267,23.7872,23.7841,23.8311,23.8412,23.8274,23.7691
-48.7376,0.996682,0.204307,2,7,0,48.8026,0.241382,0.00555275,0.241382,0.00555275,3.25903e+07,1.36977e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7703,23.7402,23.7719,23.7677,23.8744,23.8091,23.8724,23.8481,23.7907,23.817,23.8711,23.796,23.7395,23.8122,23.8097,23.7927,23.7977,23.7866,23.7854,23.7537,23.785,23.8205,23.7921,23.786,23.7964,23.7855,23.8052,23.7781,23.8025,23.7601,23.752,23.7937,23.7965,23.7662,23.6864
-47.375,1,0.204307,2,7,0,48.5503,0.249597,0.00917555,0.249597,0.00917555,3.26143e+07,1.37027e+06,57571.6,23.8153,23.7558,23.7812,23.7801,23.7812,23.7716,23.7416,23.7735,23.7696,23.8766,23.8115,23.875,23.851,23.7939,23.8204,23.8749,23.8001,23.744,23.8171,23.815,23.7985,23.8039,23.7934,23.7928,23.7617,23.7936,23.83,23.8023,23.7972,23.8087,23.799,23.8201,23.7946,23.8212,23.781,23.7767,23.8224,23.8308,23.8131,23.7499
-46.9375,0.933246,0.204307,1,3,0,48.1315,0.244403,0.00739779,0.244403,0.00739779,3.26012e+07,1.37e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7806,23.7709,23.7408,23.7726,23.7685,23.8754,23.8101,23.8735,23.8494,23.7921,23.8185,23.8727,23.7978,23.7415,23.8144,23.812,23.7953,23.8005,23.7896,23.7887,23.7572,23.7888,23.8247,23.7967,23.791,23.802,23.7916,23.8119,23.7856,23.8111,23.7697,23.7635,23.8072,23.8127,23.7889,23.7178
-47.2153,0.998986,0.204307,4,19,0,47.7387,0.194948,0.0185501,0.194948,0.0185501,3.25869e+07,1.3697e+06,57571.6,23.8145,23.7546,23.7796,23.7782,23.7789,23.7688,23.7384,23.7699,23.7655,23.872,23.8065,23.8695,23.8451,23.7874,23.8135,23.8673,23.792,23.7353,23.8078,23.8051,23.7879,23.7927,23.7814,23.7802,23.7484,23.7796,23.8152,23.787,23.7812,23.792,23.7818,23.8024,23.7767,23.8033,23.7636,23.761,23.8094,23.8231,23.821,23.783
-48.5819,0.897093,0.204307,4,19,0,49.6989,0.250188,0.00440017,0.250188,0.00440017,3.25961e+07,1.36989e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7806,23.7708,23.7407,23.7725,23.7684,23.8753,23.81,23.8734,23.8492,23.7919,23.8183,23.8725,23.7975,23.7411,23.814,23.8115,23.7947,23.7998,23.7889,23.7878,23.7563,23.7877,23.8234,23.7951,23.7892,23.7998,23.7891,23.8089,23.782,23.8066,23.7643,23.7562,23.7977,23.8001,23.768,23.6842
-47.2018,1,0.204307,3,7,0,48.4323,0.255625,0.0062922,0.255625,0.0062922,3.261e+07,1.37018e+06,57571.6,23.8153,23.7558,23.7812,23.7801,23.7812,23.7716,23.7416,23.7735,23.7696,23.8765,23.8114,23.875,23.8509,23.7938,23.8203,23.8747,23.7999,23.7438,23.8169,23.8147,23.7981,23.8035,23.7929,23.7921,23.7609,23.7928,23.8289,23.8011,23.7957,23.807,23.7969,23.8175,23.7915,23.8173,23.7763,23.7704,23.8142,23.8197,23.7947,23.7206
-47.9983,0.860713,0.204307,3,11,0,48.9784,0.242531,0.0060475,0.242531,0.0060475,3.25936e+07,1.36984e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7404,23.7721,23.768,23.8747,23.8094,23.8727,23.8485,23.7912,23.8175,23.8716,23.7965,23.7401,23.8129,23.8104,23.7935,23.7985,23.7875,23.7864,23.7548,23.7862,23.8218,23.7935,23.7876,23.7981,23.7874,23.8073,23.7804,23.8051,23.763,23.7555,23.7977,23.8013,23.7729,23.6956
-47.8191,1,0.204307,2,7,0,48.135,0.243925,0.0111383,0.243925,0.0111383,3.26153e+07,1.3703e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7415,23.7734,23.7694,23.8764,23.8113,23.8748,23.8508,23.7937,23.8202,23.8746,23.7998,23.7437,23.8169,23.8147,23.7982,23.8037,23.7932,23.7925,23.7615,23.7935,23.8299,23.8023,23.7972,23.8089,23.7993,23.8206,23.7954,23.8224,23.7827,23.7794,23.8262,23.8364,23.8231,23.7664
-48.0246,0.996237,0.204307,2,7,0,48.0635,0.239996,0.00640023,0.239996,0.00640023,3.2592e+07,1.36981e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7704,23.7402,23.7719,23.7677,23.8745,23.8092,23.8724,23.8482,23.7908,23.8171,23.8712,23.7961,23.7397,23.8124,23.8099,23.793,23.798,23.7869,23.7858,23.7541,23.7854,23.821,23.7926,23.7867,23.7972,23.7864,23.8062,23.7793,23.804,23.7619,23.7544,23.7967,23.8004,23.7726,23.6964
-46.7017,0.890684,0.204307,3,11,0,50.0412,0.239791,0.00997725,0.239791,0.00997725,3.2606e+07,1.3701e+06,57571.6,23.8151,23.7555,23.7808,23.7796,23.7807,23.7709,23.7409,23.7727,23.7686,23.8755,23.8103,23.8737,23.8496,23.7924,23.8188,23.8731,23.7981,23.7419,23.8149,23.8125,23.7959,23.8011,23.7904,23.7896,23.7583,23.79,23.8261,23.7982,23.7928,23.8041,23.794,23.8148,23.789,23.8152,23.7747,23.7701,23.8155,23.8238,23.8066,23.7452
-46.8855,0.930353,0.204307,1,3,0,47.4113,0.237604,0.00830926,0.237604,0.00830926,3.25968e+07,1.36991e+06,57571.6,23.815,23.7553,23.7806,23.7793,23.7803,23.7705,23.7403,23.7721,23.7679,23.8747,23.8094,23.8727,23.8485,23.7912,23.8175,23.8717,23.7966,23.7403,23.8131,23.8106,23.7937,23.7988,23.7879,23.7868,23.7553,23.7868,23.8225,23.7944,23.7886,23.7994,23.7889,23.8091,23.7827,23.808,23.7666,23.7604,23.8042,23.8101,23.7877,23.7194
-46.9327,0.999934,0.204307,4,23,0,47.1902,0.203847,0.0169777,0.203847,0.0169777,3.25912e+07,1.36979e+06,57571.6,23.8147,23.7548,23.7799,23.7785,23.7793,23.7693,23.7389,23.7705,23.7662,23.8727,23.8073,23.8704,23.846,23.7884,23.8146,23.8685,23.7933,23.7367,23.8093,23.8066,23.7896,23.7945,23.7833,23.7822,23.7505,23.7819,23.8176,23.7894,23.7837,23.7947,23.7845,23.8052,23.7795,23.8061,23.7663,23.7633,23.8113,23.8241,23.8195,23.7776
-47.1434,0.98772,0.204307,2,7,0,47.5638,0.197289,0.0181763,0.197289,0.0181763,3.25882e+07,1.36973e+06,57571.6,23.8146,23.7547,23.7797,23.7783,23.779,23.769,23.7386,23.7701,23.7657,23.8722,23.8067,23.8697,23.8453,23.7877,23.8138,23.8677,23.7923,23.7357,23.8082,23.8055,23.7884,23.7932,23.782,23.7808,23.749,23.7803,23.8159,23.7877,23.7819,23.7928,23.7826,23.8032,23.7775,23.8042,23.7644,23.7618,23.8102,23.8236,23.821,23.7821
-47.0508,1,0.204307,2,3,0,47.1581,0.195372,0.017736,0.195372,0.017736,3.25842e+07,1.36964e+06,57571.6,23.8145,23.7546,23.7796,23.7781,23.7788,23.7687,23.7383,23.7698,23.7654,23.8718,23.8063,23.8692,23.8448,23.7871,23.8132,23.867,23.7916,23.7349,23.8074,23.8046,23.7873,23.7921,23.7808,23.7795,23.7476,23.7788,23.8143,23.7859,23.78,23.7907,23.7803,23.8007,23.7747,23.8011,23.761,23.7578,23.8057,23.8184,23.8144,23.7741
-47.0874,0.992698,0.204307,2,3,0,47.1098,0.194318,0.0174473,0.194318,0.0174473,3.25818e+07,1.36959e+06,57571.6,23.8145,23.7545,23.7795,23.778,23.7787,23.7686,23.7381,23.7696,23.7652,23.8716,23.806,23.869,23.8445,23.7868,23.8128,23.8666,23.7912,23.7344,23.8068,23.804,23.7867,23.7915,23.7801,23.7787,23.7468,23.7779,23.8133,23.7848,23.7788,23.7894,23.7789,23.7992,23.7731,23.7992,23.7589,23.7554,23.8029,23.8152,23.8104,23.7691
-46.5617,0.979489,0.204307,3,11,0,47.4438,0.217064,0.0141461,0.217064,0.0141461,3.25957e+07,1.36988e+06,57571.6,23.8148,23.7551,23.7802,23.7789,23.7798,23.7698,23.7396,23.7712,23.767,23.8737,23.8083,23.8715,23.8472,23.7898,23.816,23.8701,23.7949,23.7385,23.8112,23.8086,23.7917,23.7967,23.7857,23.7846,23.7531,23.7845,23.8204,23.7923,23.7866,23.7976,23.7875,23.8081,23.7823,23.8086,23.7685,23.7647,23.8116,23.8224,23.8126,23.7632
-46.6054,0.959921,0.204307,1,3,0,46.9014,0.214626,0.013063,0.214626,0.013063,3.25885e+07,1.36973e+06,57571.6,23.8147,23.7549,23.78,23.7786,23.7794,23.7695,23.7392,23.7707,23.7664,23.873,23.8076,23.8707,23.8464,23.7888,23.815,23.8689,23.7937,23.7371,23.8097,23.807,23.79,23.7948,23.7836,23.7824,23.7507,23.7819,23.8175,23.7892,23.7833,23.7939,23.7834,23.8036,23.7773,23.803,23.7622,23.7573,23.803,23.8123,23.7993,23.7459
-46.5775,0.943534,0.204307,3,13,0,47.3075,0.232869,0.0112402,0.232869,0.0112402,3.26028e+07,1.37003e+06,57571.6,23.815,23.7554,23.7806,23.7794,23.7804,23.7706,23.7405,23.7722,23.7681,23.8749,23.8097,23.873,23.8489,23.7916,23.8179,23.8721,23.7972,23.7408,23.8137,23.8113,23.7946,23.7998,23.7889,23.7881,23.7567,23.7883,23.8243,23.7964,23.7909,23.8021,23.792,23.8127,23.7869,23.8132,23.7728,23.7684,23.8143,23.8234,23.8085,23.7508
-46.6634,0.996572,0.204307,3,7,0,46.6913,0.233499,0.00942676,0.233499,0.00942676,3.25964e+07,1.3699e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7703,23.7402,23.7719,23.7677,23.8745,23.8092,23.8725,23.8483,23.7909,23.8172,23.8713,23.7963,23.7399,23.8127,23.8102,23.7933,23.7984,23.7874,23.7864,23.7548,23.7862,23.822,23.7939,23.7881,23.7989,23.7885,23.8088,23.7824,23.808,23.7668,23.7611,23.8054,23.8123,23.7924,23.728
-46.7739,0.966114,0.204307,4,19,0,47.4752,0.22547,0.013321,0.22547,0.013321,3.26023e+07,1.37002e+06,57571.6,23.815,23.7553,23.7805,23.7792,23.7802,23.7704,23.7402,23.7719,23.7678,23.8746,23.8093,23.8726,23.8484,23.791,23.8174,23.8715,23.7965,23.7402,23.813,23.8106,23.7938,23.799,23.7881,23.7872,23.7558,23.7875,23.8235,23.7956,23.7902,23.8014,23.7914,23.8123,23.7867,23.8134,23.7734,23.7698,23.8168,23.8275,23.817,23.7657
-46.4438,0.991889,0.204307,3,15,0,47.1198,0.226289,0.0118449,0.226289,0.0118449,3.25975e+07,1.36992e+06,57571.6,23.8149,23.7552,23.7804,23.7791,23.78,23.7702,23.74,23.7717,23.7675,23.8742,23.8089,23.8722,23.8479,23.7906,23.8168,23.871,23.7959,23.7395,23.8122,23.8097,23.7929,23.798,23.787,23.786,23.7544,23.786,23.8218,23.7937,23.7881,23.7991,23.7888,23.8093,23.7833,23.8094,23.7688,23.7642,23.81,23.8191,23.8047,23.7484
-47.6606,0.930924,0.204307,4,19,0,47.7833,0.255132,0.00827005,0.255132,0.00827005,3.26172e+07,1.37034e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7718,23.7419,23.7739,23.77,23.877,23.812,23.8756,23.8516,23.7946,23.8212,23.8756,23.8009,23.7449,23.8181,23.816,23.7996,23.8051,23.7946,23.7941,23.7631,23.7951,23.8315,23.804,23.7988,23.8105,23.8008,23.8219,23.7965,23.8231,23.7829,23.7785,23.824,23.8319,23.8126,23.7467
-47.7449,0.982588,0.204307,1,1,0,47.8489,0.255161,0.00840667,0.255161,0.00840667,3.26177e+07,1.37035e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.742,23.7739,23.77,23.8771,23.812,23.8756,23.8517,23.7947,23.8212,23.8757,23.801,23.745,23.8182,23.8161,23.7997,23.8052,23.7948,23.7942,23.7632,23.7953,23.8317,23.8042,23.7991,23.8108,23.8011,23.8223,23.7969,23.8236,23.7834,23.7791,23.8247,23.8328,23.8139,23.7485
-47.7852,0.990819,0.204307,1,1,0,47.9186,0.25507,0.00849514,0.25507,0.00849514,3.2618e+07,1.37035e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.742,23.774,23.7701,23.8771,23.812,23.8757,23.8517,23.7947,23.8213,23.8758,23.8011,23.745,23.8183,23.8162,23.7998,23.8053,23.7948,23.7943,23.7633,23.7954,23.8318,23.8043,23.7992,23.8109,23.8012,23.8224,23.797,23.8238,23.7836,23.7794,23.8251,23.8332,23.8146,23.7495
-46.9631,1,0.204307,3,7,0,47.6977,0.250388,0.00730353,0.250388,0.00730353,3.26079e+07,1.37014e+06,57571.6,23.8153,23.7557,23.781,23.7799,23.781,23.7713,23.7413,23.7732,23.7692,23.8761,23.811,23.8745,23.8504,23.7933,23.8197,23.8741,23.7992,23.743,23.8161,23.8138,23.7972,23.8025,23.7918,23.7911,23.7598,23.7916,23.8277,23.7998,23.7944,23.8056,23.7955,23.8161,23.7901,23.816,23.775,23.7694,23.8135,23.8197,23.7967,23.7261
-47.5545,0.992138,0.204307,3,11,0,47.6237,0.260836,0.00488344,0.260836,0.00488344,3.26106e+07,1.3702e+06,57571.6,23.8154,23.7558,23.7813,23.7802,23.7813,23.7717,23.7418,23.7738,23.7698,23.8768,23.8117,23.8753,23.8513,23.7942,23.8207,23.8752,23.8004,23.7443,23.8174,23.8152,23.7987,23.8041,23.7935,23.7928,23.7616,23.7934,23.8296,23.8018,23.7963,23.8076,23.7974,23.818,23.7918,23.8174,23.7761,23.7696,23.8126,23.8169,23.7887,23.7091
-47.8056,0.909288,0.204307,2,7,0,48.6192,0.256442,0.00817554,0.256442,0.00817554,3.26183e+07,1.37036e+06,57571.6,23.8154,23.7559,23.7814,23.7803,23.7815,23.7719,23.742,23.774,23.7701,23.8772,23.8121,23.8758,23.8518,23.7948,23.8214,23.8759,23.8012,23.7452,23.8184,23.8163,23.8,23.8055,23.7951,23.7945,23.7635,23.7956,23.8321,23.8045,23.7995,23.8111,23.8015,23.8227,23.7973,23.8239,23.7838,23.7794,23.825,23.8329,23.8136,23.7474
