lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.050426
# Diagonal elements of inverse mass matrix:
# 0.00807833, 84.0001, 2.41231
-7.48597,0.976028,0.050426,6,63,0,7.85412,0.337074,75.196,-0.376923,0.337074,75.196,-0.376923,73.4966,73.7314,74.2423,75.4099,75.6548,76.233,76.263,78.6223,78.9974,81.9506,83.2116,84.1486,84.1676,85.3608,86.3624,87.6532,88.091,88.1813,94.5891,100.033,104.706,106.854,113.642,114.015,115.515,126.237,148.785,154.529,160.771,170.334,192.337,215.025,14.695
-8.70466,0.88065,0.050426,5,43,0,9.7735,0.244113,62.2049,0.917763,0.244113,62.2049,0.917763,70.0323,71.3434,73.1795,76.043,76.5423,77.64,77.6946,81.4555,81.9871,85.804,87.2902,88.3543,88.3756,89.6886,90.7599,92.1046,92.5525,92.6444,98.8309,103.718,107.737,109.542,115.114,115.415,116.621,125.067,142.167,146.433,151.041,158.051,174.022,190.333,16.7808
-8.27288,0.999868,0.050426,3,15,0,8.83538,0.258796,62.1205,0.688824,0.258796,62.1205,0.688824,68.8214,70.0065,71.6858,74.3433,74.8108,75.8426,75.894,79.465,79.9736,83.6493,85.0905,86.1255,86.1462,87.4265,88.4736,89.7908,90.2303,90.3204,96.4223,101.277,105.286,107.092,112.68,112.982,114.195,122.708,140.032,144.367,149.054,156.193,172.486,189.157,15.9134
-9.28007,0.925997,0.050426,6,63,0,10.2757,0.309182,73.9909,-0.453698,0.309182,73.9909,-0.453698,71.6027,71.6922,71.9909,72.8125,72.9958,73.4371,73.4603,75.3431,75.6503,78.1157,79.1875,79.9895,80.0058,81.0332,81.9003,83.023,83.4052,83.484,89.1374,94.0053,98.2178,100.162,106.338,106.677,108.047,117.881,138.723,144.056,149.861,158.765,179.305,200.532,18.3985
-7.60231,0.995378,0.050426,3,11,0,9.13805,0.30656,74.1491,-0.350692,0.30656,74.1491,-0.350692,72.9149,73.1658,73.6772,74.8008,75.0332,75.579,75.6073,77.8119,78.1605,80.8953,82.0597,82.9241,82.9416,84.0418,84.9649,86.1541,86.5575,86.6406,92.5426,97.5596,101.87,103.853,110.125,110.469,111.857,121.785,142.722,148.066,153.878,162.788,183.319,204.519,15.0311
-9.6718,0.742937,0.050426,3,15,0,10.9834,0.306522,73.1821,-0.0613743,0.306522,73.1821,-0.0613743,75.0298,75.7001,76.7603,78.6572,79.0147,79.8262,79.8673,82.8876,83.3406,86.7557,88.1543,89.1768,89.1974,90.4819,91.5472,92.9051,93.3623,93.4563,99.9936,105.395,109.961,112.042,118.569,118.925,120.358,130.535,151.704,157.069,162.89,171.794,192.244,213.297,19.2421
-7.56445,0.967932,0.050426,2,3,0,10.2473,0.299609,72.7833,-0.160301,0.299609,72.7833,-0.160301,73.5744,74.0896,74.9419,76.5348,76.8418,77.5444,77.5802,80.2517,80.6583,83.758,85.042,85.985,86.004,87.1934,88.1833,89.4493,89.8765,89.9644,96.1182,101.251,105.612,107.607,113.882,114.225,115.606,125.444,146.016,151.245,156.924,165.619,185.618,206.236,15.0512
-7.68526,0.996196,0.050426,4,27,0,8.20514,0.332226,75.394,-0.44816,0.332226,75.394,-0.44816,72.8441,72.9521,73.2928,74.2124,74.4163,74.9064,74.9321,77.0127,77.3512,80.0601,81.2344,82.112,82.1299,83.2529,84.1997,85.4244,85.841,85.9269,92.0727,97.3447,101.895,103.993,110.641,111.007,112.479,123.032,145.314,151.004,157.19,166.673,188.517,211.059,15.0734
-7.4755,0.552455,0.050426,2,3,0,11.3206,0.328399,75.7622,-0.409742,0.328399,75.7622,-0.409742,73.6975,73.8715,74.2983,75.3379,75.5611,76.0918,76.1195,78.3228,78.6766,81.4839,82.691,83.5904,83.6087,84.7568,85.7226,86.9695,87.393,87.4803,93.7045,99.0194,103.596,105.702,112.372,112.739,114.215,124.781,147.063,152.748,158.929,168.403,190.22,212.732,14.6141
-7.72845,0.983336,0.050426,3,15,0,7.91424,0.331967,77.0379,-0.431632,0.331967,77.0379,-0.431632,74.6417,74.7816,75.1688,76.1639,76.3812,76.9011,76.9284,79.1132,79.4666,82.2836,83.5003,84.4083,84.4268,85.5874,86.5649,87.8282,88.2576,88.3462,94.6701,100.083,104.75,106.899,113.709,114.083,115.591,126.389,149.172,154.986,161.309,170.999,193.315,216.342,14.9556
