lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.116889
# Diagonal elements of inverse mass matrix:
# 0.0043098, 58.364, 0.570803
-7.76178,0.98924,0.116889,5,31,0,8.06108,0.308639,63.0616,0.396949,0.308639,63.0616,0.396949,68.6676,69.7722,71.3711,73.9661,74.4294,75.4582,75.5097,79.1281,79.6496,83.4543,84.961,86.0474,86.0692,87.418,88.5246,89.9209,90.3878,90.4836,97.0089,102.245,106.592,108.555,114.649,114.978,116.304,125.633,144.704,149.489,154.665,162.556,180.585,199.05,15.0403
-8.26044,0.954894,0.116889,5,31,0,8.64812,0.255738,71.2534,-0.0791731,0.255738,71.2534,-0.0791731,72.6065,73.133,73.9727,75.4898,75.7773,76.4314,76.4647,78.916,79.2857,82.0854,83.2381,84.0828,84.0999,85.1634,86.0473,87.1763,87.5569,87.6352,93.1061,97.6599,101.528,103.297,108.863,109.168,110.393,119.129,137.438,142.099,147.166,154.931,172.819,191.293,16.4973
-7.80584,0.991762,0.116889,4,31,0,9.39943,0.288853,63.4931,0.450055,0.288853,63.4931,0.450055,69.2146,70.3154,71.9019,74.4643,74.9205,75.9325,75.9831,79.5324,80.0429,83.7621,85.2328,86.2926,86.3139,87.629,88.7075,90.0679,90.5226,90.6159,96.9666,102.058,106.284,108.191,114.112,114.432,115.72,124.783,143.31,147.959,152.988,160.656,178.18,196.132,15.1858
-7.48185,0.996915,0.116889,4,31,0,8.15901,0.287585,67.758,0.129914,0.287585,67.758,0.129914,71.0705,71.882,73.1033,75.1769,75.557,76.41,76.453,79.5401,79.9944,83.3662,84.726,85.7139,85.7338,86.9683,87.9874,89.2806,89.7146,89.8038,95.9513,100.97,105.182,107.096,113.073,113.398,114.706,123.965,143.115,147.953,153.198,161.214,179.6,198.505,14.9127
-7.58525,0.943547,0.116889,5,31,0,8.06799,0.366624,68.6539,-0.114441,0.366624,68.6539,-0.114441,70.1043,70.7697,71.8429,73.7983,74.17,75.0163,75.0593,78.2306,78.7082,82.3171,83.7977,84.8806,84.9025,86.2633,87.3922,88.831,89.3154,89.415,96.3377,102.049,106.868,109.062,115.935,116.309,117.816,128.497,150.627,156.22,162.282,171.545,192.777,214.588,15.1345
-7.7462,0.925727,0.116889,5,31,0,8.21731,0.311154,65.4411,0.272823,0.311154,65.4411,0.272823,70.195,71.2082,72.6966,75.1543,75.5975,76.5859,76.6355,80.1499,80.6605,84.4101,85.9054,86.9866,87.0083,88.3539,89.4605,90.8598,91.3283,91.4245,98.0049,103.319,107.748,109.752,115.988,116.326,117.685,127.27,146.944,151.892,157.248,165.419,184.113,203.283,15.2833
-7.97923,1,0.116889,4,23,0,8.49235,0.289882,63.5246,0.352536,0.289882,63.5246,0.352536,68.4828,69.4873,70.9499,73.3407,73.7695,74.7232,74.771,78.1425,78.6303,82.2007,83.6197,84.6445,84.665,85.9389,86.9855,88.3076,88.75,88.8408,95.0423,100.038,104.197,106.077,111.924,112.241,113.514,122.493,140.906,145.535,150.546,158.191,175.679,193.614,15.5375
-8.74423,0.793729,0.116889,3,15,0,10.2692,0.269283,66.2357,0.139279,0.269283,66.2357,0.139279,69.348,70.1032,71.2387,73.1652,73.5183,74.3106,74.3505,77.2183,77.6404,80.7747,82.0393,82.9584,82.9769,84.1258,85.0744,86.2785,86.6828,86.7659,92.4961,97.1805,101.116,102.904,108.496,108.801,110.025,118.699,136.673,141.219,146.15,153.689,170.995,188.805,17.3428
-9.20487,0.991563,0.116889,4,23,0,9.59455,0.361782,61.8572,0.129742,0.361782,61.8572,0.129742,65.6371,66.5569,67.9369,70.2689,70.695,71.6496,71.6976,75.1356,75.6395,79.3647,80.8601,81.9443,81.9661,83.3184,84.4325,85.8439,86.317,86.4142,93.0834,98.4917,103.009,105.056,111.429,111.775,113.165,122.975,143.126,148.193,153.68,162.049,181.188,200.806,17.7312
-8.12372,0.904568,0.116889,2,3,0,9.74901,0.356951,64.0548,0.230856,0.356951,64.0548,0.230856,68.9448,70.0171,71.5986,74.22,74.6937,75.7506,75.8036,79.5665,80.1135,84.1315,85.7337,86.8921,86.9154,88.3568,89.5419,91.0402,91.5417,91.6447,98.6835,104.36,109.085,111.222,117.863,118.223,119.669,129.859,150.724,155.962,161.63,170.27,190.015,210.237,15.8805
-9.26925,0.84255,0.116889,5,31,0,10.7384,0.262584,76.8397,-0.457584,0.262584,76.8397,-0.457584,74.7004,74.7734,75.0283,75.74,75.8995,76.2843,76.3046,77.9548,78.225,80.4015,81.3515,82.0637,82.0782,82.9922,83.765,84.7675,85.1091,85.1796,90.2578,94.6613,98.4915,100.265,105.918,106.23,107.488,116.554,135.927,140.91,146.343,154.695,174.023,194.069,18.063
-8.54963,1,0.116889,4,27,0,10.2761,0.283812,61.5751,0.500501,0.283812,61.5751,0.500501,67.4139,68.513,70.0903,72.6247,73.0746,74.0712,74.121,77.6049,78.1048,81.7392,83.1733,84.2059,84.2267,85.5069,86.5562,87.8789,88.3208,88.4114,94.574,99.5053,103.593,105.437,111.157,111.466,112.71,121.454,139.311,143.788,148.632,156.014,172.878,190.15,16.3859
-7.97096,0.993279,0.116889,5,31,0,8.86585,0.332759,62.3786,0.286549,0.332759,62.3786,0.286549,67.3387,68.3824,69.9113,72.4266,72.8793,73.8876,73.9381,77.5133,78.0316,81.8306,83.3423,84.4344,84.4563,85.8143,86.9302,88.3402,88.812,88.9089,95.5238,100.852,105.285,107.289,113.517,113.854,115.21,124.764,144.325,149.237,154.552,162.656,181.178,200.154,15.356
-7.83883,0.988748,0.116889,4,15,0,8.15313,0.335467,64.6891,0.0949643,0.335467,64.6891,0.0949643,68.0226,68.8743,70.1626,72.3605,72.7642,73.671,73.7167,77.0027,77.4865,81.0775,82.5252,83.5766,83.5978,84.9112,85.995,87.3698,87.8311,87.9259,94.4502,99.7647,104.217,106.237,112.539,112.882,114.259,123.993,144.056,149.113,154.591,162.954,182.105,201.761,15.3905
-8.20616,0.919158,0.116889,5,31,0,10.0994,0.380985,75.0281,-0.40134,0.380985,75.0281,-0.40134,72.7682,72.9857,73.4997,74.7277,74.9893,75.6096,75.642,78.1985,78.607,81.8326,83.2126,84.2383,84.2592,85.5658,86.6627,88.0761,88.5555,88.6543,95.6637,101.606,106.697,109.034,116.408,116.812,118.439,130.047,154.356,160.532,167.237,177.497,201.065,225.318,16.1317
-7.54254,0.999422,0.116889,5,31,0,9.08145,0.304878,65.1055,0.238889,0.304878,65.1055,0.238889,69.4439,70.3943,71.7977,74.1289,74.5509,75.493,75.5403,78.9034,79.3934,83.0003,84.4423,85.4861,85.5071,86.8074,87.8776,89.232,89.6857,89.7789,96.1638,101.333,105.648,107.602,113.688,114.019,115.346,124.719,143.99,148.841,154.095,162.114,180.47,199.305,14.8449
-8.82664,0.804507,0.116889,4,27,0,10.2113,0.374742,69.3104,-0.0667166,0.374742,69.3104,-0.0667166,71.38,72.1427,73.3487,75.5027,75.908,76.8269,76.8735,80.2827,80.7926,84.6244,86.1878,87.3287,87.3518,88.7827,89.9677,91.4756,91.9827,92.087,99.3081,105.238,110.228,112.498,119.593,119.979,121.532,132.529,155.256,160.991,167.205,176.694,198.429,220.739,17.6261
-8.23338,1,0.116889,2,3,0,8.80343,0.368766,67.8055,-0.195911,0.368766,67.8055,-0.195911,68.2934,68.8255,69.7236,71.4305,71.7618,72.5218,72.5607,75.4643,75.9072,79.2863,80.686,81.7137,81.7345,83.0299,84.1077,85.4849,85.9494,86.045,92.7209,98.2663,102.964,105.108,111.836,112.203,113.68,124.173,145.981,151.501,157.488,166.64,187.633,209.211,16.3993
-9.28518,0.741205,0.116889,5,31,0,10.6987,0.314653,76.7472,-0.287711,0.314653,76.7472,-0.287711,76.1662,76.5353,77.2138,78.5999,78.8781,79.5244,79.5577,82.1048,82.5013,85.5769,86.872,87.8293,87.8488,89.0626,90.0779,91.3818,91.8231,91.914,98.3295,103.739,108.365,110.487,117.183,117.55,119.027,129.578,151.732,157.374,163.505,172.897,194.514,216.81,18.1134
-7.60972,1,0.116889,1,3,0,8.65891,0.311737,76.2258,-0.376377,0.311737,76.2258,-0.376377,74.6403,74.861,75.3405,76.4364,76.6664,77.2093,77.2376,79.4559,79.809,82.5925,83.7829,84.6681,84.6861,85.8142,86.7619,87.984,88.3988,88.4843,94.5673,99.7508,104.21,106.262,112.759,113.116,114.553,124.846,146.564,152.108,158.138,167.383,188.685,210.68,14.8299
-7.59526,0.996956,0.116889,4,31,0,10.7083,0.364255,67.1978,-0.0364754,0.364255,67.1978,-0.0364754,69.4894,70.2541,71.4509,73.5664,73.9624,74.8585,74.9039,78.2118,78.705,82.4018,83.9066,85.0038,85.0259,86.4009,87.5388,88.9859,89.4724,89.5724,96.4912,102.165,106.936,109.105,115.885,116.254,117.737,128.24,149.941,155.416,161.349,170.41,191.164,212.47,15.0955
-7.38291,0.972787,0.116889,4,31,0,7.87973,0.295189,69.0466,-0.0048472,0.295189,69.0466,-0.0048472,71.2577,71.939,72.9973,74.8565,75.2037,75.9886,76.0283,78.9231,79.3546,82.5922,83.9119,84.8748,84.8943,86.1021,87.1025,88.376,88.8044,88.8925,95.0015,100.033,104.278,106.212,112.27,112.6,113.929,123.36,142.958,147.922,153.308,161.546,180.463,199.936,14.7566
-8.01776,0.998533,0.116889,4,31,0,8.36285,0.250977,67.4103,0.284496,0.250977,67.4103,0.284496,71.4748,72.3401,73.6131,75.7205,76.1014,76.9514,76.9941,80.0265,80.4682,83.7215,85.0231,85.9657,85.9847,87.1595,88.127,89.352,89.7626,89.8469,95.6343,100.333,104.263,106.046,111.606,111.908,113.124,121.716,139.457,143.936,148.792,156.213,173.232,190.736,15.958
-7.60846,0.792621,0.116889,3,11,0,9.961,0.276456,67.7525,0.175998,0.276456,67.7525,0.175998,71.3295,72.1625,73.4065,75.5006,75.8826,76.7384,76.7815,79.8637,80.3158,83.6625,85.0086,85.9856,86.0053,87.2251,88.2312,89.5071,89.9351,90.0231,96.076,101.009,105.144,107.022,112.885,113.203,114.486,123.56,142.318,147.056,152.193,160.043,178.048,196.562,15.1639
-7.85714,0.98563,0.116889,3,15,0,9.87216,0.260649,68.0678,0.174021,0.260649,68.0678,0.174021,71.445,72.2344,73.4145,75.404,75.7673,76.5816,76.6225,79.5591,79.9903,83.1859,84.4728,85.4074,85.4262,86.5936,87.5571,88.7794,89.1896,89.2739,95.082,99.8239,103.804,105.613,111.266,111.573,112.81,121.574,139.727,144.317,149.297,156.91,174.387,192.376,15.6704
-10.0961,0.964669,0.116889,5,31,0,10.4704,0.432227,56.8197,0.531594,0.432227,56.8197,0.531594,65.1638,66.6785,68.8303,72.2408,72.8409,74.1649,74.2308,78.8068,79.4575,84.15,85.9848,87.3006,87.3269,88.9524,90.2801,91.9481,92.5041,92.6181,100.309,106.393,111.397,113.645,120.581,120.955,122.456,132.958,154.172,159.455,165.156,173.822,193.533,213.622,18.3823
