lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.0804643
# Diagonal elements of inverse mass matrix:
# 0.00472994, 61.2621, 0.94125
-7.92359,1,0.0804643,5,31,0,10.5843,0.323213,79.2164,-0.533973,0.323213,79.2164,-0.533973,75.5258,75.4792,75.6187,76.2587,76.418,76.8141,76.8353,78.6371,78.9411,81.4375,82.5444,83.3786,83.3957,84.4708,85.3827,86.5689,86.9738,87.0574,93.1018,98.3581,102.93,105.046,111.78,112.151,113.647,124.407,147.263,153.116,159.487,169.262,191.809,215.106,14.9927
-9.19066,0.769484,0.0804643,2,7,0,9.60049,0.324388,78.551,-0.628532,0.324388,78.551,-0.628532,73.6688,73.4447,73.3462,73.64,73.7421,74.0157,74.031,75.4482,75.702,77.8668,78.8576,79.6129,79.6284,80.6109,81.4509,82.5512,82.9286,83.0066,88.7199,93.7679,98.1959,100.254,106.831,107.194,108.661,119.238,141.823,147.621,153.935,163.63,186.01,209.151,17.6438
-11.0278,0.825316,0.0804643,2,7,0,11.4116,0.314584,80.2487,-0.397288,0.314584,80.2487,-0.397288,78.308,78.5061,78.9675,80.0631,80.2962,80.8491,80.8779,83.1598,83.5252,86.4177,87.6596,88.5844,88.6032,89.7832,90.7756,92.0565,92.4916,92.5812,98.9735,104.433,109.135,111.3,118.159,118.536,120.055,130.931,153.895,159.76,166.138,175.917,198.453,221.723,21.0028
-12.9529,0.554227,0.0804643,1,1,0,13.7628,0.314349,80.0688,-0.337046,0.314349,80.0688,-0.337046,78.8676,79.1688,79.7659,81.054,81.3184,81.9377,81.9698,84.4562,84.8478,87.911,89.2114,90.1757,90.1953,91.4212,92.449,93.7719,94.2202,94.3126,100.861,106.413,111.176,113.364,120.282,120.661,122.19,133.12,156.129,161.995,168.373,178.148,200.657,223.886,24.8901
-9.01325,1,0.0804643,1,1,0,11.799,0.313641,79.9357,-0.458516,0.313641,79.9357,-0.458516,77.2586,77.3482,77.6644,78.5489,78.7472,79.2252,79.2504,81.2959,81.6302,84.3158,85.4842,86.3587,86.3765,87.4971,88.4429,89.6679,90.0848,90.1708,96.3403,101.653,106.25,108.372,115.11,115.481,116.975,127.701,150.426,156.239,162.565,172.269,194.646,217.768,17.0365
-8.40491,0.836216,0.0804643,2,7,0,10.518,0.319279,81.419,-0.591434,0.319279,81.419,-0.591434,76.9266,76.77,76.7657,77.2044,77.3314,77.6593,77.6773,79.2753,79.554,81.8924,82.9485,83.7499,83.7663,84.8047,85.6897,86.8458,87.2416,87.3233,93.2825,98.5169,103.095,105.219,112,112.374,113.885,124.77,147.98,153.936,160.422,170.38,193.366,217.135,15.5009
-9.01257,0.924455,0.0804643,5,31,0,9.13842,0.305837,82.0752,-0.56226,0.305837,82.0752,-0.56226,78.1085,78.0114,78.0791,78.6056,78.745,79.0976,79.1167,80.7719,81.0557,83.4111,84.4656,85.2634,85.2797,86.3109,87.1881,88.332,88.7231,88.8039,94.6756,99.8176,104.309,106.393,113.041,113.408,114.889,125.559,148.327,154.173,160.541,170.321,192.91,216.284,16.5637
-10.3488,0.970142,0.0804643,4,15,0,11.2398,0.335598,88.2237,-0.839195,0.335598,88.2237,-0.839195,79.3189,78.5669,77.7904,77.1648,77.1234,77.0987,77.0997,77.6722,77.8277,79.428,80.263,80.9273,80.9411,81.8342,82.6188,83.6708,84.0371,84.1132,89.9087,95.2712,100.084,102.346,109.648,110.054,111.695,123.618,149.34,155.971,163.2,174.308,199.971,226.514,17.3645
-7.47658,0.970435,0.0804643,5,31,0,10.8502,0.291186,69.3198,-0.0330199,0.291186,69.3198,-0.0330199,71.248,71.8878,72.8904,74.6683,75.0019,75.7576,75.7959,78.5973,79.0164,82.1697,83.4587,84.4005,84.4195,85.6019,86.5823,87.8313,88.2517,88.3382,94.3458,99.3068,103.499,105.41,111.404,111.731,113.047,122.394,141.85,146.783,152.137,160.328,179.149,198.533,14.9482
-7.89603,0.845026,0.0804643,4,19,0,10.1325,0.369574,72.1846,-0.256826,0.369574,72.1846,-0.256826,71.9357,72.3981,73.2186,74.8461,75.1683,75.9129,75.9511,78.8461,79.2927,82.7294,84.1648,85.222,85.2434,86.5798,87.6943,89.1217,89.6039,89.7031,96.6654,102.482,107.426,109.686,116.789,117.177,118.74,129.851,153.002,158.869,165.236,174.971,197.313,220.291,15.7243
