lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.094574
# Diagonal elements of inverse mass matrix:
# 0.00431774, 59.3123, 0.727336
-8.57279,0.799268,0.094574,2,3,0,9.07412,0.29887,65.6172,0.389457,0.29887,65.6172,0.389457,71.2089,72.3167,73.9223,76.5325,76.9991,78.0355,78.0874,81.7373,82.2639,86.109,87.6332,88.7328,88.7549,90.1204,91.2413,92.6561,93.1292,93.2263,99.8452,105.163,109.582,111.578,117.777,118.113,119.462,128.964,148.408,153.29,158.573,166.628,185.042,203.91,16.952
-7.63032,0.995208,0.094574,4,19,0,8.85224,0.304837,64.3075,0.317105,0.304837,64.3075,0.317105,69.2706,70.2968,71.7961,74.2563,74.6984,75.6828,75.7321,79.2193,79.7246,83.4269,84.8999,85.9641,85.9855,87.3089,88.3964,89.7707,90.2306,90.325,96.7753,101.975,106.303,108.261,114.347,114.677,116.003,125.35,144.515,149.332,154.547,162.5,180.692,199.342,14.9355
-8.50142,0.946647,0.094574,4,31,0,9.38444,0.389392,75.5239,-0.424876,0.389392,75.5239,-0.424876,72.8586,73.0343,73.5,74.6739,74.9285,75.5357,75.5676,78.102,78.5099,81.7462,83.1367,84.1721,84.1931,85.5135,86.6233,88.0546,88.5404,88.6405,95.7565,101.801,106.984,109.364,116.878,117.29,118.948,130.78,155.561,161.857,168.691,179.148,203.165,227.876,16.6639
-8.35622,0.95783,0.094574,2,7,0,8.94029,0.384097,75.1217,-0.498109,0.384097,75.1217,-0.498109,71.4611,71.4833,71.7418,72.6114,72.8154,73.3139,73.3404,75.5295,75.8919,78.8237,80.1059,81.0668,81.0864,82.3186,83.3592,84.7071,85.1658,85.2605,92.0407,97.8599,102.878,105.189,112.506,112.907,114.526,126.102,150.441,156.636,163.366,173.668,197.348,221.73,16.4194
-8.41183,0.899334,0.094574,5,31,0,9.30226,0.377368,68.5763,-0.253809,0.377368,68.5763,-0.253809,68.372,68.8256,69.6281,71.2154,71.5292,72.254,72.2912,75.1055,75.5392,78.8739,80.2653,81.2898,81.3106,82.6051,83.6843,85.0662,85.5328,85.6289,92.3619,97.9809,102.753,104.934,111.785,112.159,113.666,124.373,146.662,152.308,158.433,167.797,189.28,211.367,16.7788
-9.39643,0.999491,0.094574,4,27,0,10.0385,0.425092,63.2642,0.12436,0.425092,63.2642,0.12436,67.7199,68.8052,70.4313,73.172,73.6717,74.7903,74.8466,78.8627,79.4497,83.779,85.5117,86.7662,86.7915,88.3541,89.6402,91.2673,91.8123,91.9242,99.5833,105.768,110.918,113.247,120.485,120.878,122.454,133.554,156.255,161.949,168.107,177.491,198.914,220.834,18.2764
-11.5057,0.97706,0.094574,4,15,0,12.1741,0.492891,69.3384,-0.395117,0.492891,69.3384,-0.395117,66.7289,67.0059,67.6442,69.1446,69.4619,70.2118,70.2508,73.3129,73.7988,77.6078,79.2243,80.4214,80.4456,81.9652,83.2367,84.8697,85.4222,85.536,93.5482,100.26,105.964,108.57,116.75,117.197,118.993,131.74,158.154,164.821,172.044,183.07,208.3,234.162,22.8566
-11.0358,0.766087,0.094574,6,63,0,15.5436,0.2717,49.4791,2.22009,0.2717,49.4791,2.22009,63.2373,65.1816,67.8007,71.688,72.345,73.7703,73.8404,78.5468,79.1933,83.722,85.4379,86.6522,86.6764,88.1591,89.3572,90.8471,91.3402,91.4411,98.0999,103.199,107.306,109.129,114.681,114.978,116.165,124.37,140.52,144.476,148.722,155.137,169.58,184.142,17.808
-12.5606,0.937316,0.094574,4,31,0,14.3013,0.366226,46.924,1.66181,0.366226,46.924,1.66181,60.4544,62.414,65.068,69.0346,69.7079,71.1714,71.2436,76.1014,76.7714,81.4814,83.273,84.5431,84.5685,86.1216,87.3784,88.9434,89.4618,89.5679,96.5922,101.996,106.362,108.304,114.23,114.547,115.818,124.61,141.996,146.268,150.858,157.801,173.466,189.295,19.751
-7.49995,0.975973,0.094574,5,39,0,13.0164,0.333272,67.2155,0.0646493,0.333272,67.2155,0.0646493,70.35,71.1891,72.4673,74.6644,75.0697,75.9815,76.0275,79.3461,79.8362,83.4832,84.9571,86.0288,86.0504,87.3903,88.4969,89.9017,90.3733,90.4703,97.1521,102.607,107.183,109.261,115.749,116.102,117.52,127.555,148.265,153.489,159.15,167.794,187.596,207.929,14.9179
