# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-26 13:00:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpxnpwqt8s/46tdhvv7.json
# random
#   seed = 35252
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230726140045_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0268287
# Diagonal elements of inverse mass matrix:
# 8.30022e-05, 2.47013e-05, 5.99164e-05
1.85294,0.985419,0.0268287,2,7,0,-0.478615,72.1419,0.0422063,0.271959,299790,0.721419,0.0422063,0.229753,4.15e-05,7.97393e-05,0.409704,0.0617808,0.548465,1092.37,0.721419,0.0422063,0.229753,7.97393e-05,0.409704,1092.37,1,0.292561,0,1,21666.4,3.35041,0.0348874,301.703,1.74723,0.0219661,0.132508,0.00652905,-0.000313916
0.757481,0.984334,0.0268287,6,75,0,0.317974,71.7078,0.0425485,0.276885,299790,0.717078,0.0425485,0.234337,4.15e-05,8.07079e-05,0.407903,0.0619684,0.548547,1092.58,0.717078,0.0425485,0.234337,8.07079e-05,0.407903,1092.58,1,0.298766,0,1,21852.8,3.32602,0.034636,301.68,1.75015,0.0218784,0.110431,0.00944932,-0.000401565
1.89408,1,0.0268287,3,7,0,-0.651559,71.7346,0.0428405,0.277338,299790,0.717346,0.0428405,0.234497,4.15e-05,8.06475e-05,0.407737,0.0616127,0.548392,1092.36,0.717346,0.0428405,0.234497,8.06475e-05,0.407737,1092.36,1,0.299337,0,1,21857.2,3.32383,0.0346082,301.724,1.75042,0.0220451,0.153789,0.00972344,-0.000234886
2.01993,0.993298,0.0268287,3,15,0,-1.67627,71.741,0.0427957,0.277803,299790,0.71741,0.0427957,0.235008,4.15e-05,8.06331e-05,0.407566,0.0616534,0.54841,1092.41,0.71741,0.0427957,0.235008,8.06331e-05,0.407566,1092.41,1,0.299926,0,1,21872.4,3.32158,0.0345972,301.616,1.75071,0.022026,0.0457264,0.010007,-0.00025403
3.08192,0.999468,0.0268287,5,63,0,-0.868776,72.3167,0.0421717,0.270977,299790,0.723167,0.0421717,0.228806,4.15e-05,7.93544e-05,0.410062,0.0615928,0.548383,1092.26,0.723167,0.0421717,0.228806,7.93544e-05,0.410062,1092.26,1,0.291328,0,1,21620.3,3.35538,0.0349505,301.605,1.74666,0.0220545,0.0345376,0.00595715,-0.000225466
2.55919,0.899255,0.0268287,5,55,0,-0.385816,71.8956,0.0428685,0.276515,299790,0.718956,0.0428685,0.233646,4.15e-05,8.02867e-05,0.408039,0.061373,0.548286,1092.21,0.718956,0.0428685,0.233646,8.02867e-05,0.408039,1092.21,1,0.298297,0,1,21816,3.32789,0.034659,301.649,1.74996,0.0221586,0.0791114,0.00925794,-0.0001214
1.26424,0.786548,0.0268287,4,19,0,-0.553185,71.8058,0.0430771,0.277327,299790,0.718058,0.0430771,0.23425,4.15e-05,8.04877e-05,0.407741,0.0612633,0.548237,1092.14,0.718058,0.0430771,0.23425,8.04877e-05,0.407741,1092.14,1,0.299324,0,1,21844.6,3.3239,0.0346057,301.752,1.75043,0.0222109,0.182032,0.00972772,-6.91308e-05
1.218,0.970946,0.0268287,4,19,0,-0.584428,71.9417,0.0425698,0.275984,299790,0.719417,0.0425698,0.233414,4.15e-05,8.01839e-05,0.408233,0.0616396,0.548404,1092.39,0.719417,0.0425698,0.233414,8.01839e-05,0.408233,1092.39,1,0.297628,0,1,21802.5,3.3305,0.0347019,301.513,1.74965,0.0220325,-0.0569456,0.00895071,-0.000247541
2.63361,0.963519,0.0268287,5,63,0,1.54488,72.2965,0.042111,0.270603,299790,0.722965,0.042111,0.228493,4.15e-05,7.93987e-05,0.410198,0.0616863,0.548424,1092.3,0.722965,0.042111,0.228493,7.93987e-05,0.410198,1092.3,1,0.29086,0,1,21611.8,3.35724,0.0349632,301.662,1.74642,0.0220105,0.0920167,0.00572155,-0.000269518
2.04408,0.982903,0.0268287,2,3,0,-1.9503,72.2712,0.0421062,0.270516,299790,0.722712,0.0421062,0.22841,4.15e-05,7.94543e-05,0.41023,0.0617243,0.548441,1092.31,0.722712,0.0421062,0.22841,7.94543e-05,0.41023,1092.31,1,0.29075,0,1,21611.4,3.35767,0.0349622,301.709,1.74636,0.0219926,0.139025,0.00566209,-0.000287395
2.96095,0.992769,0.0268287,5,47,0,-1.00355,72.4745,0.0425076,0.270707,299790,0.724745,0.0425076,0.2282,4.15e-05,7.90092e-05,0.410161,0.0610202,0.548127,1091.9,0.724745,0.0425076,0.2282,7.90092e-05,0.410161,1091.9,1,0.290989,0,1,21589.3,3.35678,0.0349641,301.613,1.74652,0.0223273,0.0433351,0.00581588,4.73425e-05
1.17945,0.89813,0.0268287,4,15,0,-0.0429294,72.4492,0.0427607,0.271834,299790,0.724492,0.0427607,0.229073,4.15e-05,7.90643e-05,0.40975,0.0607775,0.548016,1091.77,0.724492,0.0427607,0.229073,7.90643e-05,0.40975,1091.77,1,0.292403,0,1,21621.1,3.35114,0.0349071,301.598,1.74721,0.0224446,0.0280262,0.00650557,0.000164608
2.0237,0.930793,0.0268287,2,3,0,-0.750214,72.4269,0.0424205,0.271616,299790,0.724269,0.0424205,0.229196,4.15e-05,7.9113e-05,0.409829,0.0611765,0.548198,1092.03,0.724269,0.0424205,0.229196,7.9113e-05,0.409829,1092.03,1,0.292129,0,1,21624.5,3.35222,0.034932,301.481,1.74707,0.0222524,-0.089035,0.00637203,-2.76495e-05
0.619319,0.778222,0.0268287,6,127,0,0.913788,72.9533,0.0417603,0.263258,299790,0.729533,0.0417603,0.221498,4.15e-05,7.79756e-05,0.412869,0.0612325,0.548223,1091.87,0.729533,0.0417603,0.221498,7.79756e-05,0.412869,1091.87,1,0.281686,0,1,21327.3,3.39497,0.0353393,301.806,1.74192,0.0222256,0.236328,0.00121568,-5.44179e-05
3.04282,1,0.0268287,1,3,0,-0.98783,72.9476,0.0415111,0.263374,299790,0.729476,0.0415111,0.221863,4.15e-05,7.79878e-05,0.412827,0.0615188,0.54835,1092.07,0.729476,0.0415111,0.221863,7.79878e-05,0.412827,1092.07,1,0.281831,0,1,21337.7,3.39438,0.0353505,301.658,1.74199,0.0220895,0.0875784,0.00129404,-0.000190515
3.78195,0.963531,0.0268287,2,5,0,-2.67036,72.9725,0.0416314,0.263664,299790,0.729725,0.0416314,0.222033,4.15e-05,7.79344e-05,0.412722,0.0613519,0.548276,1091.97,0.729725,0.0416314,0.222033,7.79344e-05,0.412722,1091.97,1,0.282191,0,1,21341.8,3.39288,0.035337,301.64,1.74218,0.0221687,0.0696832,0.00148305,-0.000111338
2.86111,0.640254,0.0268287,6,119,0,-0.408779,72.2686,0.0421741,0.271223,299790,0.722686,0.0421741,0.229049,4.15e-05,7.94601e-05,0.409973,0.0616524,0.548409,1092.29,0.722686,0.0421741,0.229049,7.94601e-05,0.409973,1092.29,1,0.291637,0,1,21632.4,3.35413,0.0349344,301.632,1.7468,0.0220264,0.0616047,0.00609982,-0.000253553
3.39782,0.99451,0.0268287,3,7,0,-2.47736,72.2728,0.0423721,0.271848,299790,0.722728,0.0423721,0.229476,4.15e-05,7.94509e-05,0.409745,0.0614281,0.54831,1092.17,0.722728,0.0423721,0.229476,7.94509e-05,0.409745,1092.17,1,0.292421,0,1,21646.9,3.35101,0.0349022,301.629,1.74718,0.0221324,0.0585414,0.00648471,-0.000147571
-0.880801,0.466896,0.0268287,2,7,0,3.38865,72.3152,0.0421426,0.272147,299790,0.723152,0.0421426,0.230005,4.15e-05,7.93576e-05,0.409635,0.0616269,0.548398,1092.33,0.723152,0.0421426,0.230005,7.93576e-05,0.409635,1092.33,1,0.292797,0,1,21658.2,3.34955,0.0349138,301.397,1.74738,0.0220384,-0.172681,0.00668298,-0.000241567
2.11728,0.890379,0.0268287,2,7,0,5.17666,72.219,0.0422955,0.271354,299790,0.72219,0.0422955,0.229058,4.15e-05,7.95692e-05,0.409925,0.061582,0.548378,1092.23,0.72219,0.0422955,0.229058,7.95692e-05,0.409925,1092.23,1,0.291801,0,1,21638,3.35345,0.0349143,301.744,1.74687,0.0220596,0.173708,0.00616844,-0.000220399
3.02085,0.999669,0.0268287,4,15,0,-0.892956,72.2783,0.0422931,0.271924,299790,0.722783,0.0422931,0.22963,4.15e-05,7.94387e-05,0.409717,0.061508,0.548345,1092.23,0.722783,0.0422931,0.22963,7.94387e-05,0.409717,1092.23,1,0.292516,0,1,21650.7,3.35064,0.0349056,301.566,1.74723,0.0220946,-0.00402103,0.00653407,-0.00018541
3.72502,0.955787,0.0268287,5,43,0,-2.47372,72.5386,0.0422005,0.269015,299790,0.725386,0.0422005,0.226814,4.15e-05,7.88695e-05,0.410777,0.061275,0.548242,1092.02,0.725386,0.0422005,0.226814,7.88695e-05,0.410777,1092.02,1,0.288869,0,1,21537.3,3.36532,0.0350498,301.641,1.74548,0.0222053,0.071168,0.00477773,-7.4691e-05
3.92251,0.973608,0.0268287,6,75,0,-3.38124,73.0609,0.0416263,0.263611,299790,0.730609,0.0416263,0.221985,4.15e-05,7.77459e-05,0.412741,0.0612448,0.548228,1091.93,0.730609,0.0416263,0.221985,7.77459e-05,0.412741,1091.93,1,0.282125,0,1,21332.4,3.39319,0.0353537,301.525,1.74217,0.0222197,-0.0452594,0.00146768,-6.02786e-05
