# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb4_4_model
# start_datetime = 2023-07-27 08:25:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model3/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpi41g4h3w/qahj9hqm.json
# random
#   seed = 43854
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/cmb/cmb4_4-20230727092527_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,c,h,Omega_b,Omega_c,wr,Omega_r,lambda,g1,g2,zstar,faketheta.1,faketheta.2,faketheta.3,faketheta.4,faketheta.5,faketheta.6,y1,dy1,y2,dy2,S.1.1,S.1.2,sol,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0209741
# Diagonal elements of inverse mass matrix:
# 0.000121075, 2.48121e-05, 8.03846e-05
4.0179,0.962896,0.0209741,2,7,0,-2.47847,73.1222,0.0417786,0.26327,299790,0.731222,0.0417786,0.221491,4.15e-05,7.76157e-05,0.412865,0.0609973,0.548117,1091.76,0.731222,0.0417786,0.221491,7.76157e-05,0.412865,1091.76,1,0.2817,0,1,21312.3,3.39498,0.0353655,301.583,1.74196,0.0223384,0.0131301,0.0012581,5.83907e-05
4.18072,0.999911,0.0209741,4,15,0,-3.91144,73.1137,0.0416007,0.262896,299790,0.731137,0.0416007,0.221295,4.15e-05,7.76338e-05,0.413,0.0612062,0.548211,1091.88,0.731137,0.0416007,0.221295,7.76338e-05,0.413,1091.88,1,0.281235,0,1,21305.4,3.39693,0.0353884,301.561,1.74172,0.0222381,-0.00916007,0.00101876,-4.18737e-05
4.13448,0.999793,0.0209741,6,79,0,-4.04218,72.9661,0.0417979,0.264444,299790,0.729661,0.0417979,0.222646,4.15e-05,7.79482e-05,0.412439,0.0611743,0.548197,1091.88,0.729661,0.0417979,0.222646,7.79482e-05,0.412439,1091.88,1,0.283162,0,1,21363.3,3.38883,0.0352987,301.607,1.74268,0.0222534,0.0367774,0.00197878,-2.65805e-05
3.21462,0.88869,0.0209741,2,7,0,-2.99106,72.9562,0.0415736,0.2644,299790,0.729562,0.0415736,0.222826,4.15e-05,7.79693e-05,0.412455,0.0614375,0.548314,1092.06,0.729562,0.0415736,0.222826,7.79693e-05,0.412455,1092.06,1,0.283107,0,1,21368.2,3.38907,0.0353131,301.505,1.74265,0.022128,-0.0651442,0.00195265,-0.000151996
1.28645,0.870519,0.0209741,6,95,0,-0.274042,73.3694,0.0410478,0.259927,299790,0.733694,0.0410478,0.21888,4.15e-05,7.70936e-05,0.414075,0.0615043,0.548344,1092.04,0.733694,0.0410478,0.21888,7.70936e-05,0.414075,1092.04,1,0.277551,0,1,21200.9,3.41262,0.0355689,301.417,1.73986,0.0220963,-0.153307,-0.000843203,-0.000183669
0.96448,0.995747,0.0209741,6,79,0,2.23374,74.4797,0.0401813,0.247456,299790,0.744797,0.0401813,0.207275,4.15e-05,7.48122e-05,0.418563,0.061099,0.548163,1091.52,0.744797,0.0401813,0.207275,7.48122e-05,0.418563,1091.52,1,0.26221,0,1,20719.1,3.4812,0.0362576,301.633,1.73172,0.0222895,0.0631057,-0.00898015,9.4703e-06
2.96369,0.990091,0.0209741,6,67,0,-0.453433,73.686,0.0409978,0.255907,299790,0.73686,0.0409978,0.214909,4.15e-05,7.64325e-05,0.415526,0.06116,0.54819,1091.71,0.73686,0.0409978,0.214909,7.64325e-05,0.415526,1091.71,1,0.272582,0,1,21044.2,3.43421,0.0357653,301.659,1.73727,0.0222603,0.0886922,-0.00342665,-1.97482e-05
3.29993,0.994861,0.0209741,6,103,0,-1.37545,73.1255,0.0414752,0.261736,299790,0.731255,0.0414752,0.220261,4.15e-05,7.76087e-05,0.41342,0.0613319,0.548267,1091.92,0.731255,0.0414752,0.220261,7.76087e-05,0.41342,1091.92,1,0.279795,0,1,21270.2,3.40299,0.0354382,301.675,1.74097,0.0221782,0.104623,0.000274583,-0.000101814
4.13237,0.955319,0.0209741,6,99,0,-1.87305,73.4703,0.0413758,0.25923,299790,0.734703,0.0413758,0.217854,4.15e-05,7.68819e-05,0.414327,0.061006,0.548121,1091.69,0.734703,0.0413758,0.217854,7.68819e-05,0.414327,1091.69,1,0.276687,0,1,21161.4,3.41634,0.0355881,301.582,1.73942,0.0223342,0.0120823,-0.00128496,5.41969e-05
4.01813,0.99997,0.0209741,6,103,0,-3.67897,73.7082,0.0410875,0.25681,299790,0.737082,0.0410875,0.215722,4.15e-05,7.63864e-05,0.415201,0.0610304,0.548132,1091.67,0.737082,0.0410875,0.215722,7.63864e-05,0.415201,1091.67,1,0.273695,0,1,21069.4,3.42936,0.0357311,301.52,1.73788,0.0223225,-0.0500261,-0.00282442,4.2457e-05
3.42372,0.934471,0.0209741,5,43,0,-3.17828,73.7133,0.0411087,0.25617,299790,0.737133,0.0411087,0.215061,4.15e-05,7.63759e-05,0.415432,0.0610001,0.548118,1091.62,0.737133,0.0411087,0.215061,7.63759e-05,0.415432,1091.62,1,0.272906,0,1,21047.6,3.4328,0.0357531,301.637,1.73745,0.022337,0.0673799,-0.00324828,5.70231e-05
3.64082,0.99526,0.0209741,7,155,0,-2.76017,72.6774,0.0420772,0.268076,299790,0.726774,0.0420772,0.225999,4.15e-05,7.85687e-05,0.411119,0.0612333,0.548223,1092,0.726774,0.0420772,0.225999,7.85687e-05,0.411119,1092,1,0.287694,0,1,21498.1,3.37013,0.0351115,301.541,1.74492,0.0222252,-0.0289073,0.00421875,-5.48029e-05
