# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0272212
# Diagonal elements of inverse mass matrix:
# 6.04859e-05, 2.46337e-05, 5.36695e-05
2.24739,0.818016,0.0272212,5,39,0,-0.863739,68.3862,0.0474875,0.299207,0.683862,0.0474875,0.251719,4.15e-05,8.87382e-05,0.700704,0.683862,0.0474875,0.251719,8.87382e-05,0.700704,0.0612685,0.548239,1091.87,0,0,3.18212,3.18212,0.0331398,301.659,1.74061,0.0222084,0.0893675,-8.59212e-05,-7.1633e-05
1.5904,0.883554,0.0272212,3,7,0,-0.858396,68.3541,0.0474888,0.299286,0.683541,0.0474888,0.251797,4.15e-05,8.88218e-05,0.700626,0.683541,0.0474888,0.251797,8.88218e-05,0.700626,0.0613111,0.548258,1091.9,0,0,3.18178,3.18178,0.0331322,301.696,1.74065,0.0221881,0.125772,-4.60845e-05,-9.19002e-05
0.0331075,0.877055,0.0272212,2,3,0,0.103506,68.3569,0.0476247,0.299189,0.683569,0.0476247,0.251564,4.15e-05,8.88143e-05,0.700722,0.683569,0.0476247,0.251564,8.88143e-05,0.700722,0.0611742,0.548197,1091.8,0,0,3.18218,3.18218,0.0331281,301.771,1.74059,0.0222535,0.20101,-0.000105229,-2.65468e-05
0.566578,0.784529,0.0272212,4,23,0,4.14928,68.4516,0.0472348,0.299367,0.684516,0.0472348,0.252132,4.15e-05,8.85687e-05,0.700545,0.684516,0.0472348,0.252132,8.85687e-05,0.700545,0.0614281,0.54831,1092.02,0,0,3.18148,3.18148,0.0331596,301.418,1.74073,0.0221324,-0.151565,2.83011e-05,-0.000147555
2.28036,0.769256,0.0272212,2,3,0,2.08113,68.4335,0.0473741,0.299484,0.684335,0.0473741,0.25211,4.15e-05,8.86158e-05,0.700427,0.684335,0.0473741,0.25211,8.86158e-05,0.700427,0.0613156,0.54826,1091.94,0,0,3.18097,3.18097,0.0331459,301.495,1.74079,0.022186,-0.0748191,9.20437e-05,-9.40478e-05
2.39707,0.911166,0.0272212,2,3,0,-1.36817,68.4238,0.0476825,0.299509,0.684238,0.0476825,0.251827,4.15e-05,8.86408e-05,0.700402,0.684238,0.0476825,0.251827,8.86408e-05,0.700402,0.061027,0.54813,1091.73,0,0,3.18085,3.18085,0.0331271,301.654,1.7408,0.0223241,0.0844326,9.97433e-05,4.40704e-05
2.93424,1,0.0272212,1,3,0,-2.49078,68.4242,0.0475892,0.299588,0.684242,0.0475892,0.251999,4.15e-05,8.86398e-05,0.700323,0.684242,0.0475892,0.251999,8.86398e-05,0.700323,0.0611174,0.548171,1091.8,0,0,3.18052,3.18052,0.03313,301.597,1.74085,0.0222806,0.0274876,0.000148237,6.49907e-07
2.60994,0.881476,0.0272212,3,11,0,-1.29293,68.4749,0.0476752,0.299981,0.684749,0.0476752,0.252306,4.15e-05,8.85085e-05,0.69993,0.684749,0.0476752,0.252306,8.85085e-05,0.69993,0.0609649,0.548102,1091.73,0,0,3.17888,3.17888,0.0331227,301.508,1.74109,0.022354,-0.0619869,0.000392136,7.40066e-05
2.14277,0.999657,0.0272212,6,103,0,0.321907,69.7005,0.0464251,0.284246,0.697005,0.0464251,0.237821,4.15e-05,8.54234e-05,0.715669,0.697005,0.0464251,0.237821,8.54234e-05,0.715669,0.0605529,0.547913,1091.22,0,0,3.24815,3.24815,0.0338493,301.464,1.73174,0.022554,-0.105791,-0.00896044,0.000274046
1.83357,0.787675,0.0272212,2,3,0,-0.505926,69.7167,0.0464846,0.284277,0.697167,0.0464846,0.237792,4.15e-05,8.53837e-05,0.715637,0.697167,0.0464846,0.237792,8.53837e-05,0.715637,0.0604724,0.547875,1091.17,0,0,3.24801,3.24801,0.0338477,301.466,1.73176,0.0225935,-0.103968,-0.008938,0.000313463
1.74139,0.633969,0.0272212,4,27,0,2.01082,69.4708,0.0460916,0.285048,0.694708,0.0460916,0.238956,4.15e-05,8.5989e-05,0.714866,0.694708,0.0460916,0.238956,8.5989e-05,0.714866,0.0611925,0.548205,1091.62,0,0,3.24444,3.24444,0.0338059,301.506,1.7322,0.0222447,-0.0637358,-0.00850017,-3.52914e-05
1.49449,0.988394,0.0272212,4,31,0,-0.655863,69.506,0.0468314,0.287467,0.69506,0.0468314,0.240635,4.15e-05,8.59021e-05,0.712447,0.69506,0.0468314,0.240635,8.59021e-05,0.712447,0.0604089,0.547846,1091.19,0,0,3.23358,3.23358,0.0336984,301.456,1.73371,0.0226246,-0.114119,-0.00698879,0.000344636
-1.26317,0.92637,0.0272212,3,7,0,1.90949,69.5308,0.0470284,0.28838,0.695308,0.0470284,0.241351,4.15e-05,8.58409e-05,0.711535,0.695308,0.0470284,0.241351,8.58409e-05,0.711535,0.0601831,0.547739,1091.08,0,0,3.22952,3.22952,0.0336645,301.381,1.73428,0.022736,-0.189116,-0.00641819,0.000456017
-2.29757,0.898532,0.0272212,2,3,0,2.58885,69.5328,0.0471879,0.288492,0.695328,0.0471879,0.241304,4.15e-05,8.58358e-05,0.711422,0.695328,0.0471879,0.241304,8.58358e-05,0.711422,0.0600252,0.547664,1090.98,0,0,3.22901,3.22901,0.0336525,301.441,1.73435,0.0228145,-0.129339,-0.00635051,0.000534464
