# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 10:45:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpkqw66c8c/_e_nzfz2.json
# random
#   seed = 18528
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725114542.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.367923
# Diagonal elements of inverse mass matrix:
# 0.0007232, 0.0149394
1.17179,0.996377,0.367923,2,7,0,-0.230879,77.0013,0.358889,77.0013,0.358889,0.376905,1,0,0.407058,1,1.17569,1.26515,1.37542,1.40269,1.52809,2.48113,0.296905,0.39536,0.493963,0.515562,0.604387,1.01107,1267.39,1664.6,2047.18,2128.77,2455.54,3759.51,150,299790
0.620615,0.970026,0.367923,3,15,0,0.344684,73.0533,0.30076,73.0533,0.30076,0.399107,1,0,0.329189,1,1.1437,1.21843,1.31196,1.33531,1.44363,2.29337,0.30085,0.402569,0.505453,0.528119,0.621791,1.05775,1266.31,1674.19,2072.36,2157.93,2502.72,3903.06,150,299790
-0.638514,0.866267,0.367923,2,3,0,0.748648,73.9652,0.277628,73.9652,0.277628,0.40766,1,0,0.299573,1,1.13122,1.19996,1.28653,1.30823,1.40927,2.21445,0.302413,0.405475,0.510169,0.533294,0.629079,1.07848,1242.11,1646.76,2044.19,2129.9,2476.32,3896.07,150,299790
0.427094,1,0.367923,3,11,0,1.63074,78.4721,0.389763,78.4721,0.389763,0.364669,1,0,0.450453,1,1.19296,1.29002,1.40872,1.43794,1.57177,2.57547,0.294809,0.391599,0.488082,0.509161,0.595659,0.988938,1269.94,1662.5,2038.26,2118.14,2437.2,3701.31,150,299790
0.804256,0.999156,0.367923,2,3,0,-0.412053,77.8383,0.380074,77.8383,0.380074,0.368544,1,0,0.436681,1,1.18752,1.28222,1.3983,1.42693,1.55815,2.54623,0.295466,0.392773,0.48991,0.511149,0.59836,0.995707,1270.73,1665.22,2043.53,2124.03,2445.82,3723.48,150,299790
0.232139,0.990388,0.367923,2,3,0,-0.218146,78.507,0.403719,78.507,0.403719,0.359031,1,0,0.470537,1,1.20081,1.30124,1.42365,1.45373,1.59124,2.61702,0.293862,0.389917,0.485476,0.50633,0.591827,0.979456,1275.5,1667.4,2041.56,2120.98,2437.91,3690.01,150,299790
0.987213,0.912416,0.367923,2,7,0,0.589555,77.0137,0.374361,77.0137,0.374361,0.370813,1,0,0.428626,1,1.18432,1.27761,1.39215,1.42041,1.55008,2.52884,0.295854,0.393468,0.490996,0.51233,0.599969,0.999772,1274.79,1671.54,2052.45,2133.56,2457.92,3747.43,150,299790
0.596887,0.973931,0.367923,2,7,0,0.554406,78.1869,0.387503,78.1869,0.387503,0.365576,1,0,0.447229,1,1.19169,1.2882,1.40629,1.43538,1.5686,2.56868,0.294962,0.391872,0.488507,0.509623,0.596286,0.990503,1271.24,1664.59,2041.27,2121.36,2441.33,3709.67,150,299790
0.436545,0.964306,0.367923,2,3,0,-0.328525,77.4889,0.395825,77.4889,0.395825,0.362229,1,0,0.459141,1,1.19636,1.29489,1.41521,1.44481,1.58025,2.5936,0.294397,0.390867,0.486946,0.507926,0.593986,0.984781,1280.46,1675.22,2052.66,2132.85,2452.99,3719.8,150,299790
0.484887,0.976679,0.367923,2,3,0,-0.0163979,78.3318,0.392132,78.3318,0.392132,0.363717,1,0,0.453841,1,1.19429,1.29192,1.41126,1.44063,1.57509,2.58257,0.294648,0.391312,0.487637,0.508678,0.595004,0.987307,1272.08,1664.89,2040.73,2120.6,2439.59,3702.8,150,299790
0.584192,0.923539,0.367923,3,7,0,0.172529,77.1054,0.387887,77.1054,0.387887,0.365422,1,0,0.447775,1,1.1919,1.28851,1.4067,1.43581,1.56914,2.56984,0.294936,0.391826,0.488435,0.509544,0.596179,0.990236,1280.17,1676.21,2055.45,2136.08,2458.19,3734.94,150,299790
0.550596,0.99351,0.367923,3,11,0,-0.0395137,73.3011,0.310497,73.3011,0.310497,0.39546,1,0,0.341887,1,1.149,1.22623,1.32265,1.34668,1.45797,2.32584,0.300191,0.401351,0.503491,0.52597,0.618785,1.04942,1270.63,1677.98,2074.67,2159.8,2502.43,3889.23,150,299790
0.695786,0.748091,0.367923,2,3,0,1.80116,73.4275,0.289855,73.4275,0.289855,0.403158,1,0,0.315132,1,1.1378,1.20971,1.29998,1.32256,1.42748,2.25649,0.301588,0.403937,0.507666,0.530546,0.625201,1.06735,1255.56,1662.13,2060.15,2145.83,2491.52,3901.29,150,299790
1.21446,0.966117,0.367923,3,15,0,-0.174619,76.2895,0.357602,76.2895,0.357602,0.377408,1,0,0.405279,1,1.17497,1.26412,1.37403,1.40122,1.52625,2.47712,0.296993,0.395517,0.494211,0.515832,0.604758,1.01203,1272.56,1671.62,2056.08,2138.09,2466.57,3777.75,150,299790
1.29864,1,0.367923,2,3,0,-1.22216,76.4627,0.351606,76.4627,0.351606,0.379744,1,0,0.397028,1,1.17164,1.25929,1.36752,1.39432,1.51766,2.45837,0.2974,0.396254,0.495373,0.517099,0.606497,1.01654,1268.05,1666.8,2051.45,2133.55,2462.6,3778.1,150,299790
1.04829,0.968442,0.367923,3,9,0,-0.692859,74.1829,0.319532,74.1829,0.319532,0.392051,1,0,0.353793,1,1.15394,1.23349,1.33254,1.3572,1.47121,2.35558,0.299578,0.400225,0.501684,0.523993,0.616029,1.04188,1268.83,1673.85,2067.41,2151.76,2490.91,3859.54,150,299790
0.405975,0.98957,0.367923,3,11,0,-0.208927,73.2444,0.282742,73.2444,0.282742,0.405782,1,0,0.306055,1,1.13396,1.20404,1.29216,1.31423,1.4169,2.23213,0.302068,0.404831,0.509119,0.532141,0.62745,1.07378,1251.95,1658.77,2057.78,2143.77,2491.04,3911.26,150,299790
-1.134,0.97975,0.367923,3,15,0,1.42756,70.4943,0.265233,70.4943,0.265233,0.412181,1,0,0.284019,1,1.1246,1.19011,1.27288,1.29368,1.39071,2.17106,0.303247,0.407038,0.512727,0.536106,0.633071,1.09017,1262.03,1675.71,2083.41,2171.52,2528.24,3998.3,150,299790
1.35419,0.974012,0.367923,3,11,0,1.87234,76.0484,0.342234,76.0484,0.342234,0.383374,1,0,0.384238,1,1.16644,1.25174,1.35733,1.38351,1.50418,2.42877,0.298037,0.397409,0.4972,0.519093,0.609242,1.02373,1266.45,1666.42,2053.04,2135.67,2467.07,3795.39,150,299790
1.28094,0.963637,0.367923,3,11,0,-1.03907,76.5525,0.353492,76.5525,0.353492,0.379011,1,0,0.399618,1,1.17269,1.26081,1.36957,1.39649,1.52036,2.46428,0.297272,0.396022,0.495007,0.5167,0.605949,1.01511,1268.3,1666.78,2051.01,2133.01,2461.57,3774.48,150,299790
0.989475,0.963057,0.367923,2,7,0,-0.757085,77.2572,0.354044,77.2572,0.354044,0.378796,1,0,0.400377,1,1.17299,1.26125,1.37017,1.39713,1.52116,2.46601,0.297235,0.395954,0.4949,0.516583,0.605788,1.0147,1262.87,1659.54,2041.98,2123.59,2450.58,3757.05,150,299790
0.228037,0.939688,0.367923,2,3,0,-0.178099,77.8716,0.350212,77.8716,0.350212,0.380286,1,0,0.395118,1,1.17087,1.25816,1.36601,1.39271,1.51566,2.45399,0.297495,0.396426,0.495643,0.517394,0.606903,1.0176,1255.97,1651.17,2032.51,2113.92,2440.24,3745.3,150,299790
1.09131,0.995224,0.367923,3,11,0,-0.18156,74.9666,0.311535,74.9666,0.311535,0.39507,1,0,0.343249,1,1.14957,1.22707,1.32379,1.34789,1.45949,2.32927,0.30012,0.401222,0.503283,0.525742,0.618467,1.04854,1257.29,1660.17,2052.4,2136.56,2475.25,3845.61,150,299790
