# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.293347
# Diagonal elements of inverse mass matrix:
# 0.0010928, 0.0179356
1.09246,0.89412,0.293347,2,3,0,4.19433,77.0845,0.368902,77.0845,0.368902,0.372971,1,0,0.420976,1,1.18127,1.27322,1.38626,1.41417,1.54235,2.51211,0.296225,0.394134,0.492038,0.513465,0.601518,1.00371,1271.63,1668.36,2049.69,2130.92,2455.97,3749.89,150,299790
0.866755,0.987317,0.293347,2,3,0,-0.815765,77.7513,0.375213,77.7513,0.375213,0.370475,1,0,0.429826,1,1.1848,1.2783,1.39307,1.42138,1.55129,2.53144,0.295796,0.393364,0.490833,0.512154,0.599728,0.999162,1269.21,1664.07,2043.11,2123.81,2446.51,3729.21,150,299790
0.595573,0.991288,0.293347,2,3,0,-0.494019,78.0341,0.391451,78.0341,0.391451,0.363991,1,0,0.452866,1,1.1939,1.29137,1.41053,1.43986,1.57414,2.58053,0.294694,0.391395,0.487765,0.508816,0.595192,0.987775,1274.18,1667.75,2044.37,2124.42,2444.1,3710.27,150,299790
0.0464787,0.987494,0.293347,2,3,0,-0.0106938,78.6431,0.410194,78.6431,0.410194,0.356391,1,0,0.479955,1,1.20446,1.30645,1.43055,1.46102,1.60022,2.63609,0.293424,0.389141,0.484278,0.505029,0.590073,0.975159,1277,1668.27,2041.4,2120.56,2436.27,3682.01,150,299790
1.01339,0.769021,0.293347,3,11,0,4.9933,74.2885,0.323821,74.2885,0.323821,0.390424,1,0,0.359488,1,1.1563,1.23693,1.33724,1.36218,1.47747,2.36957,0.299287,0.399691,0.500831,0.523059,0.614731,1.03837,1270.55,1675.29,2068.17,2152.34,2490.56,3853.57,150,299790
0.909085,0.953792,0.293347,3,13,0,-0.26118,76.4814,0.331484,76.4814,0.331484,0.387503,1,0,0.369727,1,1.16051,1.24309,1.34561,1.37107,1.48862,2.39438,0.298767,0.39874,0.499313,0.5214,0.612431,1.03219,1256.92,1655.87,2042.45,2125.18,2457.36,3792.93,150,299790
1.28523,0.998425,0.293347,2,7,0,-0.362273,74.7859,0.320457,74.7859,0.320457,0.3917,1,0,0.35502,1,1.15445,1.23423,1.33356,1.35827,1.47256,2.3586,0.299515,0.40011,0.5015,0.523791,0.615748,1.04112,1264.34,1667.75,2059.65,2143.64,2481.3,3843.46,150,299790
-0.334163,0.983671,0.293347,3,13,0,0.870453,71.5868,0.264839,71.5868,0.264839,0.412324,1,0,0.283529,1,1.12439,1.1898,1.27245,1.29321,1.39012,2.16966,0.303274,0.407088,0.512809,0.536196,0.633199,1.09055,1252.18,1662.71,2067.35,2154.81,2508.9,3968.38,150,299790
-0.592618,0.99017,0.293347,1,3,0,0.767786,71.0199,0.263848,71.0199,0.263848,0.412683,1,0,0.282295,1,1.12386,1.18902,1.27136,1.29205,1.38863,2.16616,0.30334,0.407213,0.513014,0.536422,0.633521,1.0915,1256.28,1668.36,2074.64,2162.47,2518.11,3984.65,150,299790
-1.06704,0.986472,0.293347,2,3,0,1.15524,70.4359,0.256059,70.4359,0.256059,0.415499,1,0,0.272648,1,1.11973,1.18285,1.26278,1.28289,1.37691,2.13841,0.303863,0.408198,0.514634,0.538205,0.636064,1.09911,1254.84,1668.06,2076.37,2164.75,2523.08,4006.22,150,299790
