# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-21 15:11:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp01ars5w5/z3ukat6_.json
# random
#   seed = 35118
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230721161121.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.318335
# Diagonal elements of inverse mass matrix:
# 0.00104139, 0.018858
1.06237,0.913085,0.318335,2,3,0,-0.215766,76.3528,0.332746,76.3528,0.332746,0.38702,1,0,0.371422,1,1.16121,1.24411,1.34699,1.37254,1.49045,2.39844,0.298681,0.398583,0.499064,0.521128,0.612054,1.03118,1258.68,1657.96,2044.74,2127.5,2459.75,3795.12,150,299790
0.753599,0.928778,0.318335,1,1,0,-0.719117,76.6311,0.331216,76.6311,0.331216,0.387605,1,0,0.369367,1,1.16036,1.24288,1.34532,1.37076,1.48823,2.39351,0.298785,0.398773,0.499366,0.521458,0.612511,1.0324,1255.55,1654.13,2040.36,2123.01,2454.92,3789.47,150,299790
0.743899,0.878489,0.318335,2,3,0,0.612264,76.4747,0.32793,76.4747,0.32793,0.38886,1,0,0.364967,1,1.15855,1.24023,1.34173,1.36695,1.48345,2.3829,0.299008,0.399181,0.500016,0.522168,0.613495,1.03504,1254.92,1653.91,2040.84,2123.68,2456.44,3795.77,150,299790
-0.123124,0.978508,0.318335,3,15,0,1.49002,72.0089,0.268795,72.0089,0.268795,0.410886,1,0,0.288467,1,1.1265,1.19294,1.27681,1.29786,1.39606,2.18361,0.303008,0.406589,0.51199,0.535295,0.631918,1.08677,1251.74,1661.32,2064.57,2151.67,2504.11,3954.15,150,299790
-1.95023,0.965493,0.318335,2,5,0,2.31485,69.492,0.242425,69.492,0.242425,0.420389,1,0,0.255967,1,1.11256,1.17211,1.24777,1.26686,1.3563,2.08902,0.304776,0.409924,0.517488,0.54135,0.640573,1.11287,1250.98,1665.79,2077.31,2166.61,2529.43,4041.88,150,299790
-3.60036,0.774659,0.318335,3,7,0,5.24523,68.5419,0.249147,68.5419,0.249147,0.417984,1,0,0.264159,1,1.11609,1.1774,1.25517,1.27476,1.36647,2.11351,0.304327,0.409073,0.516078,0.539795,0.638341,1.10601,1265.68,1683.93,2098.04,2187.79,2552.05,4065.05,150,299790
-3.22007,0.913273,0.318335,2,3,0,4.68532,68.6833,0.225157,68.6833,0.225157,0.426511,1,0,0.235213,1,1.10357,1.15859,1.22879,1.24655,1.33006,2.0249,0.305927,0.412115,0.521136,0.545376,0.646388,1.13117,1241.33,1656.58,2070.73,2160.91,2528.35,4075.58,150,299790
-4.18999,0.470315,0.318335,3,7,0,7.04179,68.6498,0.217566,68.6498,0.217566,0.429177,1,0,0.22622,1,1.09966,1.15268,1.22047,1.23764,1.31849,1.99613,0.306431,0.413078,0.52275,0.54716,0.64898,1.13954,1233.69,1648,2062.21,2152.53,2521.1,4080.61,150,299790
-4.18999,0.529427,0.318335,1,1,0,5.517,68.6498,0.217566,68.6498,0.217566,0.429177,1,0,0.22622,1,1.09966,1.15268,1.22047,1.23764,1.31849,1.99613,0.306431,0.413078,0.52275,0.54716,0.64898,1.13954,1233.69,1648,2062.21,2152.53,2521.1,4080.61,150,299790
-7.90978,0.693024,0.318335,2,3,0,8.54483,66.1716,0.230926,66.1716,0.230926,0.424474,1,0,0.2421,1,1.10656,1.16309,1.23513,1.25334,1.33884,2.04653,0.305543,0.411383,0.519913,0.544026,0.644433,1.12494,1270.26,1693.93,2115.73,2207.47,2580.89,4147.77,150,299790
