# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-20 13:48:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqnwu57i0/u2xb1q4t.json
# random
#   seed = 37728
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230720144840.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.15262
# Diagonal elements of inverse mass matrix:
# 0.00428669, 0.0380923, 5.12631e-05
0.636184,0.883144,0.15262,2,3,0,-0.347257,70.9237,0.29313,-0.000270801,70.9237,0.29313,-0.000270801,1252.93,1650.05,2037.64,2121.11,2458.74,3868.99,150,299790
0.39094,0.93774,0.15262,2,3,0,0.671501,70.7943,0.287667,-0.00197936,70.7943,0.287667,-0.00197936,1252.28,1651.7,2043.39,2128.06,2471.92,3962.21,150,299790
-1.56674,0.86259,0.15262,4,27,0,2.60065,77.2251,0.408905,-0.00108469,77.2251,0.408905,-0.00108469,1263.76,1646.74,2013.23,2091.29,2404.22,3679.9,150,299790
0.94096,0.997265,0.15262,4,31,0,2.08784,69.2618,0.293704,0.00417573,69.2618,0.293704,0.00417573,1262.75,1658.94,2042.12,2124.05,2452.59,3722.25,150,299790
1.11864,0.998059,0.15262,4,23,0,0.734624,75.5977,0.389128,-0.00586776,75.5977,0.389128,-0.00586776,1273.74,1666.4,2046.63,2128.33,2459.02,3931.63,150,299790
-0.112479,0.94467,0.15262,3,15,0,0.498767,77.3353,0.385092,-0.00889592,77.3353,0.385092,-0.00889592,1261.14,1653,2034.89,2117.36,2453.19,4049.11,150,299790
0.945207,0.958933,0.15262,3,15,0,3.50548,71.6416,0.347716,-0.00108634,71.6416,0.347716,-0.00108634,1281.32,1678.91,2063.41,2145.81,2477.75,3856.6,150,299790
0.313093,0.964405,0.15262,3,15,0,0.262194,71.3054,0.354615,-0.000111095,71.3054,0.354615,-0.000111095,1286.91,1684.33,2067.47,2149.4,2478.69,3821.25,150,299790
-3.46479,0.942503,0.15262,4,31,0,3.55053,66.0483,0.267866,0.0143909,66.0483,0.267866,0.0143909,1260.8,1651.88,2024.58,2103.25,2413.81,3459.47,150,299790
-0.936844,0.990945,0.15262,4,15,0,3.96283,69.8966,0.295233,-0.00427307,69.8966,0.295233,-0.00427307,1268.27,1673.56,2072.28,2158.72,2511.17,4111.52,150,299790
