# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.166016
# Diagonal elements of inverse mass matrix:
# 0.00853777, 101.056, 50.4259
-10408.3,0.932712,0.166016,3,15,1,10409.2,0.372443,59.6088,15.4426,0.372443,59.6088,15.4426,0.107791,0.130676,0.153348,0.158364,0.179424,0.295522,150,299790
-10407.3,0.999973,0.166016,4,15,0,10408.6,0.342066,59.9538,8.95597,0.342066,59.9538,8.95597,0.109231,0.1329,0.156346,0.161533,0.183301,0.303134,150,299790
-10409.2,0.89951,0.166016,3,11,1,10413.5,0.383553,50.4391,11.0537,0.383553,50.4391,11.0537,0.108554,0.13188,0.154986,0.160098,0.181555,0.299738,150,299790
-10408,0.999902,0.166016,4,15,0,10409.7,0.421735,61.1924,11.5926,0.421735,61.1924,11.5926,0.119036,0.144566,0.169855,0.17545,0.198935,0.328307,150,299790
-10408.5,0.915715,0.166016,3,12,1,10408.8,0.420891,59.4051,13.8544,0.420891,59.4051,13.8544,0.115891,0.140586,0.16505,0.170462,0.193184,0.318412,150,299790
-10408.2,0.999975,0.166016,3,7,0,10408.6,0.398395,61.1828,14.9282,0.398395,61.1828,14.9282,0.112672,0.13662,0.160344,0.165593,0.187629,0.309103,150,299790
-10409.1,0.915783,0.166016,3,12,1,10409.4,0.369727,60.9496,20.3455,0.369727,60.9496,20.3455,0.104747,0.126787,0.148624,0.153457,0.173748,0.285683,150,299790
-10408.7,0.908244,0.166016,3,11,1,10411,0.245842,56.5249,13.9318,0.245842,56.5249,13.9318,0.0871491,0.105723,0.124124,0.128195,0.145286,0.239474,150,299790
-10408.9,0.908878,0.166016,3,11,1,10409.6,0.243903,56.5912,15.3858,0.243903,56.5912,15.3858,0.0859115,0.104158,0.122235,0.126235,0.143027,0.235592,150,299790
-10409.2,0.998904,0.166016,4,15,0,10409.9,0.214684,60.926,18.1824,0.214684,60.926,18.1824,0.0805657,0.0975823,0.114442,0.118173,0.133837,0.22022,150,299790
-10407.7,0.999832,0.166016,4,15,0,10409.7,0.304787,74.3995,15.6436,0.304787,74.3995,15.6436,0.102886,0.124723,0.146356,0.151143,0.171239,0.282025,150,299790
-10408.2,0.92262,0.166016,3,13,1,10408.4,0.288752,70.737,18.6421,0.288752,70.737,18.6421,0.0969449,0.117402,0.13767,0.142156,0.160987,0.264846,150,299790
-10406.4,1,0.166016,4,15,0,10408.3,0.358647,68.1873,4.41424,0.358647,68.1873,4.41424,0.12251,0.149891,0.177033,0.183037,0.20823,0.346673,150,299790
-10406.6,0.888645,0.166016,3,9,1,10406.7,0.340288,66.5749,7.4842,0.340288,66.5749,7.4842,0.113708,0.138532,0.163123,0.168563,0.191392,0.317002,150,299790
