# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:31:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpihu4ha8p/qgklovjt.json
# random
#   seed = 33781
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230725143122.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.165043
# Diagonal elements of inverse mass matrix:
# 0.00412661, 0.042037, 5.19864e-05
1.14093,0.996393,0.165043,2,3,0,0.261473,73.8997,0.351512,-0.00131327,73.8997,0.351512,-0.00131327,1264.17,1656.03,2034.87,2116.05,2443.12,3805.23,150,299790
0.638802,0.997978,0.165043,3,15,0,-0.441985,73.819,0.391662,-0.00128466,73.819,0.391662,-0.00128466,1284.72,1676.73,2053.04,2133.35,2455.79,3780.74,150,299790
1.0314,0.999105,0.165043,4,27,0,-0.40341,69.7644,0.32195,0.00245715,69.7644,0.32195,0.00245715,1278.86,1676.88,2061.05,2143.15,2472.61,3772.76,150,299790
0.756012,0.988153,0.165043,3,7,0,1.42781,67.2681,0.265814,0.00106414,67.2681,0.265814,0.00106414,1263.77,1668,2063.76,2149.1,2494.39,3915.17,150,299790
1.28077,0.954039,0.165043,4,27,0,-0.180538,74.2484,0.361642,-0.00196378,74.2484,0.361642,-0.00196378,1267.27,1659.04,2037.55,2118.65,2445.48,3817.02,150,299790
1.27829,0.989221,0.165043,2,7,0,-0.397153,73.5861,0.36866,-0.000792381,73.5861,0.36866,-0.000792381,1275.11,1667.26,2044.85,2125.56,2449.93,3781.57,150,299790
1.1998,0.983454,0.165043,3,7,0,-0.506217,71.6605,0.310251,-0.00210514,71.6605,0.310251,-0.00210514,1260.11,1658.18,2046.75,2130.51,2469.91,3928.47,150,299790
0.528635,0.933991,0.165043,2,3,0,-0.130982,71.3165,0.308171,-0.00391026,71.3165,0.308171,-0.00391026,1263.92,1665.17,2058.49,2143.56,2489.58,4035.52,150,299790
0.274481,0.984479,0.165043,2,3,0,-0.00825334,72.2562,0.305308,-0.00390655,72.2562,0.305308,-0.00390655,1253.93,1652.51,2043.45,2128.04,2472.21,4012.37,150,299790
-0.258455,0.952166,0.165043,4,23,0,2.66346,77.7169,0.449592,-0.00456887,77.7169,0.449592,-0.00456887,1279.54,1664.19,2032.09,2110.54,2425.76,3764.86,150,299790
1.06089,0.996514,0.165043,4,19,0,1.22406,67.5789,0.276051,0.00462145,67.5789,0.276051,0.00462145,1264.61,1664,2051.3,2134.22,2466.97,3748.53,150,299790
1.37309,0.97289,0.165043,5,31,0,-0.0545349,69.0494,0.298998,0.00222527,69.0494,0.298998,0.00222527,1270.65,1670.14,2057.6,2140.65,2474.74,3806.12,150,299790
0.82321,0.983204,0.165043,4,31,0,0.329677,76.5984,0.408164,-0.00470649,76.5984,0.408164,-0.00470649,1272.55,1661.06,2035.23,2115.34,2438.37,3834.9,150,299790
0.878595,0.672451,0.165043,2,3,0,2.69196,75.5382,0.397111,-0.00252495,75.5382,0.397111,-0.00252495,1274.06,1662.97,2036.79,2116.66,2437.87,3781.95,150,299790
0.75379,0.998821,0.165043,4,15,0,-0.633504,75.3728,0.408338,-0.00300565,75.3728,0.408338,-0.00300565,1280.87,1670.59,2044.79,2124.71,2446.09,3796.33,150,299790
-3.61197,0.6253,0.165043,2,7,0,4.39871,76.9677,0.40132,0.00160217,76.9677,0.40132,0.00160217,1259.64,1640.43,2003.62,2080.75,2388.81,3598.87,150,299790
0.821089,0.974703,0.165043,4,19,0,3.90753,67.315,0.260162,0.00251323,67.315,0.260162,0.00251323,1256.97,1658.69,2051.28,2135.79,2476.89,3845.2,150,299790
0.754377,0.919311,0.165043,2,3,0,-0.0341631,67.4449,0.26531,0.000824875,67.4449,0.26531,0.000824875,1262.03,1666.01,2061.78,2147.17,2492.83,3922.09,150,299790
1.22551,0.995281,0.165043,4,31,0,-0.311477,70.5983,0.327981,0.00280964,70.5983,0.327981,0.00280964,1274.65,1670.09,2051.08,2132.42,2458.41,3735.96,150,299790
