lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.975651
# Diagonal elements of inverse mass matrix:
# 0.000926307
-51.0087,0.99701,0.975651,1,3,0,51.1096,0.284894,3.26194e+07,1.37038e+06,57571.6,23.8157,23.7563,23.7819,23.7809,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8234,23.8781,23.8035,23.7476,23.821,23.819,23.8027,23.8083,23.798,23.7974,23.7665,23.7985,23.8349,23.8073,23.802,23.8134,23.8033,23.8238,23.7976,23.8228,23.781,23.7731,23.8142,23.815,23.7758,23.6762
-51.515,0.879916,0.975651,1,3,0,51.7202,0.275642,3.26085e+07,1.37015e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7816,23.7721,23.7422,23.7742,23.7703,23.8774,23.8123,23.876,23.852,23.795,23.8215,23.876,23.8012,23.7452,23.8183,23.8161,23.7996,23.805,23.7944,23.7936,23.7624,23.7941,23.8302,23.8022,23.7966,23.8075,23.797,23.8171,23.7902,23.8148,23.7723,23.7634,23.8035,23.8031,23.7617,23.6597
-51.0452,0.995676,0.975651,1,3,0,51.4582,0.282096,3.26161e+07,1.37031e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.7821,23.7726,23.7428,23.7749,23.7711,23.8782,23.8133,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7469,23.8202,23.8181,23.8018,23.8073,23.7969,23.7963,23.7652,23.7972,23.8335,23.8057,23.8004,23.8116,23.8014,23.8218,23.7953,23.8204,23.7784,23.7702,23.811,23.8114,23.7716,23.6712
-51.5769,0.916248,0.975651,2,3,0,51.7774,0.27512,3.26079e+07,1.37014e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7422,23.7742,23.7703,23.8773,23.8122,23.8759,23.8519,23.7949,23.8214,23.8759,23.8011,23.745,23.8182,23.816,23.7994,23.8048,23.7942,23.7934,23.7621,23.7939,23.8299,23.8019,23.7963,23.8071,23.7967,23.8167,23.7898,23.8143,23.7718,23.7629,23.8029,23.8024,23.7609,23.6588
-52.5411,0.938394,0.975651,2,3,0,52.5438,0.269171,3.26009e+07,1.36999e+06,57571.6,23.8154,23.7558,23.7812,23.7801,23.7812,23.7716,23.7416,23.7735,23.7696,23.8765,23.8114,23.8749,23.8508,23.7937,23.8202,23.8745,23.7996,23.7434,23.8164,23.8141,23.7974,23.8027,23.7919,23.7909,23.7595,23.791,23.8268,23.7986,23.7928,23.8033,23.7926,23.8123,23.7851,23.8091,23.7662,23.7566,23.7959,23.7946,23.7516,23.6481
-51.4599,0.844,0.975651,1,3,0,54.3394,0.293021,3.26288e+07,1.37058e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7828,23.7734,23.7438,23.776,23.7724,23.8797,23.8148,23.8788,23.855,23.7983,23.8251,23.8799,23.8055,23.7498,23.8233,23.8215,23.8054,23.8112,23.8011,23.8008,23.77,23.8024,23.839,23.8117,23.8067,23.8185,23.8088,23.8297,23.8039,23.8298,23.7885,23.7816,23.8235,23.8253,23.788,23.6903
-51.1558,1,0.975651,1,1,0,51.3894,0.289368,3.26246e+07,1.37049e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7731,23.7435,23.7756,23.7719,23.8792,23.8143,23.8782,23.8543,23.7976,23.8244,23.8791,23.8046,23.7488,23.8223,23.8203,23.8042,23.8099,23.7997,23.7993,23.7684,23.8006,23.8372,23.8097,23.8046,23.8162,23.8063,23.8271,23.8011,23.8267,23.7851,23.7778,23.8193,23.8207,23.7826,23.684
-51.4218,0.846931,0.975651,2,3,0,52.3392,0.276493,3.26095e+07,1.37017e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7721,23.7423,23.7743,23.7704,23.8775,23.8124,23.8761,23.8521,23.7951,23.8217,23.8762,23.8015,23.7454,23.8186,23.8164,23.7999,23.8053,23.7947,23.794,23.7628,23.7945,23.8306,23.8027,23.7971,23.808,23.7976,23.8177,23.7909,23.8155,23.7731,23.7643,23.8045,23.8042,23.763,23.6613
-51.2798,1,0.975651,1,1,0,51.4204,0.278005,3.26113e+07,1.37021e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7424,23.7745,23.7706,23.8777,23.8127,23.8763,23.8524,23.7954,23.822,23.8765,23.8018,23.7458,23.819,23.8168,23.8004,23.8058,23.7953,23.7946,23.7634,23.7952,23.8314,23.8035,23.798,23.809,23.7986,23.8188,23.7921,23.8169,23.7745,23.7659,23.8063,23.8061,23.7653,23.664
-51.4354,0.873808,0.975651,2,3,0,52.5482,0.292786,3.26286e+07,1.37057e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8796,23.8148,23.8787,23.8549,23.7983,23.8251,23.8799,23.8055,23.7497,23.8232,23.8214,23.8053,23.8111,23.801,23.8007,23.7699,23.8022,23.8389,23.8116,23.8066,23.8183,23.8086,23.8296,23.8037,23.8296,23.7883,23.7813,23.8232,23.825,23.7877,23.6899
-51.0107,0.995138,0.975651,1,3,0,51.4351,0.285189,3.26197e+07,1.37039e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8775,23.8536,23.7968,23.8235,23.8781,23.8036,23.7477,23.8211,23.8191,23.8028,23.8084,23.7981,23.7975,23.7666,23.7987,23.8351,23.8074,23.8022,23.8135,23.8035,23.824,23.7978,23.8231,23.7813,23.7735,23.8146,23.8154,23.7763,23.6767
-51.0155,0.998906,0.975651,1,1,0,51.0155,0.285619,3.26202e+07,1.3704e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7753,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8236,23.8782,23.8037,23.7478,23.8212,23.8192,23.8029,23.8086,23.7982,23.7977,23.7668,23.7989,23.8353,23.8077,23.8024,23.8138,23.8038,23.8244,23.7981,23.8235,23.7817,23.7739,23.8151,23.8159,23.7769,23.6774
-51.4531,0.887208,0.975651,1,3,0,51.6895,0.276197,3.26092e+07,1.37017e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7721,23.7423,23.7743,23.7704,23.8774,23.8124,23.876,23.8521,23.7951,23.8216,23.8761,23.8014,23.7453,23.8185,23.8163,23.7998,23.8052,23.7946,23.7939,23.7626,23.7944,23.8305,23.8025,23.7969,23.8078,23.7974,23.8175,23.7907,23.8153,23.7728,23.764,23.8042,23.8038,23.7626,23.6607
-51.561,0.977024,0.975651,1,1,0,51.6318,0.275251,3.26081e+07,1.37014e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.7721,23.7422,23.7742,23.7703,23.8773,23.8123,23.8759,23.8519,23.7949,23.8214,23.8759,23.8011,23.7451,23.8182,23.816,23.7995,23.8048,23.7942,23.7935,23.7622,23.7939,23.83,23.802,23.7964,23.8072,23.7967,23.8168,23.7899,23.8145,23.7719,23.763,23.8031,23.8026,23.7611,23.659
-51.4334,0.889975,0.975651,1,3,0,52.7653,0.292767,3.26285e+07,1.37057e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8796,23.8148,23.8787,23.8549,23.7983,23.8251,23.8799,23.8055,23.7497,23.8232,23.8214,23.8053,23.8111,23.801,23.8006,23.7699,23.8022,23.8389,23.8115,23.8066,23.8183,23.8086,23.8296,23.8037,23.8296,23.7883,23.7813,23.8232,23.825,23.7877,23.6898
-51.0494,1,0.975651,2,3,0,51.3506,0.281963,3.26159e+07,1.37031e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.8181,23.8017,23.8073,23.7968,23.7962,23.7652,23.7971,23.8334,23.8057,23.8003,23.8115,23.8013,23.8217,23.7952,23.8203,23.7782,23.7701,23.8108,23.8112,23.7714,23.671
-51.1599,0.955265,0.975651,1,3,0,51.3497,0.289435,3.26247e+07,1.37049e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7731,23.7435,23.7756,23.7719,23.8792,23.8143,23.8782,23.8544,23.7976,23.8244,23.8791,23.8046,23.7488,23.8223,23.8204,23.8042,23.8099,23.7997,23.7993,23.7685,23.8007,23.8372,23.8097,23.8046,23.8162,23.8064,23.8271,23.8011,23.8267,23.7852,23.7779,23.8194,23.8208,23.7827,23.6841
-51.1727,0.997035,0.975651,1,1,0,51.2044,0.289638,3.26249e+07,1.3705e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7732,23.7435,23.7757,23.772,23.8792,23.8144,23.8782,23.8544,23.7977,23.8244,23.8791,23.8047,23.7489,23.8223,23.8204,23.8043,23.81,23.7998,23.7994,23.7686,23.8008,23.8373,23.8098,23.8048,23.8163,23.8065,23.8273,23.8013,23.8269,23.7854,23.7781,23.8197,23.821,23.783,23.6844
