lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 1.37767
# Diagonal elements of inverse mass matrix:
# 0.000598638
-51.199,0.931444,1.37767,2,3,0,51.483,0.279052,3.26125e+07,1.37024e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7819,23.7723,23.7425,23.7746,23.7707,23.8778,23.8128,23.8765,23.8525,23.7956,23.8222,23.8767,23.8021,23.7461,23.8193,23.8172,23.8008,23.8062,23.7957,23.795,23.7639,23.7957,23.8319,23.8041,23.7986,23.8096,23.7993,23.8196,23.7929,23.8178,23.7755,23.767,23.8075,23.8075,23.7669,23.6658
-51.199,0.902232,1.37767,1,1,0,51.4742,0.279052,3.26125e+07,1.37024e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7819,23.7723,23.7425,23.7746,23.7707,23.8778,23.8128,23.8765,23.8525,23.7956,23.8222,23.8767,23.8021,23.7461,23.8193,23.8172,23.8008,23.8062,23.7957,23.795,23.7639,23.7957,23.8319,23.8041,23.7986,23.8096,23.7993,23.8196,23.7929,23.8178,23.7755,23.767,23.8075,23.8075,23.7669,23.6658
-51.0216,0.979762,1.37767,2,3,0,51.3292,0.283045,3.26172e+07,1.37034e+06,57571.6,23.8157,23.7562,23.7818,23.7808,23.7821,23.7727,23.7429,23.775,23.7712,23.8783,23.8134,23.8772,23.8532,23.7964,23.823,23.8777,23.8031,23.7471,23.8204,23.8184,23.8021,23.8076,23.7972,23.7967,23.7657,23.7976,23.834,23.8063,23.8009,23.8122,23.802,23.8225,23.7961,23.8212,23.7793,23.7712,23.8121,23.8126,23.773,23.6729
-51.238,0.962746,1.37767,2,3,0,51.2902,0.290574,3.2626e+07,1.37052e+06,57571.6,23.8158,23.7565,23.7821,23.7813,23.7826,23.7732,23.7436,23.7758,23.7721,23.8793,23.8145,23.8784,23.8546,23.7979,23.8246,23.8794,23.8049,23.7491,23.8226,23.8207,23.8046,23.8103,23.8001,23.7998,23.769,23.8012,23.8378,23.8104,23.8053,23.8169,23.8071,23.828,23.802,23.8277,23.7862,23.779,23.8207,23.8222,23.7844,23.686
-51.6787,0.958198,1.37767,2,3,0,51.6986,0.294893,3.2631e+07,1.37063e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7829,23.7736,23.744,23.7762,23.7726,23.8799,23.8151,23.8791,23.8553,23.7987,23.8255,23.8803,23.806,23.7503,23.8238,23.822,23.806,23.8119,23.8018,23.8015,23.7709,23.8032,23.84,23.8127,23.8078,23.8197,23.81,23.8311,23.8054,23.8314,23.7902,23.7835,23.8256,23.8277,23.7908,23.6935
-51.4076,1,1.37767,1,1,0,51.6744,0.292511,3.26282e+07,1.37057e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8796,23.8148,23.8787,23.8549,23.7982,23.825,23.8798,23.8054,23.7496,23.8232,23.8213,23.8052,23.811,23.8009,23.8005,23.7698,23.8021,23.8388,23.8114,23.8064,23.8182,23.8084,23.8294,23.8035,23.8294,23.788,23.7811,23.8229,23.8247,23.7873,23.6894
-51.0489,1,1.37767,2,3,0,51.366,0.281979,3.2616e+07,1.37031e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.8181,23.8017,23.8073,23.7968,23.7962,23.7652,23.7971,23.8334,23.8057,23.8003,23.8115,23.8013,23.8217,23.7953,23.8203,23.7783,23.7701,23.8109,23.8112,23.7714,23.671
-51.21,0.679389,1.37767,2,3,0,53.3203,0.278899,3.26124e+07,1.37023e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7425,23.7746,23.7707,23.8778,23.8128,23.8765,23.8525,23.7956,23.8222,23.8767,23.802,23.746,23.8192,23.8171,23.8007,23.8062,23.7956,23.795,23.7638,23.7957,23.8318,23.804,23.7985,23.8096,23.7992,23.8194,23.7928,23.8176,23.7754,23.7669,23.8073,23.8073,23.7667,23.6656
-51.015,0.992774,1.37767,1,3,0,51.2183,0.28558,3.26202e+07,1.3704e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7752,23.7715,23.8787,23.8138,23.8776,23.8537,23.7969,23.8236,23.8782,23.8037,23.7478,23.8212,23.8192,23.8029,23.8085,23.7982,23.7977,23.7668,23.7988,23.8353,23.8076,23.8024,23.8138,23.8038,23.8243,23.7981,23.8234,23.7816,23.7739,23.815,23.8159,23.7769,23.6774
-51.136,0.95525,1.37767,2,3,0,51.2714,0.28903,3.26242e+07,1.37048e+06,57571.6,23.8158,23.7564,23.782,23.7812,23.7825,23.7731,23.7434,23.7756,23.7719,23.8791,23.8143,23.8781,23.8543,23.7976,23.8243,23.879,23.8045,23.7487,23.8222,23.8202,23.8041,23.8098,23.7995,23.7991,23.7683,23.8005,23.837,23.8095,23.8044,23.816,23.8061,23.8268,23.8008,23.8264,23.7848,23.7775,23.819,23.8203,23.7821,23.6834
-51.0872,1,1.37767,1,1,0,51.137,0.288067,3.26231e+07,1.37046e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7755,23.7718,23.879,23.8141,23.878,23.8541,23.7974,23.8241,23.8788,23.8043,23.7485,23.8219,23.8199,23.8038,23.8094,23.7992,23.7987,23.7679,23.8,23.8365,23.809,23.8038,23.8154,23.8054,23.8261,23.8001,23.8256,23.7839,23.7765,23.8179,23.819,23.7806,23.6817
-51.3462,0.848288,1.37767,2,3,0,51.9719,0.291868,3.26275e+07,1.37055e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7733,23.7437,23.7759,23.7722,23.8795,23.8147,23.8786,23.8548,23.7981,23.8249,23.8797,23.8052,23.7495,23.823,23.8211,23.805,23.8108,23.8006,23.8003,23.7695,23.8018,23.8385,23.8111,23.8061,23.8178,23.808,23.8289,23.803,23.8288,23.7874,23.7804,23.8222,23.8238,23.7863,23.6883
-51.1349,1,1.37767,2,3,0,51.2854,0.280059,3.26137e+07,1.37026e+06,57571.6,23.8156,23.7561,23.7817,23.7807,23.7819,23.7724,23.7426,23.7747,23.7708,23.878,23.813,23.8767,23.8527,23.7958,23.8224,23.877,23.8023,23.7463,23.8196,23.8175,23.8011,23.8066,23.7961,23.7954,23.7643,23.7962,23.8324,23.8046,23.7992,23.8103,23.8,23.8203,23.7937,23.8186,23.7765,23.7681,23.8086,23.8088,23.7685,23.6676
-51.4361,0.972829,1.37767,2,3,0,51.4409,0.276356,3.26094e+07,1.37017e+06,57571.6,23.8155,23.756,23.7815,23.7805,23.7817,23.7721,23.7423,23.7743,23.7704,23.8775,23.8124,23.8761,23.8521,23.7951,23.8217,23.8761,23.8014,23.7453,23.8185,23.8163,23.7999,23.8052,23.7946,23.7939,23.7627,23.7945,23.8305,23.8026,23.797,23.8079,23.7975,23.8176,23.7908,23.8154,23.773,23.7642,23.8043,23.804,23.7628,23.661
-51.9191,0.875216,1.37767,1,1,0,51.9679,0.272651,3.2605e+07,1.37008e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.7419,23.7739,23.77,23.877,23.8119,23.8755,23.8514,23.7944,23.8209,23.8753,23.8005,23.7444,23.8174,23.8152,23.7986,23.8039,23.7932,23.7924,23.761,23.7927,23.8286,23.8006,23.7948,23.8056,23.795,23.8149,23.7878,23.8122,23.7695,23.7603,23.8,23.7992,23.7571,23.6544
-51.9191,0.696208,1.37767,1,1,0,52.9754,0.272651,3.2605e+07,1.37008e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.7419,23.7739,23.77,23.877,23.8119,23.8755,23.8514,23.7944,23.8209,23.8753,23.8005,23.7444,23.8174,23.8152,23.7986,23.8039,23.7932,23.7924,23.761,23.7927,23.8286,23.8006,23.7948,23.8056,23.795,23.8149,23.7878,23.8122,23.7695,23.7603,23.8,23.7992,23.7571,23.6544
-51.0244,0.973814,1.37767,1,3,0,51.9139,0.286139,3.26208e+07,1.37041e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7753,23.7716,23.8788,23.8138,23.8777,23.8538,23.797,23.8237,23.8784,23.8038,23.7479,23.8213,23.8194,23.8031,23.8087,23.7984,23.7979,23.767,23.7991,23.8355,23.8079,23.8027,23.8141,23.8041,23.8247,23.7985,23.8239,23.7821,23.7744,23.8156,23.8166,23.7777,23.6783
-51.0093,0.986573,1.37767,2,3,0,51.0966,0.28403,3.26184e+07,1.37036e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7727,23.743,23.7751,23.7713,23.8785,23.8135,23.8773,23.8534,23.7966,23.8232,23.8779,23.8033,23.7474,23.8207,23.8187,23.8024,23.808,23.7976,23.7971,23.7661,23.7981,23.8345,23.8068,23.8015,23.8128,23.8027,23.8232,23.7969,23.8221,23.7802,23.7722,23.8132,23.8139,23.7745,23.6746
-51.1047,0.796246,1.37767,2,3,0,52.2341,0.288439,3.26235e+07,1.37047e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7825,23.7731,23.7434,23.7755,23.7718,23.8791,23.8142,23.878,23.8542,23.7975,23.8242,23.8789,23.8044,23.7485,23.822,23.8201,23.8039,23.8096,23.7993,23.7989,23.768,23.8002,23.8367,23.8092,23.8041,23.8156,23.8057,23.8264,23.8003,23.8259,23.7843,23.7768,23.8183,23.8195,23.7812,23.6823
-51.9152,0.780629,1.37767,1,3,0,52.3721,0.272676,3.2605e+07,1.37008e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7719,23.7419,23.7739,23.77,23.877,23.8119,23.8755,23.8514,23.7944,23.8209,23.8753,23.8005,23.7444,23.8174,23.8152,23.7986,23.8039,23.7932,23.7924,23.7611,23.7927,23.8286,23.8006,23.7948,23.8056,23.795,23.8149,23.7879,23.8122,23.7695,23.7603,23.8,23.7992,23.7571,23.6544
-51.0533,0.959977,1.37767,1,3,0,52,0.287201,3.26221e+07,1.37044e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7754,23.7717,23.8789,23.814,23.8778,23.854,23.7972,23.8239,23.8786,23.8041,23.7482,23.8216,23.8197,23.8035,23.8091,23.7988,23.7984,23.7675,23.7996,23.8361,23.8085,23.8033,23.8148,23.8048,23.8255,23.7994,23.8248,23.7831,23.7756,23.8169,23.8179,23.7793,23.6802
-53.4161,0.671398,1.37767,2,3,0,53.9951,0.265347,3.25963e+07,1.3699e+06,57571.6,23.8153,23.7557,23.781,23.7799,23.781,23.7713,23.7413,23.7731,23.7691,23.876,23.8108,23.8743,23.8502,23.793,23.8194,23.8736,23.7987,23.7424,23.8153,23.8129,23.7962,23.8013,23.7904,23.7894,23.7578,23.7892,23.8249,23.7965,23.7905,23.8009,23.79,23.8094,23.782,23.8058,23.7625,23.7525,23.7914,23.7896,23.7456,23.6411
-52.7793,1,1.37767,1,1,0,53.604,0.268038,3.25995e+07,1.36996e+06,57571.6,23.8153,23.7558,23.7811,23.78,23.7811,23.7715,23.7415,23.7734,23.7694,23.8764,23.8112,23.8747,23.8506,23.7935,23.8199,23.8742,23.7994,23.7431,23.8161,23.8138,23.7971,23.8023,23.7914,23.7905,23.759,23.7905,23.8263,23.798,23.7921,23.8026,23.7918,23.8114,23.7841,23.8081,23.7651,23.7554,23.7946,23.7931,23.7499,23.646
-53.0671,0.926843,1.37767,1,1,0,53.4889,0.266769,3.2598e+07,1.36993e+06,57571.6,23.8153,23.7557,23.7811,23.78,23.7811,23.7714,23.7414,23.7733,23.7693,23.8762,23.811,23.8745,23.8504,23.7932,23.8197,23.874,23.799,23.7428,23.8157,23.8134,23.7966,23.8018,23.7909,23.79,23.7584,23.7899,23.8256,23.7973,23.7913,23.8018,23.7909,23.8105,23.7831,23.807,23.7639,23.754,23.7931,23.7914,23.7479,23.6437
-51.0084,0.966181,1.37767,2,3,0,53.2317,0.284821,3.26193e+07,1.37038e+06,57571.6,23.8157,23.7563,23.7819,23.7809,23.7822,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8774,23.8536,23.7967,23.8234,23.8781,23.8035,23.7476,23.821,23.8189,23.8027,23.8083,23.7979,23.7974,23.7664,23.7985,23.8349,23.8072,23.802,23.8133,23.8032,23.8238,23.7975,23.8228,23.7809,23.7731,23.8141,23.8149,23.7757,23.676
-51.5883,0.857732,1.37767,1,3,0,51.6971,0.275027,3.26078e+07,1.37014e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7422,23.7741,23.7703,23.8773,23.8122,23.8759,23.8518,23.7948,23.8214,23.8758,23.8011,23.745,23.8181,23.8159,23.7994,23.8048,23.7941,23.7934,23.7621,23.7938,23.8299,23.8019,23.7962,23.8071,23.7966,23.8166,23.7897,23.8143,23.7717,23.7628,23.8028,23.8023,23.7607,23.6586
-51.4383,0.913868,1.37767,2,3,0,52.3503,0.292815,3.26286e+07,1.37058e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8796,23.8148,23.8787,23.8549,23.7983,23.8251,23.8799,23.8055,23.7497,23.8232,23.8214,23.8053,23.8111,23.801,23.8007,23.77,23.8023,23.8389,23.8116,23.8066,23.8183,23.8086,23.8296,23.8038,23.8296,23.7883,23.7814,23.8233,23.825,23.7877,23.6899
