# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = newbao_model
# start_datetime = 2023-07-20 10:25:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpal26qh23/sm0lah0q.json
# random
#   seed = 23928
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/newbao-20230720112522.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0948409
# Diagonal elements of inverse mass matrix:
# 0.0109045, 0.000128136, 0.189245
0.543357,0.897483,0.0948409,2,3,0,-0.473812,57.2315,0.289399,0.943075,57.2315,0.289399,0.943075,1302.03,1689.58,2061.7,2141.33,2462.41,3817.54,150,299790,nan,nan,nan,nan,nan,nan
3.90974,1,0.0948409,4,19,0,-0.386029,61.7463,0.259266,0.538765,61.7463,0.259266,0.538765,1268.36,1661.48,2043.66,2125.92,2458.95,3871.7,150,299790,nan,nan,nan,nan,nan,nan
2.37736,0.83044,0.0948409,2,3,0,-2.17058,60.3933,0.262096,0.523003,60.3933,0.262096,0.523003,1285.57,1683.83,2070.87,2154.16,2491.26,3919.52,150,299790,nan,nan,nan,nan,nan,nan
0.949895,0.911092,0.0948409,3,11,0,-0.693877,62.7014,0.238359,0.519919,62.7014,0.238359,0.519919,1244.73,1635.34,2017.07,2099.48,2433.89,3864.21,150,299790,nan,nan,nan,nan,nan,nan
3.91005,0.978526,0.0948409,5,35,0,0.380833,69.2867,0.34581,0.175196,69.2867,0.34581,0.175196,1281.25,1672.53,2048.93,2129.38,2452.77,3778.49,150,299790,nan,nan,nan,nan,nan,nan
3.62386,0.998065,0.0948409,5,55,0,-1.69906,74.0152,0.378692,-0.0474895,74.0152,0.378692,-0.0474895,1281.07,1674.55,2052.62,2133.29,2456.82,3762.62,150,299790,nan,nan,nan,nan,nan,nan
3.49794,0.993154,0.0948409,5,31,0,-3.28408,78.277,0.331678,-0.344666,78.277,0.331678,-0.344666,1253.3,1656.18,2049.49,2134.06,2475.03,3858.91,150,299790,nan,nan,nan,nan,nan,nan
3.59483,0.987694,0.0948409,4,15,0,-3.13815,76.1672,0.327521,-0.3272,76.1672,0.327521,-0.3272,1265.52,1672.26,2069.49,2154.92,2499.52,3901.14,150,299790,nan,nan,nan,nan,nan,nan
4.23093,0.751105,0.0948409,3,13,0,-0.22684,74.4188,0.342552,-0.106065,74.4188,0.342552,-0.106065,1264.94,1661.01,2044.52,2126.69,2457.33,3803.83,150,299790,nan,nan,nan,nan,nan,nan
4.32318,0.794545,0.0948409,3,15,0,-2.00901,72.0032,0.342324,0.00405026,72.0032,0.342324,0.00405026,1273.44,1668.42,2049.95,2131.62,2460.16,3802.37,150,299790,nan,nan,nan,nan,nan,nan
