# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp4szuegh3/bcgx00c_.json
# random
#   seed = 83815
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719153015.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0742815
# Diagonal elements of inverse mass matrix:
# 0.00997715, 9.40379e-05, 0.0571935
4.37717,0.990247,0.0742815,6,63,0,-2.5682,73.9756,0.330273,-0.0621415,73.9756,0.330273,-0.0621415,1267.18,1664.39,2049,2131.4,2463.05,3816.06,150,299790,nan,nan,nan,nan,nan,nan
4.11331,0.994963,0.0742815,4,23,0,-3.99698,77.5044,0.329011,-0.152545,77.5044,0.329011,-0.152545,1263.05,1662.46,2049.33,2132.18,2465.31,3814.01,150,299790,nan,nan,nan,nan,nan,nan
4.09273,0.995729,0.0742815,5,45,0,-3.04815,69.5083,0.351621,0.100002,69.5083,0.351621,0.100002,1273.22,1663.68,2040.31,2120.91,2445.28,3777.29,150,299790,nan,nan,nan,nan,nan,nan
4.28257,0.994908,0.0742815,6,63,0,-3.66593,72.9219,0.313977,-0.0766434,72.9219,0.313977,-0.0766434,1269.43,1670.57,2060.27,2143.93,2481.1,3863.04,150,299790,nan,nan,nan,nan,nan,nan
4.12526,0.998866,0.0742815,5,63,0,-2.62632,75.6706,0.313617,-0.126174,75.6706,0.313617,-0.126174,1259.63,1659.52,2048.1,2131.5,2467.46,3838.91,150,299790,nan,nan,nan,nan,nan,nan
3.4057,0.991919,0.0742815,5,31,0,-2.26074,83.462,0.336978,-0.287948,83.462,0.336978,-0.287948,1264.01,1667.96,2058.61,2142.09,2476.82,3809.08,150,299790,nan,nan,nan,nan,nan,nan
3.0028,0.99243,0.0742815,5,31,0,-2.94631,84.8549,0.325131,-0.327998,84.8549,0.325131,-0.327998,1256.84,1662.21,2055.36,2139.48,2477.06,3821.36,150,299790,nan,nan,nan,nan,nan,nan
3.0028,0.746949,0.0742815,1,3,0,-1.63908,84.8549,0.325131,-0.327998,84.8549,0.325131,-0.327998,1256.84,1662.21,2055.36,2139.48,2477.06,3821.36,150,299790,nan,nan,nan,nan,nan,nan
3.38855,0.851718,0.0742815,6,63,0,-1.02654,70.4901,0.298118,-0.0584882,70.4901,0.298118,-0.0584882,1274.68,1679.57,2074.21,2159.1,2501.89,3917.5,150,299790,nan,nan,nan,nan,nan,nan
2.43347,0.986973,0.0742815,5,31,0,-0.797322,88.3641,0.369272,-0.332624,88.3641,0.369272,-0.332624,1267.89,1669.95,2055.95,2138.04,2465.71,3746.49,150,299790,nan,nan,nan,nan,nan,nan
1.36394,0.958019,0.0742815,5,63,0,1.30137,71.0892,0.240007,-0.207241,71.0892,0.240007,-0.207241,1253.86,1668.03,2077.96,2166.87,2528.27,4047.44,150,299790,nan,nan,nan,nan,nan,nan
-0.410986,0.993118,0.0742815,6,63,0,1.12981,49.3141,0.359608,1.01333,49.3141,0.359608,1.01333,1282.35,1655.28,2015.19,2092.52,2405.67,3753.46,150,299790,nan,nan,nan,nan,nan,nan
0.242463,0.998174,0.0742815,3,15,0,1.55864,49.4577,0.348057,0.989763,49.4577,0.348057,0.989763,1283.7,1658.92,2021.48,2099.42,2415.2,3775.58,150,299790,nan,nan,nan,nan,nan,nan
