# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 10:00:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpgmdm9_d1/hjzuwgbp.json
# random
#   seed = 58054
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/bao/bao-20230719110027.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
# Adaptation terminated
# Step size = 0.0713845
# Diagonal elements of inverse mass matrix:
# 0.0165966, 0.000102892, 0.0939147
-1.29833,0.823139,0.0713845,5,63,0,3.81978,67.4486,0.490177,0.245328,67.4486,0.490177,0.245328,1294.47,1668.84,2023.71,2099,2400.04,3616.84,150,299790,nan,nan,nan,nan,nan,nan
-0.400891,0.999929,0.0713845,4,15,0,2.0235,68.3528,0.474672,0.205173,68.3528,0.474672,0.205173,1295.38,1672.77,2030.91,2106.92,2410.88,3638.08,150,299790,nan,nan,nan,nan,nan,nan
3.56961,0.923049,0.0713845,5,47,0,1.25179,74.2818,0.298666,-0.159185,74.2818,0.298666,-0.159185,1268.88,1675.52,2072.02,2157.26,2501.16,3909.65,150,299790,nan,nan,nan,nan,nan,nan
3.66499,0.997678,0.0713845,5,31,0,-2.94102,78.9252,0.305822,-0.228296,78.9252,0.305822,-0.228296,1256.01,1660.02,2053.46,2137.94,2478.19,3858.91,150,299790,nan,nan,nan,nan,nan,nan
3.84491,0.903294,0.0713845,5,35,0,-2.2852,71.5281,0.332003,-0.0256825,71.5281,0.332003,-0.0256825,1279.2,1678.63,2065.25,2148.09,2481.56,3845.4,150,299790,nan,nan,nan,nan,nan,nan
2.76879,0.924899,0.0713845,4,31,0,-1.13823,68.5378,0.275048,0.0573577,68.5378,0.275048,0.0573577,1247.47,1643.97,2032.12,2115.88,2455.28,3881.2,150,299790,nan,nan,nan,nan,nan,nan
2.99717,0.996003,0.0713845,3,11,0,-2.19069,68.0966,0.297365,0.117611,68.0966,0.297365,0.117611,1252.27,1644.56,2026.69,2108.94,2441.6,3832.63,150,299790,nan,nan,nan,nan,nan,nan
3.06984,1,0.0713845,2,3,0,-2.50745,66.9142,0.294708,0.0462811,66.9142,0.294708,0.0462811,1278.65,1681.88,2075,2159.62,2501.78,3927.25,150,299790,nan,nan,nan,nan,nan,nan
3.7857,0.999428,0.0713845,5,47,0,-1.93037,65.2197,0.2894,0.185525,65.2197,0.2894,0.185525,1258.58,1652.26,2036.24,2118.99,2454.04,3864.79,150,299790,nan,nan,nan,nan,nan,nan
3.46303,0.986838,0.0713845,5,43,0,-3.21515,74.0478,0.353408,-0.0696501,74.0478,0.353408,-0.0696501,1282.76,1681.36,2065.6,2147.71,2477.41,3811.4,150,299790,nan,nan,nan,nan,nan,nan
3.52079,0.935674,0.0713845,5,35,0,-1.76127,65.975,0.25864,0.0605772,65.975,0.25864,0.0605772,1257.95,1660.71,2056.41,2141.99,2489.4,3959.51,150,299790,nan,nan,nan,nan,nan,nan
2.16609,0.792692,0.0713845,5,31,0,0.701663,69.8231,0.242208,-0.137238,69.8231,0.242208,-0.137238,1251.59,1662,2067.63,2155.57,2513.01,4020.3,150,299790,nan,nan,nan,nan,nan,nan
2.32339,1,0.0713845,3,7,0,-2.13286,69.7048,0.243092,-0.120063,69.7048,0.243092,-0.120063,1249.72,1658.75,2062.82,2150.41,2506.42,4008.5,150,299790,nan,nan,nan,nan,nan,nan
4.40735,0.999363,0.0713845,6,63,0,-2.17822,67.5078,0.318759,0.119141,67.5078,0.318759,0.119141,1269.64,1663.69,2045.99,2128.09,2459.45,3835.37,150,299790,nan,nan,nan,nan,nan,nan
4.0514,0.931525,0.0713845,4,31,0,-3.68119,68.5661,0.323076,0.0581804,68.5661,0.323076,0.0581804,1277.93,1675.7,2061.33,2144.09,2477.77,3855.43,150,299790,nan,nan,nan,nan,nan,nan
3.00473,1,0.0713845,4,19,0,-1.93339,70.8808,0.26355,-0.0736184,70.8808,0.26355,-0.0736184,1247.71,1650.66,2046.54,2132.08,2478.92,3931.39,150,299790,nan,nan,nan,nan,nan,nan
