# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0492509
# Diagonal elements of inverse mass matrix:
# 0.00018289, 2.57309e-05, 0.344648, 3.3008e-05
-347.475,0.972036,0.0492509,6,63,0,349.308,72.2174,0.045257,21.3034,1.40451,0.722174,0.045257,21.2581,4.15e-05,7.95727e-05,-20.3034,0.722174,0.045257,21.2581,7.95727e-05,-20.3034,1.40451,21.3034,0.0584842,0.5469,1301.86,0,0,0.359525,0.359525,0.00375469,300.819,1.65941,0.0236032,-0.750929,-0.0812919,0.00132315
-346.389,0.999607,0.0492509,5,31,0,347.793,72.6218,0.0448174,21.5193,1.4033,0.726218,0.0448174,21.4745,4.15e-05,7.86891e-05,-20.5194,0.726218,0.0448174,21.4745,7.86891e-05,-20.5194,1.4033,21.5193,0.0584212,0.546868,1304.29,0,0,0.358099,0.358099,0.00373861,300.915,1.66118,0.0236364,-0.655122,-0.0795171,0.00135635
-346.433,0.969896,0.0492509,2,7,0,346.852,72.6704,0.0445556,21.5037,1.403,0.726704,0.0445556,21.4591,4.15e-05,7.85838e-05,-20.5038,0.726704,0.0445556,21.4591,7.85838e-05,-20.5038,1.403,21.5037,0.0586241,0.546972,1305.33,0,0,0.358283,0.358283,0.00374129,300.853,1.66143,0.0235298,-0.71664,-0.0792688,0.00124979
-347.017,0.910683,0.0492509,2,3,0,347.307,72.6816,0.0444146,21.5088,1.40326,0.726816,0.0444146,21.4644,4.15e-05,7.85596e-05,-20.5088,0.726816,0.0444146,21.4644,7.85596e-05,-20.5088,1.40326,21.5088,0.0587529,0.547038,1306.01,0,0,0.358193,0.358193,0.00373938,300.931,1.66121,0.0234625,-0.638968,-0.0794907,0.00118251
-346.715,0.972309,0.0492509,6,63,0,348.896,74.1152,0.0433225,20.7212,1.4048,0.741152,0.0433225,20.6779,4.15e-05,7.55499e-05,-19.7213,0.741152,0.0433225,20.6779,7.55499e-05,-19.7213,1.4048,20.7212,0.0581176,0.546709,1303.22,0,0,0.364115,0.364115,0.00380173,300.89,1.65747,0.0237973,-0.68022,-0.0832254,0.00151728
-345.434,0.898527,0.0492509,6,63,0,348.033,75.0432,0.042025,21.0713,1.40164,0.750432,0.042025,21.0293,4.15e-05,7.36928e-05,-20.0714,0.750432,0.042025,21.0293,7.36928e-05,-20.0714,1.40164,21.0713,0.0583644,0.546838,1309.82,0,0,0.361966,0.361966,0.00377938,300.883,1.66155,0.0236663,-0.687303,-0.0791494,0.00138634
-344.983,0.991689,0.0492509,5,31,0,345.567,74.5566,0.0423797,21.2102,1.40168,0.745566,0.0423797,21.1678,4.15e-05,7.4658e-05,-20.2103,0.745566,0.0423797,21.1678,7.4658e-05,-20.2103,1.40168,21.2102,0.0585711,0.546945,1309.98,0,0,0.360855,0.360855,0.00376769,300.89,1.6619,0.0235576,-0.679849,-0.0787985,0.00127756
-345.252,0.836545,0.0492509,2,3,0,345.996,74.5708,0.0426325,21.2372,1.4015,0.745708,0.0426325,21.1946,4.15e-05,7.46294e-05,-20.2373,0.745708,0.0426325,21.1946,7.46294e-05,-20.2373,1.4015,21.2372,0.0582872,0.546798,1308.82,0,0,0.360677,0.360677,0.00376612,300.867,1.66214,0.0237071,-0.702927,-0.0785606,0.00142714
-346.641,0.95562,0.0492509,5,63,0,347.718,75.7418,0.0407175,21.6616,1.39751,0.757418,0.0407175,21.6209,4.15e-05,7.23398e-05,-20.6617,0.757418,0.0407175,21.6209,7.23398e-05,-20.6617,1.39751,21.6616,0.0589526,0.547139,1318.92,0,0,0.358211,0.358211,0.0037402,300.881,1.66719,0.0233589,-0.689178,-0.0735124,0.00107886
-346.814,1,0.0492509,4,23,0,347.766,76.223,0.0404556,21.7919,1.39646,0.76223,0.0404556,21.7515,4.15e-05,7.14292e-05,-20.792,0.76223,0.0404556,21.7515,7.14292e-05,-20.792,1.39646,21.7919,0.0586725,0.546997,1320.08,0,0,0.357427,0.357427,0.00373124,300.943,1.66853,0.0235045,-0.627157,-0.072168,0.0012245
