# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb_model
# start_datetime = 2023-07-27 21:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = Model4/Data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpyli5c534/d3la3cg2.json
# random
#   seed = 72628
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/cmb/cmb-20230727223248_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,lambda,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0117321
# Diagonal elements of inverse mass matrix:
# 6.59663e-05, 3.7561e-05, 0.454223, 0.000535137
-345.934,0.93414,0.0117321,5,43,0,347.451,74.8627,0.0419089,21.9156,1.3975,0.748627,0.0419089,21.8737,4.15e-05,7.40487e-05,-20.9157,0.748627,0.0419089,21.8737,7.40487e-05,-20.9157,1.3975,21.9156,0.058705,0.547013,1316.1,0,0,0.356271,0.356271,0.00372063,300.825,1.66785,0.0234875,-0.744636,-0.072848,0.00120753
-347.691,0.965813,0.0117321,3,7,0,348.19,74.854,0.0415784,21.9237,1.3984,0.74854,0.0415784,21.8822,4.15e-05,7.40659e-05,-20.9238,0.74854,0.0415784,21.8822,7.40659e-05,-20.9238,1.3984,21.9237,0.0590727,0.547199,1317.94,0,0,0.356034,0.356034,0.00371515,301.068,1.66705,0.0232969,-0.502465,-0.0736514,0.00101689
-345.96,1,0.0117321,3,7,0,347.802,74.8435,0.0416683,21.918,1.39778,0.748435,0.0416683,21.8763,4.15e-05,7.40867e-05,-20.9181,0.748435,0.0416683,21.8763,7.40867e-05,-20.9181,1.39778,21.918,0.0589878,0.547157,1317.44,0,0,0.3562,0.3562,0.00371888,300.906,1.66761,0.0233407,-0.663529,-0.0730917,0.00106068
-346.208,0.902274,0.0117321,3,7,0,347.255,74.8521,0.0418541,21.9214,1.39841,0.748521,0.0418541,21.8796,4.15e-05,7.40697e-05,-20.9215,0.748521,0.0418541,21.8796,7.40697e-05,-20.9215,1.39841,21.9214,0.0587767,0.54705,1316.45,0,0,0.356047,0.356047,0.00371558,301.044,1.66702,0.0234502,-0.525686,-0.0736778,0.00117015
-345.569,0.99803,0.0117321,3,11,0,346.479,74.8433,0.0420669,21.9415,1.39815,0.748433,0.0420669,21.8994,4.15e-05,7.40871e-05,-20.9416,0.748433,0.0420669,21.8994,7.40871e-05,-20.9416,1.39815,21.9415,0.0585591,0.546939,1315.47,0,0,0.355945,0.355945,0.0037152,300.989,1.66731,0.0235638,-0.58141,-0.0733928,0.00128385
-346.407,0.955799,0.0117321,8,351,0,348.156,73.3333,0.0437815,21.4898,1.40168,0.733333,0.0437815,21.446,4.15e-05,7.71694e-05,-20.4899,0.733333,0.0437815,21.446,7.71694e-05,-20.4899,1.40168,21.4898,0.0585956,0.546957,1307.47,0,0,0.358664,0.358664,0.00374638,300.764,1.66266,0.0235447,-0.806288,-0.0780377,0.0012647
-350.054,0.999007,0.0117321,8,383,0,354.741,76.9891,0.0392314,21.9329,1.39432,0.769891,0.0392314,21.8937,4.15e-05,7.00148e-05,-20.933,0.769891,0.0392314,21.8937,7.00148e-05,-20.933,1.39432,21.9329,0.0591566,0.547241,1326.21,0,0,0.356801,0.356801,0.00372488,300.929,1.67099,0.0232537,-0.641285,-0.0697072,0.000973723
-346.006,0.979471,0.0117321,8,263,0,351.745,74.5368,0.0422653,20.9712,1.40278,0.745368,0.0422653,20.9289,4.15e-05,7.46975e-05,-19.9713,0.745368,0.0422653,20.9289,7.46975e-05,-19.9713,1.40278,20.9712,0.0587165,0.547019,1309.11,0,0,0.362528,0.362528,0.00378533,300.876,1.66017,0.0234815,-0.693969,-0.0805256,0.0012015
-347.31,0.903828,0.0117321,7,167,0,350.084,75.8337,0.0411873,21.546,1.39783,0.758337,0.0411873,21.5048,4.15e-05,7.21645e-05,-20.546,0.758337,0.0411873,21.5048,7.21645e-05,-20.546,1.39783,21.546,0.0583275,0.546819,1315.41,0,0,0.359027,0.359027,0.00374952,300.817,1.66652,0.0236858,-0.75331,-0.0741809,0.00140582
-346.29,0.999065,0.0117321,7,135,0,348.262,75.1599,0.0419524,21.6337,1.39854,0.751599,0.0419524,21.5917,4.15e-05,7.34642e-05,-20.6337,0.751599,0.0419524,21.5917,7.34642e-05,-20.6337,1.39854,21.6337,0.0583027,0.546806,1313.43,0,0,0.358203,0.358203,0.00374066,300.836,1.66607,0.0236989,-0.733953,-0.0746278,0.00141894
