# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
4.35488,0.99517,0.0016032,5,39,0,-1.56066,69.8757,0.301407,69.8757,0.301407,1267.51,1667.56,2057.12,2140.9,2479.27,3880.9,150,299790,nan,nan,nan,nan,nan,nan
3.29992,0.835064,0.00288482,4,25,0,-2.34921,72.4062,0.314557,72.4062,0.314557,1253.94,1647.49,2029.71,2111.78,2442.8,3807.5,150,299790,nan,nan,nan,nan,nan,nan
2.7828,0.849932,0.00337514,1,1,0,-2.5684,72.3843,0.308481,72.3843,0.308481,1250.27,1643.69,2026.23,2108.44,2440.19,3810.84,150,299790,nan,nan,nan,nan,nan,nan
4.09878,1,0.00409408,1,1,0,-3.27186,72.3695,0.327698,72.3695,0.327698,1262.27,1656.26,2037.92,2119.75,2449.39,3802.27,150,299790,nan,nan,nan,nan,nan,nan
4.09878,0.118869,0.00730009,2,5,0,-3.74209,72.3695,0.327698,72.3695,0.327698,1262.27,1656.26,2037.92,2119.75,2449.39,3802.27,150,299790,nan,nan,nan,nan,nan,nan
4.1287,0.999225,0.0013417,4,31,0,-3.74772,71.4638,0.340738,71.4638,0.340738,1277.72,1674.41,2057.74,2139.81,2470.02,3819.58,150,299790,nan,nan,nan,nan,nan,nan
2.7209,0.900892,0.00238581,2,3,0,-2.64439,71.2866,0.359221,71.2866,0.359221,1289.4,1686.78,2069.48,2151.26,2479.78,3814.95,150,299790,nan,nan,nan,nan,nan,nan
2.7209,0.873857,0.00327876,1,1,0,-1.82491,71.2866,0.359221,71.2866,0.359221,1289.4,1686.78,2069.48,2151.26,2479.78,3814.95,150,299790,nan,nan,nan,nan,nan,nan
3.98128,1,0.00418924,1,1,0,-3.0423,71.2992,0.3412,71.2992,0.3412,1279.43,1676.58,2060.32,2142.48,2473.01,3823.7,150,299790,nan,nan,nan,nan,nan,nan
4.19257,0.14626,0.00730198,3,7,0,-1.5254,72.6793,0.339661,72.6793,0.339661,1266.53,1659.92,2040.14,2121.55,2449.15,3788.48,150,299790,nan,nan,nan,nan,nan,nan
