lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.448492
# Diagonal elements of inverse mass matrix:
# 0.00082284, 0.0130433
-13.3363,0.794146,0.448492,4,15,0,13.8133,71.0803,0.300613,71.0803,0.300613,73.4453,74.1654,75.2823,77.2409,77.6062,78.4319,78.4737,81.5152,81.9682,85.3645,86.7477,87.7567,87.7771,89.0422,90.0898,91.423,91.8714,91.9636,98.3534,103.611,108.044,110.063,116.385,116.729,118.115,127.95,148.368,153.537,159.145,167.72,187.404,207.661,16.3982
-11.958,0.998752,0.448492,2,7,0,15.2022,69.2546,0.318659,69.2546,0.318659,71.6948,72.4369,73.5872,75.6021,75.9777,76.8261,76.869,79.9907,80.4552,83.934,85.3491,86.3809,86.4017,87.6947,88.7648,90.126,90.5837,90.6778,97.1915,102.541,107.046,109.096,115.51,115.859,117.264,127.224,147.863,153.081,158.739,167.387,187.224,207.62,15.0348
-11.8701,1,0.448492,1,1,0,12.0173,69.1722,0.318128,69.1722,0.318128,71.6055,72.3455,73.4926,75.502,75.8765,76.7226,76.7655,79.8787,80.3421,83.8117,85.2233,86.2523,86.2731,87.5628,88.6302,89.988,90.4445,90.5383,97.0359,102.373,106.867,108.912,115.31,115.659,117.061,126.998,147.59,152.797,158.443,167.072,186.867,207.219,14.9449
-11.6361,0.997041,0.448492,2,7,0,12.5796,68.2046,0.329883,68.2046,0.329883,70.691,71.4466,72.6172,74.6665,75.0483,75.9106,75.9542,79.1246,79.5961,83.1248,84.5593,85.6047,85.6258,86.9356,88.0194,89.3975,89.8607,89.9559,96.5442,101.949,106.497,108.566,115.034,115.387,116.803,126.838,147.609,152.857,158.546,167.238,187.167,207.648,14.7049
-13.1697,0.53901,0.448492,2,3,0,15.4892,66.2391,0.317066,66.2391,0.317066,68.5616,69.268,70.3629,72.2811,72.6387,73.4465,73.4873,76.4597,76.9021,80.2152,81.5631,82.5458,82.5656,83.7973,84.8167,86.1134,86.5494,86.639,92.8451,97.9431,102.236,104.19,110.303,110.636,111.975,121.47,141.148,146.124,151.52,159.767,178.685,198.138,16.1998
-13.5651,0.970037,0.448492,2,3,0,13.9358,65.9644,0.318164,65.9644,0.318164,68.2851,68.9909,70.0849,72.0013,72.3585,73.1655,73.2063,76.1755,76.6174,79.9265,81.2727,82.2542,82.274,83.504,84.522,85.8169,86.2523,86.3418,92.5386,97.6285,101.914,103.865,109.967,110.299,111.636,121.113,140.752,145.718,151.102,159.332,178.21,197.619,16.5925
-14.1326,0.94955,0.448492,3,9,0,15.0058,70.8787,0.315333,70.8787,0.315333,73.3505,74.1024,75.268,77.3101,77.6908,78.5508,78.5944,81.7595,82.2306,85.7591,87.1948,88.2417,88.2628,89.5748,90.6608,92.0423,92.5068,92.6023,99.2149,104.648,109.224,111.306,117.823,118.177,119.605,129.728,150.712,156.019,161.774,170.57,190.75,211.501,17.2277
-14.6893,0.817579,0.448492,1,1,0,15.3859,70.8742,0.320958,70.8742,0.320958,73.3892,74.154,75.3392,77.4151,77.8019,78.6759,78.7201,81.9352,82.4137,85.9957,87.4527,88.5148,88.5362,89.8673,90.9688,92.3699,92.8409,92.9377,99.6409,105.145,109.779,111.887,118.484,118.843,120.288,130.529,151.746,157.109,162.925,171.813,192.198,213.155,17.7918
-12.4473,1,0.448492,2,3,0,14.1844,68.7302,0.283463,68.7302,0.283463,70.8885,71.5464,72.5676,74.3601,74.6947,75.4511,75.4894,78.2794,78.6954,81.8168,83.0896,84.0185,84.0373,85.2026,86.168,87.3972,87.8108,87.8958,93.7966,98.6611,102.768,104.639,110.505,110.825,112.113,121.255,140.274,145.095,150.328,158.333,176.727,195.673,15.4031
-13.8388,0.718474,0.448492,1,1,0,13.8683,68.3525,0.272888,68.3525,0.272888,70.42,71.0507,72.03,73.7501,74.0714,74.7978,74.8346,77.5157,77.9158,80.9192,82.1448,83.0395,83.0576,84.1805,85.111,86.2961,86.6949,86.7769,92.4719,97.1722,101.144,102.954,108.634,108.944,110.191,119.052,137.511,142.195,147.279,155.061,172.951,191.389,16.728
-12.449,1,0.448492,1,1,0,13.5141,68.954,0.280753,68.954,0.280753,71.099,71.753,72.7681,74.5503,74.883,75.6353,75.6733,78.4483,78.8621,81.9677,83.2343,84.1588,84.1774,85.3373,86.2982,87.5218,87.9335,88.0181,93.8936,98.7386,102.83,104.694,110.54,110.859,112.142,121.254,140.219,145.027,150.246,158.232,176.582,195.486,15.3937
-12.1369,0.92318,0.448492,1,3,0,13.1117,70.3295,0.293945,70.3295,0.293945,72.6184,73.3157,74.3974,76.2951,76.6491,77.4495,77.49,80.4395,80.879,84.175,85.518,86.4979,86.5176,87.7465,88.7642,90.0596,90.4953,90.5849,96.7975,101.913,106.228,108.194,114.352,114.687,116.038,125.623,145.541,150.586,156.059,164.431,183.656,203.446,15.1639
-11.8579,0.999227,0.448492,3,11,0,12.1589,66.5949,0.35378,66.5949,0.35378,69.1952,69.9841,71.2054,73.3403,73.7376,74.6346,74.68,77.9729,78.462,82.1179,83.602,84.6828,84.7046,86.0579,87.1769,88.5991,89.0769,89.1751,95.9607,101.516,106.182,108.303,114.927,115.288,116.737,126.993,148.174,153.518,159.308,168.15,188.403,209.195,14.8729
-11.7703,0.989004,0.448492,2,7,0,12.9572,69.5307,0.292568,69.5307,0.292568,71.7831,72.4694,73.534,75.4019,75.7504,76.5383,76.5782,79.4819,79.9147,83.16,84.4825,85.4475,85.4669,86.6771,87.6794,88.9553,89.3844,89.4727,95.5922,100.632,104.883,106.82,112.888,113.219,114.55,123.997,143.629,148.602,153.998,162.252,181.206,200.72,14.7802
-12.1078,0.977477,0.448492,2,7,0,12.4372,70.3971,0.286749,70.3971,0.286749,72.633,73.3144,74.3719,76.2278,76.5742,77.3573,77.3969,80.2843,80.7148,83.944,85.2604,86.2211,86.2405,87.4456,88.4438,89.7147,90.1422,90.2301,96.3291,101.355,105.597,107.53,113.587,113.917,115.246,124.683,144.308,149.281,154.678,162.935,181.902,201.435,15.1041
-12.8706,0.87599,0.448492,2,3,0,13.1381,68.8441,0.27645,68.8441,0.27645,70.9533,71.5966,72.5952,74.349,74.6765,75.4169,75.4544,78.1866,78.5942,81.6536,82.9016,83.8127,83.8311,84.9743,85.9216,87.128,87.5339,87.6174,93.4125,98.1934,102.232,104.073,109.846,110.161,111.428,120.432,139.18,143.935,149.097,156.996,175.152,193.861,15.789
