lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.371859
# Diagonal elements of inverse mass matrix:
# 0.00288607, 0.0152672, 0.001437
-45.5946,0.741253,0.371859,3,15,0,50.6043,0.33425,53.7449,-0.191332,0.33425,53.7449,-0.191332,3.24866e+07,1.36759e+06,57571.6,23.7978,23.7354,23.7578,23.7544,23.7534,23.7416,23.7096,23.7398,23.7343,23.8397,23.7733,23.8352,23.8103,23.7517,23.7773,23.8306,23.7547,23.6976,23.7697,23.7667,23.7492,23.7539,23.7425,23.7412,23.7094,23.7407,23.7765,23.7483,23.7427,23.7538,23.7437,23.7644,23.7386,23.7648,23.7241,23.7187,23.7628,23.768,23.7388,23.6515
-46.1452,0.922164,0.371859,2,5,0,48.3595,0.355801,45.0011,-0.15892,0.355801,45.0011,-0.15892,3.25352e+07,1.36861e+06,57571.6,23.8005,23.7387,23.7618,23.759,23.7586,23.7474,23.7161,23.7469,23.742,23.848,23.7822,23.8449,23.8203,23.7626,23.7887,23.8426,23.7675,23.7111,23.784,23.7817,23.7651,23.7705,23.7601,23.7596,23.7288,23.7611,23.798,23.7709,23.7664,23.7789,23.77,23.7921,23.7679,23.7959,23.757,23.7543,23.8007,23.8086,23.784,23.7008
-44.1617,1,0.371859,3,15,0,47.0616,0.326004,54.6399,-0.151207,0.326004,54.6399,-0.151207,3.25213e+07,1.36832e+06,57571.6,23.802,23.7403,23.7635,23.7607,23.7603,23.7491,23.7177,23.7484,23.7433,23.8491,23.7832,23.8456,23.8209,23.7629,23.7887,23.8424,23.7669,23.7102,23.7826,23.7799,23.7628,23.7678,23.7567,23.7557,23.7242,23.7558,23.7918,23.7639,23.7585,23.7698,23.7598,23.7807,23.7549,23.7811,23.7404,23.7348,23.7785,23.783,23.7522,23.6627
-44.0464,0.997739,0.371859,3,7,0,44.6402,0.335518,56.7922,-0.117581,0.335518,56.7922,-0.117581,3.25624e+07,1.36918e+06,57571.6,23.8051,23.7441,23.768,23.7658,23.7659,23.7553,23.7244,23.7557,23.7511,23.8575,23.792,23.855,23.8307,23.7733,23.7996,23.8537,23.7788,23.7226,23.7957,23.7935,23.777,23.7825,23.7722,23.7717,23.7409,23.7731,23.8099,23.7827,23.778,23.7902,23.781,23.8027,23.7779,23.8052,23.7654,23.7613,23.8062,23.8122,23.7835,23.6958
-43.1596,0.995116,0.371859,3,11,0,44.8894,0.334745,84.1563,-0.166303,0.334745,84.1563,-0.166303,3.25126e+07,1.36814e+06,57571.6,23.8003,23.7383,23.7613,23.7582,23.7576,23.7462,23.7146,23.7452,23.74,23.8457,23.7797,23.842,23.8172,23.7591,23.7849,23.8385,23.7629,23.7062,23.7786,23.7758,23.7587,23.7637,23.7527,23.7517,23.7202,23.7519,23.7879,23.7601,23.7548,23.7663,23.7565,23.7776,23.7521,23.7787,23.7383,23.7334,23.7778,23.7832,23.7542,23.6668
-43.9094,0.981111,0.371859,2,3,0,44.2087,0.346239,88.2598,-0.143378,0.346239,88.2598,-0.143378,3.25446e+07,1.36881e+06,57571.6,23.8023,23.7409,23.7642,23.7617,23.7615,23.7505,23.7193,23.7503,23.7455,23.8517,23.7859,23.8487,23.8243,23.7666,23.7928,23.8468,23.7717,23.7154,23.7883,23.786,23.7695,23.7749,23.7644,23.7639,23.7331,23.7653,23.8021,23.7749,23.7703,23.7826,23.7735,23.7954,23.7708,23.7985,23.7591,23.7557,23.8014,23.8083,23.7818,23.6965
-42.907,1,0.371859,3,15,0,44.5505,0.352006,86.3304,-0.178825,0.352006,86.3304,-0.178825,3.25113e+07,1.36811e+06,57571.6,23.7985,23.7363,23.759,23.7558,23.7551,23.7436,23.7119,23.7424,23.7371,23.8428,23.7768,23.8391,23.8144,23.7562,23.7821,23.8357,23.7603,23.7036,23.7761,23.7735,23.7566,23.7618,23.7509,23.7502,23.719,23.751,23.7874,23.76,23.7551,23.7671,23.7579,23.7796,23.7548,23.7824,23.743,23.7396,23.7855,23.7928,23.7674,23.6837
-45.2609,0.947873,0.371859,4,15,0,45.6895,0.349369,97.5908,-0.177099,0.349369,97.5908,-0.177099,3.25114e+07,1.36811e+06,57571.6,23.7987,23.7366,23.7593,23.7562,23.7555,23.744,23.7123,23.7428,23.7375,23.8433,23.7772,23.8395,23.8148,23.7566,23.7825,23.8361,23.7606,23.7039,23.7765,23.7738,23.7569,23.762,23.7512,23.7503,23.7191,23.751,23.7874,23.76,23.755,23.767,23.7576,23.7792,23.7544,23.7818,23.7422,23.7386,23.7843,23.7913,23.7653,23.6811
-45.6695,0.940083,0.371859,2,3,0,46.6465,0.340272,97.7208,-0.175047,0.340272,97.7208,-0.175047,3.25074e+07,1.36803e+06,57571.6,23.7992,23.7371,23.7599,23.7568,23.756,23.7445,23.7128,23.7433,23.738,23.8437,23.7776,23.8398,23.815,23.7568,23.7826,23.8361,23.7605,23.7038,23.7762,23.7734,23.7563,23.7613,23.7502,23.7493,23.7178,23.7495,23.7857,23.7579,23.7527,23.7643,23.7546,23.7758,23.7505,23.7773,23.7372,23.7328,23.7776,23.7836,23.7557,23.6695
-46.7567,0.893478,0.371859,1,1,0,46.7869,0.337388,100.339,-0.176828,0.337388,100.339,-0.176828,3.25036e+07,1.36795e+06,57571.6,23.7991,23.737,23.7597,23.7565,23.7558,23.7442,23.7125,23.7429,23.7376,23.8432,23.777,23.8392,23.8144,23.7561,23.7819,23.8354,23.7597,23.7029,23.7752,23.7724,23.7552,23.7601,23.7489,23.7479,23.7164,23.748,23.784,23.7561,23.7508,23.7622,23.7524,23.7735,23.748,23.7746,23.7343,23.7295,23.774,23.7797,23.7512,23.6644
-45.2951,0.996656,0.371859,2,3,0,46.932,0.343977,97.6053,-0.163386,0.343977,97.6053,-0.163386,3.25221e+07,1.36834e+06,57571.6,23.8003,23.7385,23.7614,23.7585,23.758,23.7467,23.7152,23.7459,23.7408,23.8466,23.7807,23.8431,23.8185,23.7605,23.7864,23.8402,23.7648,23.7082,23.7808,23.7782,23.7614,23.7665,23.7558,23.755,23.7238,23.7557,23.7922,23.7647,23.7597,23.7716,23.7622,23.7838,23.7588,23.7861,23.7463,23.7424,23.7877,23.7942,23.7671,23.6816
-43.6603,0.969785,0.371859,3,7,0,46.1986,0.344566,85.7878,-0.137935,0.344566,85.7878,-0.137935,3.2549e+07,1.3689e+06,57571.6,23.8029,23.7415,23.765,23.7625,23.7624,23.7515,23.7205,23.7515,23.7467,23.8529,23.7873,23.8501,23.8257,23.7681,23.7943,23.8484,23.7733,23.717,23.79,23.7877,23.7712,23.7767,23.7663,23.7658,23.7349,23.7672,23.804,23.7768,23.7722,23.7845,23.7754,23.7973,23.7727,23.8004,23.7609,23.7574,23.803,23.8098,23.783,23.6973
-43.951,0.908785,0.371859,2,3,0,45.5137,0.336451,91.2256,-0.153315,0.336451,91.2256,-0.153315,3.2527e+07,1.36844e+06,57571.6,23.8015,23.7399,23.763,23.7602,23.7598,23.7486,23.7173,23.748,23.743,23.8489,23.783,23.8455,23.8209,23.763,23.7889,23.8427,23.7673,23.7107,23.7834,23.7808,23.7639,23.769,23.7582,23.7574,23.7261,23.758,23.7943,23.7667,23.7616,23.7734,23.7638,23.7851,23.7599,23.7868,23.7467,23.7421,23.7868,23.7925,23.7639,23.6767
-44.5652,0.990681,0.371859,3,7,0,44.9363,0.331951,93.4658,-0.140842,0.331951,93.4658,-0.140842,3.25362e+07,1.36863e+06,57571.6,23.8029,23.7414,23.7648,23.7622,23.762,23.751,23.7197,23.7506,23.7457,23.8518,23.786,23.8486,23.8241,23.7663,23.7923,23.8461,23.7709,23.7143,23.787,23.7845,23.7677,23.7729,23.7621,23.7613,23.7301,23.762,23.7984,23.7708,23.7657,23.7774,23.7678,23.7891,23.7637,23.7905,23.7503,23.7454,23.7898,23.7951,23.7656,23.6773
-43.8064,0.967049,0.371859,3,15,0,45.4859,0.337061,54.4467,-0.172285,0.337061,54.4467,-0.172285,3.25081e+07,1.36804e+06,57571.6,23.7996,23.7376,23.7604,23.7573,23.7566,23.7451,23.7134,23.7439,23.7386,23.8443,23.7782,23.8405,23.8157,23.7574,23.7833,23.8368,23.7612,23.7044,23.7768,23.774,23.7569,23.7618,23.7507,23.7497,23.7182,23.7499,23.786,23.7581,23.7528,23.7643,23.7546,23.7757,23.7502,23.7769,23.7366,23.7318,23.7764,23.782,23.7535,23.6666
-43.846,0.955918,0.371859,3,7,0,44.7259,0.342205,58.3933,-0.127951,0.342205,58.3933,-0.127951,3.25573e+07,1.36908e+06,57571.6,23.804,23.7428,23.7665,23.7641,23.7641,23.7534,23.7225,23.7536,23.749,23.8553,23.7897,23.8527,23.8284,23.7709,23.7971,23.8513,23.7763,23.7201,23.7932,23.791,23.7745,23.7801,23.7697,23.7693,23.7385,23.7709,23.8077,23.7806,23.776,23.7883,23.7793,23.8012,23.7766,23.8042,23.7647,23.7611,23.8066,23.8132,23.7859,23.6997
-43.3068,0.999693,0.371859,3,15,0,44.2916,0.3455,60.7271,-0.197225,0.3455,60.7271,-0.197225,3.24875e+07,1.36761e+06,57571.6,23.7968,23.7343,23.7566,23.7531,23.752,23.7402,23.7081,23.7383,23.7328,23.8382,23.7718,23.8338,23.8088,23.7503,23.776,23.8293,23.7535,23.6965,23.7687,23.7658,23.7485,23.7533,23.742,23.7409,23.7093,23.7409,23.7769,23.749,23.7437,23.7552,23.7454,23.7666,23.7413,23.7681,23.7281,23.7238,23.7689,23.7753,23.7485,23.6637
-43.9899,0.985198,0.371859,3,15,0,45.2814,0.350379,53.6581,-0.152278,0.350379,53.6581,-0.152278,3.25384e+07,1.36868e+06,57571.6,23.8013,23.7397,23.7629,23.7602,23.7599,23.7488,23.7175,23.7484,23.7435,23.8495,23.7838,23.8465,23.822,23.7642,23.7904,23.8443,23.7692,23.7128,23.7857,23.7834,23.7668,23.7722,23.7617,23.7612,23.7303,23.7626,23.7993,23.7722,23.7676,23.7799,23.7709,23.7929,23.7684,23.7962,23.757,23.7539,23.7999,23.8072,23.7815,23.6972
