lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.33054
# Diagonal elements of inverse mass matrix:
# 0.00472399, 0.0216376, 0.00248055
-43.0602,0.993669,0.33054,2,3,0,43.2222,0.314238,73.3062,-0.101331,0.314238,73.3062,-0.101331,3.25598e+07,1.36913e+06,57571.6,23.8069,23.7461,23.7702,23.7681,23.7683,23.7578,23.727,23.7582,23.7537,23.8601,23.7945,23.8575,23.8331,23.7756,23.8018,23.8558,23.7807,23.7243,23.7972,23.7948,23.7781,23.7833,23.7726,23.7719,23.7406,23.7725,23.8087,23.781,23.7758,23.7872,23.7774,23.7983,23.7725,23.7985,23.7576,23.7515,23.7945,23.7981,23.7649,23.6725
-44.2473,0.826532,0.33054,3,7,0,44.5762,0.306299,76.8935,-0.111624,0.306299,76.8935,-0.111624,3.25432e+07,1.36878e+06,57571.6,23.806,23.745,23.7689,23.7666,23.7666,23.7559,23.7249,23.7559,23.7511,23.8573,23.7916,23.8543,23.8298,23.772,23.798,23.8518,23.7764,23.7198,23.7924,23.7898,23.7728,23.7777,23.7667,23.7657,23.7341,23.7656,23.8015,23.7734,23.7677,23.7787,23.7684,23.7887,23.7624,23.7878,23.7462,23.7391,23.7812,23.7837,23.7487,23.6545
-43.7479,0.996095,0.33054,4,15,0,44.8891,0.370287,72.083,-0.243724,0.370287,72.083,-0.243724,3.24497e+07,1.36681e+06,57571.6,23.7907,23.7272,23.7484,23.7441,23.7423,23.7297,23.697,23.7266,23.7205,23.8254,23.7586,23.8201,23.7948,23.7359,23.7612,23.8142,23.738,23.6808,23.7527,23.7496,23.7321,23.7367,23.7254,23.7242,23.6925,23.7241,23.7602,23.7324,23.7273,23.7391,23.7297,23.7514,23.7267,23.7544,23.7154,23.7128,23.7598,23.7687,23.7468,23.6676
-46.2028,0.64732,0.33054,1,3,0,46.6759,0.359236,71.0423,-0.251289,0.359236,71.0423,-0.251289,3.24358e+07,1.36652e+06,57571.6,23.7904,23.7268,23.7479,23.7435,23.7416,23.7288,23.6959,23.7254,23.7191,23.8238,23.7569,23.8181,23.7927,23.7335,23.7587,23.8114,23.7351,23.6776,23.7492,23.7459,23.7281,23.7324,23.7207,23.7192,23.6872,23.7184,23.754,23.7258,23.7203,23.7315,23.7216,23.7426,23.7173,23.7442,23.7044,23.7007,23.7465,23.7541,23.73,23.6487
-46.0097,1,0.33054,2,3,0,47.5501,0.387193,81.2478,-0.189584,0.387193,81.2478,-0.189584,3.25218e+07,1.36833e+06,57571.6,23.7961,23.7337,23.7562,23.7529,23.7521,23.7406,23.7089,23.7394,23.7343,23.8401,23.7741,23.8367,23.8121,23.7542,23.7803,23.8343,23.7591,23.7028,23.7758,23.7736,23.7572,23.7628,23.7527,23.7525,23.722,23.7548,23.7922,23.7656,23.7617,23.7751,23.767,23.7902,23.7671,23.7967,23.7593,23.7591,23.808,23.8191,23.8005,23.7237
-43.3109,1,0.33054,4,15,0,46.4456,0.377815,61.814,-0.234943,0.377815,61.814,-0.234943,3.24635e+07,1.3671e+06,57571.6,23.7913,23.728,23.7494,23.7452,23.7436,23.7312,23.6986,23.7284,23.7225,23.8275,23.7609,23.8226,23.7975,23.7387,23.7642,23.8174,23.7415,23.6845,23.7566,23.7537,23.7365,23.7414,23.7303,23.7294,23.698,23.7299,23.7663,23.7389,23.7341,23.7464,23.7374,23.7595,23.7353,23.7637,23.7252,23.7235,23.7712,23.781,23.7607,23.6828
-43.4291,0.984496,0.33054,1,1,0,43.467,0.377622,61.3167,-0.236523,0.377622,61.3167,-0.236523,3.24616e+07,1.36706e+06,57571.6,23.7911,23.7278,23.7491,23.745,23.7433,23.7309,23.6983,23.728,23.7221,23.8271,23.7605,23.8221,23.797,23.7382,23.7637,23.8168,23.7409,23.6838,23.756,23.753,23.7358,23.7406,23.7296,23.7286,23.6972,23.7291,23.7655,23.7381,23.7332,23.7455,23.7364,23.7585,23.7343,23.7627,23.7241,23.7224,23.7701,23.7798,23.7594,23.6815
-42.572,1,0.33054,4,15,0,43.8412,0.342959,82.6095,-0.152588,0.342959,82.6095,-0.152588,3.25326e+07,1.36856e+06,57571.6,23.8015,23.7398,23.763,23.7602,23.7599,23.7488,23.7174,23.7482,23.7433,23.8493,23.7834,23.846,23.8215,23.7636,23.7897,23.8435,23.7683,23.7118,23.7845,23.7821,23.7653,23.7706,23.7599,23.7593,23.7282,23.7603,23.7968,23.7694,23.7645,23.7766,23.7673,23.7889,23.764,23.7913,23.7517,23.7478,23.7931,23.7996,23.7723,23.6865
-43.2247,0.926173,0.33054,3,15,0,43.6869,0.352659,82.8205,-0.153087,0.352659,82.8205,-0.153087,3.25392e+07,1.3687e+06,57571.6,23.8012,23.7395,23.7627,23.76,23.7597,23.7486,23.7173,23.7482,23.7433,23.8494,23.7836,23.8464,23.8219,23.7642,23.7903,23.8443,23.7692,23.7128,23.7857,23.7834,23.7669,23.7723,23.7619,23.7614,23.7306,23.7629,23.7997,23.7726,23.7681,23.7805,23.7716,23.7936,23.7693,23.7972,23.7582,23.7552,23.8014,23.809,23.7838,23.6999
-44.7517,0.882156,0.33054,2,3,0,44.8915,0.358841,81.8696,-0.144132,0.358841,81.8696,-0.144132,3.25533e+07,1.36899e+06,57571.6,23.802,23.7405,23.7639,23.7614,23.7612,23.7504,23.7193,23.7503,23.7456,23.8519,23.7863,23.8492,23.8249,23.7674,23.7936,23.8478,23.7729,23.7168,23.7899,23.7878,23.7715,23.7772,23.767,23.7667,23.7362,23.7688,23.806,23.7792,23.7749,23.7878,23.7791,23.8016,23.7777,23.8062,23.7676,23.7654,23.8122,23.8206,23.7966,23.7138
