# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = SNIA_model
# start_datetime = 2023-07-27 14:52:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Modelo1/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprao0mfyc/zvkp49al.json
# random
#   seed = 8918
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output1/snia/SNIA-20230727155215.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,zeta,theta.1,theta.2,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6,dL.7,dL.8,dL.9,dL.10,dL.11,dL.12,dL.13,dL.14,dL.15,dL.16,dL.17,dL.18,dL.19,dL.20,dL.21,dL.22,dL.23,dL.24,dL.25,dL.26,dL.27,dL.28,dL.29,dL.30,dL.31,dL.32,dL.33,dL.34,dL.35,dL.36,dL.37,dL.38,dL.39,dL.40,mbtheo.1,mbtheo.2,mbtheo.3,mbtheo.4,mbtheo.5,mbtheo.6,mbtheo.7,mbtheo.8,mbtheo.9,mbtheo.10,mbtheo.11,mbtheo.12,mbtheo.13,mbtheo.14,mbtheo.15,mbtheo.16,mbtheo.17,mbtheo.18,mbtheo.19,mbtheo.20,mbtheo.21,mbtheo.22,mbtheo.23,mbtheo.24,mbtheo.25,mbtheo.26,mbtheo.27,mbtheo.28,mbtheo.29,mbtheo.30,mbtheo.31,mbtheo.32,mbtheo.33,mbtheo.34,mbtheo.35,mbtheo.36,mbtheo.37,mbtheo.38,mbtheo.39,mbtheo.40,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
-49.605,0.786749,0.15157,2,3,0,49.6928,0.399725,-0.491507,0.399725,-0.491507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25643e+07,1.36923e+06,57571.6,23.8139,23.7538,23.7784,23.7767,23.7772,23.7668,23.7361,23.7673,23.7626,23.8688,23.803,23.8656,23.841,23.783,23.8088,23.8623,23.7867,23.7298,23.8019,23.7989,23.7814,23.7859,23.7743,23.7728,23.7407,23.7716,23.8069,23.7783,23.7721,23.7824,23.7717,23.7916,23.765,23.7902,23.7488,23.7425,23.786,23.7911,23.7635,23.6803
-51.6599,0.873353,0.15157,2,3,0,52.2675,0.388648,-0.489301,0.388648,-0.489301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25572e+07,1.36908e+06,57571.6,23.8138,23.7536,23.7782,23.7765,23.7769,23.7664,23.7356,23.7667,23.762,23.8681,23.8023,23.8648,23.8401,23.7819,23.8077,23.8611,23.7854,23.7283,23.8004,23.7972,23.7796,23.784,23.7721,23.7705,23.7382,23.7689,23.8039,23.775,23.7686,23.7786,23.7675,23.787,23.7599,23.7846,23.7426,23.7355,23.7782,23.7822,23.7527,23.6676
-48.8322,1,0.15157,1,1,0,51.023,0.397863,-0.473952,0.397863,-0.473952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25699e+07,1.36934e+06,57571.6,23.814,23.754,23.7787,23.777,23.7776,23.7673,23.7366,23.7679,23.7633,23.8695,23.8038,23.8665,23.842,23.7841,23.81,23.8636,23.7881,23.7312,23.8035,23.8006,23.7832,23.7879,23.7764,23.775,23.743,23.7741,23.8095,23.781,23.775,23.7855,23.7749,23.795,23.7685,23.794,23.7527,23.7467,23.7904,23.7957,23.7682,23.6849
-49.408,0.863142,0.15157,1,1,0,49.7087,0.396666,-0.480669,0.396666,-0.480669,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25664e+07,1.36927e+06,57571.6,23.8139,23.7539,23.7786,23.7769,23.7774,23.767,23.7363,23.7675,23.7629,23.8691,23.8034,23.866,23.8414,23.7834,23.8093,23.8629,23.7873,23.7304,23.8026,23.7996,23.7822,23.7867,23.7752,23.7737,23.7416,23.7726,23.8079,23.7793,23.7732,23.7836,23.7729,23.7928,23.7662,23.7915,23.75,23.7438,23.7873,23.7923,23.7644,23.6808
-47.1191,0.968472,0.15157,2,3,0,49.8102,0.421211,-0.475275,0.421211,-0.475275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25863e+07,1.36969e+06,57571.6,23.8143,23.7543,23.7792,23.7777,23.7784,23.7682,23.7377,23.7691,23.7647,23.8712,23.8056,23.8686,23.8442,23.7865,23.8126,23.8665,23.7912,23.7346,23.8072,23.8046,23.7876,23.7926,23.7815,23.7805,23.749,23.7805,23.8165,23.7886,23.7831,23.7944,23.7845,23.8055,23.78,23.8066,23.7665,23.7624,23.8079,23.8153,23.7918,23.7125
-47.9669,0.92847,0.15157,5,31,0,48.9146,0.371865,-0.365373,0.371865,-0.365373,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25905e+07,1.36977e+06,57571.6,23.8146,23.7548,23.7798,23.7784,23.7792,23.7693,23.7389,23.7705,23.7662,23.8728,23.8074,23.8705,23.8462,23.7887,23.8149,23.869,23.7938,23.7373,23.8101,23.8075,23.7906,23.7957,23.7847,23.7837,23.7522,23.7837,23.8196,23.7915,23.7859,23.797,23.7868,23.8073,23.7812,23.807,23.766,23.7601,23.8036,23.8083,23.7788,23.6922
-47.5335,0.93076,0.15157,4,19,0,48.6802,0.423395,-0.450959,0.423395,-0.450959,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25978e+07,1.36993e+06,57571.6,23.8145,23.7547,23.7797,23.7783,23.7791,23.7691,23.7387,23.7703,23.766,23.8726,23.8072,23.8704,23.8461,23.7886,23.8149,23.869,23.7939,23.7375,23.8104,23.8079,23.7912,23.7964,23.7856,23.7848,23.7536,23.7855,23.8218,23.7942,23.789,23.8008,23.7912,23.8126,23.7876,23.8148,23.7752,23.7717,23.8178,23.8259,23.8034,23.7248
-46.9924,0.936185,0.15157,4,23,0,48.3168,0.452588,-0.542923,0.452588,-0.542923,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25791e+07,1.36954e+06,57571.6,23.814,23.7539,23.7786,23.777,23.7775,23.7672,23.7365,23.7678,23.7632,23.8695,23.8038,23.8666,23.8421,23.7842,23.8102,23.8639,23.7885,23.7318,23.8042,23.8014,23.7843,23.7891,23.7779,23.7768,23.7451,23.7766,23.8125,23.7845,23.779,23.7903,23.7805,23.8015,23.7762,23.8032,23.7636,23.7603,23.8068,23.8158,23.7956,23.7206
-47.2119,0.933113,0.15157,2,3,0,47.2845,0.460235,-0.535092,0.460235,-0.535092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25876e+07,1.36971e+06,57571.6,23.8141,23.7541,23.7789,23.7774,23.778,23.7677,23.7372,23.7686,23.7641,23.8705,23.8049,23.8678,23.8433,23.7856,23.8117,23.8656,23.7903,23.7337,23.8063,23.8037,23.7867,23.7917,23.7807,23.7798,23.7484,23.7801,23.8162,23.7885,23.7833,23.795,23.7854,23.8069,23.782,23.8096,23.7704,23.7678,23.8151,23.8248,23.8061,23.7323
-47.006,0.966558,0.15157,2,3,0,47.4266,0.458214,-0.544722,0.458214,-0.544722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2582e+07,1.3696e+06,57571.6,23.814,23.754,23.7787,23.7771,23.7776,23.7673,23.7367,23.768,23.7634,23.8698,23.8041,23.8669,23.8424,23.7846,23.8106,23.8644,23.789,23.7323,23.8048,23.8021,23.785,23.7899,23.7788,23.7777,23.7461,23.7777,23.8137,23.7858,23.7804,23.7919,23.7822,23.8034,23.7783,23.8055,23.7661,23.7632,23.8101,23.8195,23.8002,23.726
-47.4764,0.935004,0.15157,3,15,0,47.6417,0.431161,-0.523753,0.431161,-0.523753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25731e+07,1.36941e+06,57571.6,23.8139,23.7538,23.7786,23.7769,23.7774,23.767,23.7363,23.7676,23.763,23.8692,23.8035,23.8662,23.8416,23.7837,23.8096,23.8633,23.7877,23.7309,23.8033,23.8004,23.7831,23.7878,23.7764,23.7752,23.7433,23.7746,23.8102,23.7819,23.7762,23.7871,23.7769,23.7975,23.7716,23.7979,23.7576,23.7531,23.7984,23.8058,23.7828,23.7045
-47.5469,0.864444,0.15157,2,7,0,48.5162,0.441765,-0.487419,0.441765,-0.487419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25958e+07,1.36989e+06,57571.6,23.8144,23.7545,23.7795,23.778,23.7787,23.7687,23.7382,23.7698,23.7654,23.872,23.8065,23.8696,23.8453,23.7877,23.8139,23.868,23.7928,23.7364,23.8092,23.8067,23.7899,23.7951,23.7843,23.7835,23.7523,23.7841,23.8204,23.7928,23.7878,23.7996,23.7901,23.8117,23.7868,23.8143,23.775,23.7722,23.819,23.8281,23.8076,23.7315
-48.3004,0.93344,0.15157,2,3,0,48.3889,0.447911,-0.483148,0.447911,-0.483148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.2602e+07,1.37002e+06,57571.6,23.8145,23.7547,23.7797,23.7783,23.7791,23.769,23.7387,23.7703,23.766,23.8726,23.8073,23.8704,23.8462,23.7887,23.815,23.8692,23.7941,23.7378,23.8107,23.8083,23.7917,23.797,23.7864,23.7857,23.7546,23.7866,23.8231,23.7957,23.7909,23.803,23.7937,23.8156,23.791,23.8189,23.78,23.7777,23.825,23.8347,23.8153,23.7402
-47.0845,0.970077,0.15157,2,3,0,48.6183,0.42938,-0.499221,0.42938,-0.499221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25822e+07,1.3696e+06,57571.6,23.8142,23.7541,23.779,23.7774,23.778,23.7678,23.7372,23.7686,23.7641,23.8704,23.8048,23.8677,23.8432,23.7855,23.8115,23.8653,23.79,23.7333,23.8058,23.8031,23.786,23.7909,23.7798,23.7787,23.7471,23.7785,23.8144,23.7864,23.7809,23.7921,23.7822,23.8031,23.7775,23.8042,23.7641,23.7601,23.8057,23.8135,23.7907,23.7125
-47.3058,0.913883,0.15157,4,19,0,48.3514,0.443644,-0.544677,0.443644,-0.544677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.25725e+07,1.3694e+06,57571.6,23.8139,23.7537,23.7784,23.7767,23.7772,23.7668,23.7361,23.7673,23.7626,23.8688,23.8031,23.8658,23.8412,23.7832,23.8091,23.8627,23.7872,23.7304,23.8027,23.7998,23.7825,23.7872,23.7758,23.7745,23.7427,23.7739,23.8096,23.7814,23.7757,23.7867,23.7766,23.7973,23.7716,23.7982,23.758,23.754,23.7999,23.808,23.7864,23.7099
