lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,lambda,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32
# Adaptation terminated
# Step size = 0.209891
# Diagonal elements of inverse mass matrix:
# 0.00352967, 7.40013, 0.266703
-8.14295,0.985395,0.209891,4,15,0,8.44062,0.297038,63.6091,-0.767282,63.6091,0.297038,-0.767282,66.9797,67.9707,69.4809,72.0605,72.5332,73.5926,73.6459,77.4543,78.0108,82.1082,83.7444,84.9276,84.9514,86.4236,87.6337,89.1631,89.675,89.7801,96.9533,102.723,107.517,109.683,116.404,116.768,118.23,128.516,149.527,154.795,160.493,169.177,189.009,209.316
-9.12407,0.991267,0.209891,4,27,0,9.82317,0.398936,63.3429,-0.346057,63.3429,0.398936,-0.346057,66.3822,67.2943,68.6984,71.1326,71.5831,72.5974,72.6486,76.3432,76.8887,80.9418,82.5765,83.7637,83.7876,85.2703,86.4934,88.0441,88.5643,88.6712,96.0169,101.984,106.971,109.231,116.269,116.65,118.186,129.017,151.248,156.836,162.883,172.105,193.184,214.776
-8.11478,0.970991,0.209891,5,31,0,10.1791,0.240916,65.3539,-0.733926,65.3539,0.240916,-0.733926,68.3034,69.1701,70.4904,72.7455,73.1587,74.085,74.1316,77.4631,77.9501,81.5389,82.9734,84.0113,84.0322,85.3242,86.3868,87.7306,88.1805,88.2729,94.5883,99.6818,103.923,105.841,111.803,112.127,113.426,122.583,141.367,146.091,151.206,159.011,176.877,195.215
-7.49479,0.9919,0.209891,3,15,0,9.09979,0.305857,66.314,-0.44928,66.314,0.305857,-0.44928,69.0124,69.8201,71.0624,73.2138,73.6118,74.5078,74.553,77.8168,78.2987,81.8827,83.3296,84.3811,84.4023,85.7163,86.8009,88.1771,88.639,88.7339,95.269,100.595,105.059,107.085,113.406,113.75,115.132,124.902,145.059,150.142,155.652,164.065,183.344,203.147
-8.79975,0.959827,0.209891,4,15,0,9.54061,0.269039,72.7803,-0.0583721,72.7803,0.269039,-0.0583721,74.9595,75.6242,76.6562,78.4689,78.8074,79.5729,79.6117,82.437,82.8586,86.0238,87.3155,88.2586,88.2777,89.4613,90.4421,91.6914,92.1118,92.1983,98.2031,103.16,107.35,109.26,115.252,115.579,116.895,126.248,145.74,150.686,156.057,164.277,183.179,202.665
-10.111,0.83202,0.209891,3,7,0,13.8801,0.236188,69.3369,-0.0817038,69.3369,0.236188,-0.0817038,71.1714,71.7319,72.603,74.1357,74.4223,75.0708,75.1036,77.502,77.8604,80.5569,81.6596,82.4656,82.4819,83.4944,84.3342,85.4049,85.7655,85.8396,91.0025,95.2807,98.9062,100.562,105.767,106.051,107.196,115.351,132.425,136.771,141.495,148.734,165.414,182.648
-8.3262,0.979112,0.209891,2,7,0,12.3217,0.267416,72.2104,-0.06456,72.2104,0.267416,-0.06456,74.3616,75.0178,76.0365,77.826,78.1602,78.916,78.9542,81.7437,82.16,85.2854,86.561,87.4923,87.5111,88.68,89.6487,90.8825,91.2977,91.3831,97.3143,102.211,106.35,108.238,114.159,114.483,115.783,125.026,144.293,149.183,154.493,162.621,181.311,200.58
-8.12389,0.997568,0.209891,4,15,0,8.65798,0.254246,71.5691,-0.187546,71.5691,0.254246,-0.187546,73.6733,74.3132,75.3055,77.0452,77.3698,78.1033,78.1404,80.844,81.247,84.2705,85.5035,86.4035,86.4216,87.5508,88.4864,89.6779,90.0788,90.1612,95.886,100.612,104.605,106.427,112.141,112.453,113.708,122.632,141.246,145.973,151.106,158.967,177.051,195.706
-7.56361,0.980953,0.209891,4,15,0,8.78154,0.318656,65.8823,0.478331,65.8823,0.318656,0.478331,68.7153,69.5618,70.8623,73.1114,73.5269,74.4621,74.5093,77.9105,78.4122,82.1379,83.64,84.7309,84.7528,86.1153,87.2393,88.6646,89.1428,89.241,95.9981,101.495,106.095,108.182,114.686,115.04,116.46,126.497,147.166,152.373,158.014,166.625,186.341,206.579
-7.51959,0.96986,0.209891,4,15,0,8.06424,0.266508,67.8785,0.59096,67.8785,0.266508,0.59096,70.6907,71.5249,72.802,74.9995,75.4042,76.3135,76.3593,79.6528,80.137,83.7234,85.1653,86.2112,86.2323,87.5372,88.6129,89.9758,90.4328,90.5267,96.9734,102.208,106.585,108.569,114.754,115.09,116.44,125.983,145.646,150.603,155.976,164.18,182.983,202.305
-8.83578,0.986814,0.209891,4,15,0,9.20479,0.238594,72.6502,0.309366,72.6502,0.238594,0.309366,74.8106,75.4637,76.4733,78.2359,78.5637,79.3039,79.3413,82.0599,82.4641,85.4894,86.7201,87.6175,87.6356,88.7606,89.692,90.8773,91.2759,91.3579,97.0411,101.723,105.677,107.479,113.131,113.439,114.68,123.5,141.895,146.567,151.642,159.413,177.297,195.755
-9.16473,0.702711,0.209891,3,7,0,13.0284,0.244982,69.5768,-0.0895357,69.5768,0.244982,-0.0895357,71.4879,72.0713,72.9778,74.5716,74.8694,75.5433,75.5774,78.0678,78.4398,81.2364,82.3793,83.2143,83.2311,84.2797,85.1493,86.2576,86.6307,86.7074,92.0459,96.4645,100.206,101.914,107.279,107.572,108.751,117.147,134.701,139.165,144.015,151.446,168.557,186.224
-8.82643,0.989976,0.209891,5,31,0,9.49489,0.285375,62.6787,-0.898295,62.6787,0.285375,-0.898295,66.3939,67.4801,69.1302,71.9358,72.4482,73.595,73.6526,77.7557,78.3529,82.7345,84.4768,85.7345,85.7597,87.3218,88.6038,90.2215,90.7622,90.8732,98.4222,104.461,109.459,111.712,118.688,119.065,120.579,131.207,152.807,158.206,164.04,172.92,193.165,213.853
-9.58885,0.469327,0.209891,2,7,0,10.7251,0.262395,61.2351,-0.87463,61.2351,0.262395,-0.87463,64.6218,65.6117,67.1155,69.6725,70.1395,71.1846,71.2372,74.9776,75.5222,79.5185,81.1083,82.256,82.2791,83.7049,84.8754,86.3526,86.8465,86.9478,93.8466,99.3708,103.947,106.01,112.404,112.749,114.138,123.89,143.744,148.712,154.082,162.26,180.921,200.008
-8.99117,0.462584,0.209891,4,15,0,10.3852,0.209623,62.3741,-0.978286,62.3741,0.209623,-0.978286,65.88,66.8982,68.4395,71.0467,71.5211,72.5811,72.6343,76.4082,76.9554,80.9544,82.5381,83.6791,83.702,85.1169,86.2764,87.7372,88.225,88.3251,95.1111,100.513,104.972,106.977,113.177,113.512,114.855,124.269,143.343,148.102,153.242,161.062,178.877,197.07
-11.8469,0.19358,0.209891,2,5,0,15.4833,0.184311,62.7966,-1.19462,62.7966,0.184311,-1.19462,67.1908,68.4621,70.3822,73.6182,74.2055,75.5158,75.5815,80.2262,80.8971,85.7817,87.7071,89.0912,89.119,90.8318,92.2327,93.9941,94.5815,94.702,102.829,109.247,114.511,116.872,124.135,124.525,126.093,137.025,158.938,164.364,170.209,179.073,199.156,219.536
-11.8469,0.671859,0.209891,1,3,0,12.0283,0.184311,62.7966,-1.19462,62.7966,0.184311,-1.19462,67.1908,68.4621,70.3822,73.6182,74.2055,75.5158,75.5815,80.2262,80.8971,85.7817,87.7071,89.0912,89.119,90.8318,92.2327,93.9941,94.5815,94.702,102.829,109.247,114.511,116.872,124.135,124.525,126.093,137.025,158.938,164.364,170.209,179.073,199.156,219.536
-11.8469,0.21484,0.209891,3,13,0,14.9956,0.184311,62.7966,-1.19462,62.7966,0.184311,-1.19462,67.1908,68.4621,70.3822,73.6182,74.2055,75.5158,75.5815,80.2262,80.8971,85.7817,87.7071,89.0912,89.119,90.8318,92.2327,93.9941,94.5815,94.702,102.829,109.247,114.511,116.872,124.135,124.525,126.093,137.025,158.938,164.364,170.209,179.073,199.156,219.536
-9.29582,0.428882,0.209891,3,7,0,9.80239,0.184931,61.8077,-1.06867,61.8077,0.184931,-1.06867,65.5146,66.5873,68.2082,70.9415,71.4378,72.5455,72.6011,76.5318,77.1001,81.2425,82.8777,84.0541,84.0777,85.5344,86.7266,88.2268,88.7273,88.83,95.7688,101.266,105.786,107.816,114.074,114.411,115.764,125.221,144.278,149.016,154.126,161.889,179.53,197.498
