lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
# Adaptation terminated
# Step size = 0.447001
# Diagonal elements of inverse mass matrix:
# 0.000213518, 0.033302
-49.8403,0.938323,0.447001,2,5,0,50.4198,0.280599,-0.0560978,0.280599,-0.0560978,3.26153e+07,1.3703e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7428,23.7748,23.771,23.8782,23.8132,23.8769,23.853,23.7961,23.8227,23.8773,23.8027,23.7467,23.82,23.8179,23.8016,23.8071,23.7966,23.796,23.765,23.7969,23.8332,23.8054,23.8,23.8112,23.8009,23.8213,23.7948,23.8198,23.7777,23.7694,23.8101,23.8103,23.7702,23.6696
-49.9885,0.997665,0.447001,3,7,0,50.164,0.27763,-0.0967464,0.27763,-0.0967464,3.26137e+07,1.37026e+06,57571.6,23.8156,23.7562,23.7817,23.7807,23.782,23.7725,23.7427,23.7747,23.7709,23.878,23.813,23.8768,23.8528,23.7959,23.8225,23.8771,23.8024,23.7464,23.8197,23.8176,23.8012,23.8067,23.7962,23.7955,23.7644,23.7963,23.8325,23.8047,23.7992,23.8103,23.8,23.8202,23.7936,23.8185,23.7762,23.7678,23.8082,23.8082,23.7676,23.6663
-49.927,0.998394,0.447001,2,5,0,50.1346,0.278857,-0.0540086,0.278857,-0.0540086,3.26132e+07,1.37025e+06,57571.6,23.8156,23.7561,23.7816,23.7807,23.7819,23.7724,23.7426,23.7746,23.7708,23.8779,23.8129,23.8766,23.8527,23.7958,23.8224,23.8769,23.8023,23.7462,23.8195,23.8174,23.801,23.8064,23.7959,23.7953,23.7642,23.796,23.8322,23.8044,23.7989,23.81,23.7997,23.82,23.7934,23.8182,23.776,23.7675,23.808,23.808,23.7675,23.6664
-51.0179,0.903802,0.447001,2,3,0,51.9796,0.287189,-0.201557,0.287189,-0.201557,3.26344e+07,1.3707e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7445,23.7768,23.7732,23.8806,23.8158,23.8799,23.8562,23.7996,23.8265,23.8814,23.8071,23.7514,23.8251,23.8234,23.8074,23.8133,23.8033,23.8031,23.7725,23.8049,23.8417,23.8145,23.8096,23.8215,23.8119,23.833,23.8073,23.8333,23.792,23.7852,23.8271,23.8289,23.7913,23.6931
-51.0179,0.016061,0.447001,2,3,0,58.8411,0.287189,-0.201557,0.287189,-0.201557,3.26344e+07,1.3707e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7445,23.7768,23.7732,23.8806,23.8158,23.8799,23.8562,23.7996,23.8265,23.8814,23.8071,23.7514,23.8251,23.8234,23.8074,23.8133,23.8033,23.8031,23.7725,23.8049,23.8417,23.8145,23.8096,23.8215,23.8119,23.833,23.8073,23.8333,23.792,23.7852,23.8271,23.8289,23.7913,23.6931
-50.1172,0.744888,0.447001,3,7,0,52.151,0.275221,-0.138375,0.275221,-0.138375,3.26139e+07,1.37027e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7427,23.7748,23.771,23.8781,23.8131,23.8769,23.8529,23.796,23.8226,23.8772,23.8026,23.7466,23.8198,23.8177,23.8013,23.8068,23.7963,23.7957,23.7646,23.7964,23.8326,23.8048,23.7993,23.8104,23.8001,23.8203,23.7936,23.8184,23.7761,23.7676,23.8079,23.8077,23.7668,23.6651
-50.6709,0.975242,0.447001,2,3,0,50.7443,0.277585,-0.247462,0.277585,-0.247462,3.26295e+07,1.37059e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7738,23.7442,23.7765,23.7728,23.8802,23.8154,23.8794,23.8556,23.799,23.8258,23.8806,23.8063,23.7505,23.8241,23.8223,23.8062,23.812,23.8019,23.8015,23.7708,23.8031,23.8397,23.8123,23.8072,23.8189,23.809,23.8298,23.8038,23.8293,23.7877,23.7801,23.8214,23.8222,23.783,23.6829
-51.2855,0.935703,0.447001,3,7,0,51.7138,0.275232,-0.295239,0.275232,-0.295239,3.26347e+07,1.3707e+06,57571.6,23.8162,23.7569,23.7827,23.782,23.7834,23.7742,23.7447,23.7771,23.7735,23.8809,23.8162,23.8803,23.8566,23.8001,23.827,23.8819,23.8076,23.752,23.8256,23.8239,23.808,23.8138,23.8038,23.8036,23.773,23.8054,23.8421,23.8148,23.8099,23.8217,23.812,23.8329,23.807,23.8327,23.7912,23.7839,23.8253,23.8263,23.7872,23.6871
-51.5026,0.8787,0.447001,1,1,0,52.004,0.276387,-0.29826,0.276387,-0.29826,3.26366e+07,1.37074e+06,57571.6,23.8162,23.7569,23.7827,23.782,23.7835,23.7744,23.7449,23.7772,23.7737,23.8812,23.8165,23.8806,23.8569,23.8004,23.8273,23.8823,23.808,23.7524,23.8261,23.8244,23.8085,23.8144,23.8045,23.8043,23.7737,23.8061,23.843,23.8157,23.8109,23.8227,23.8131,23.8341,23.8083,23.8341,23.7927,23.7855,23.827,23.8282,23.7895,23.6897
-49.9626,0.995007,0.447001,2,7,0,52.8367,0.282793,-0.131124,0.282793,-0.131124,3.26222e+07,1.37044e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7825,23.7731,23.7434,23.7755,23.7718,23.879,23.8141,23.878,23.8541,23.7974,23.8241,23.8788,23.8043,23.7484,23.8218,23.8199,23.8037,23.8093,23.799,23.7986,23.7677,23.7998,23.8362,23.8086,23.8034,23.8149,23.8049,23.8255,23.7993,23.8246,23.7828,23.775,23.8162,23.8169,23.7778,23.6779
-50.4439,0.955975,0.447001,2,7,0,51.177,0.290438,0.121031,0.290438,0.121031,3.26303e+07,1.37061e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.7829,23.7736,23.744,23.7762,23.7726,23.8799,23.8151,23.8791,23.8553,23.7987,23.8255,23.8803,23.806,23.7502,23.8238,23.822,23.806,23.8118,23.8017,23.8014,23.7707,23.803,23.8398,23.8124,23.8075,23.8193,23.8096,23.8306,23.8048,23.8306,23.7893,23.7824,23.8243,23.826,23.7885,23.6904
-51.0088,0.92069,0.447001,3,7,0,52.1735,0.28756,-0.197808,0.28756,-0.197808,3.26344e+07,1.3707e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7444,23.7768,23.7732,23.8806,23.8158,23.8799,23.8561,23.7996,23.8265,23.8814,23.8071,23.7514,23.8251,23.8233,23.8074,23.8133,23.8033,23.8031,23.7725,23.8049,23.8417,23.8145,23.8096,23.8215,23.8119,23.833,23.8073,23.8333,23.7921,23.7852,23.8272,23.8289,23.7915,23.6932
-49.9202,0.941443,0.447001,3,7,0,51.4075,0.279192,-0.110926,0.279192,-0.110926,3.26164e+07,1.37032e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.7429,23.775,23.7712,23.8784,23.8134,23.8772,23.8532,23.7964,23.823,23.8776,23.803,23.7471,23.8204,23.8183,23.802,23.8075,23.7971,23.7965,23.7655,23.7974,23.8337,23.806,23.8006,23.8118,23.8016,23.8219,23.7955,23.8205,23.7784,23.7701,23.8108,23.811,23.7708,23.67
-51.0574,0.961528,0.447001,2,3,0,51.6818,0.290964,0.168299,0.290964,0.168299,3.26351e+07,1.37071e+06,57571.6,23.8161,23.7568,23.7825,23.7818,23.7832,23.774,23.7444,23.7768,23.7732,23.8806,23.8158,23.8799,23.8562,23.7996,23.8265,23.8814,23.8071,23.7515,23.8251,23.8234,23.8075,23.8134,23.8034,23.8032,23.7726,23.8051,23.8419,23.8147,23.8099,23.8219,23.8123,23.8334,23.8078,23.8339,23.7928,23.7862,23.8283,23.8303,23.7933,23.6957
-50.4865,1,0.447001,3,7,0,51.1352,0.286212,0.17178,0.286212,0.17178,3.26299e+07,1.3706e+06,57571.6,23.816,23.7566,23.7823,23.7815,23.7829,23.7736,23.744,23.7763,23.7727,23.88,23.8152,23.8792,23.8554,23.7988,23.8256,23.8804,23.806,23.7503,23.8239,23.822,23.806,23.8118,23.8017,23.8014,23.7707,23.803,23.8397,23.8123,23.8073,23.8191,23.8093,23.8302,23.8043,23.8301,23.7887,23.7815,23.8232,23.8246,23.7866,23.6878
-50.3695,1,0.447001,1,1,0,50.5609,0.285209,0.169743,0.285209,0.169743,3.26285e+07,1.37057e+06,57571.6,23.8159,23.7566,23.7823,23.7815,23.7829,23.7735,23.7439,23.7762,23.7725,23.8798,23.815,23.879,23.8552,23.7985,23.8253,23.8801,23.8057,23.75,23.8235,23.8217,23.8056,23.8114,23.8013,23.8009,23.7702,23.8024,23.8391,23.8117,23.8066,23.8183,23.8085,23.8294,23.8034,23.8291,23.7876,23.7803,23.8219,23.8232,23.7849,23.6859
-50.1577,0.825696,0.447001,2,7,0,51.6988,0.283456,-0.160079,0.283456,-0.160079,3.26255e+07,1.37051e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7733,23.7437,23.7759,23.7722,23.8795,23.8146,23.8785,23.8547,23.798,23.8248,23.8795,23.8051,23.7493,23.8227,23.8208,23.8047,23.8104,23.8002,23.7998,23.769,23.8012,23.8377,23.8102,23.8051,23.8167,23.8068,23.8275,23.8014,23.8269,23.7853,23.7777,23.8191,23.8201,23.7813,23.6818
-49.993,0.948602,0.447001,2,3,0,50.4844,0.281036,-0.147179,0.281036,-0.147179,3.26215e+07,1.37043e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7755,23.7718,23.879,23.8141,23.8779,23.8541,23.7973,23.824,23.8787,23.8042,23.7483,23.8217,23.8197,23.8035,23.8092,23.7989,23.7984,23.7674,23.7995,23.836,23.8083,23.8031,23.8145,23.8045,23.825,23.7987,23.824,23.7821,23.7743,23.8153,23.8159,23.7764,23.6763
