# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = snia_model
# start_datetime = 2023-07-26 21:07:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model4/Data/snia.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpqyqz0r3g/up79hxi8.json
# random
#   seed = 4883
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output4/snia/snia-20230726220732.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,lambda,theta.1,theta.2,A,B,C,Delta.1,Delta.2,Delta.3,Delta.4,Delta.5,Delta.6,Delta.7,Delta.8,Delta.9,Delta.10,Delta.11,Delta.12,Delta.13,Delta.14,Delta.15,Delta.16,Delta.17,Delta.18,Delta.19,Delta.20,Delta.21,Delta.22,Delta.23,Delta.24,Delta.25,Delta.26,Delta.27,Delta.28,Delta.29,Delta.30,Delta.31,Delta.32,Delta.33,Delta.34,Delta.35,Delta.36,Delta.37,Delta.38,Delta.39,Delta.40
-50.3691,0.978127,0.418132,2,7,0,53.9897,0.294197,-0.00214062,0.294197,-0.00214062,3.26302e+07,1.37061e+06,57571.6,23.8159,23.7566,23.7823,23.7814,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.815,23.879,23.8552,23.7986,23.8254,23.8802,23.8058,23.7501,23.8236,23.8218,23.8058,23.8116,23.8015,23.8012,23.7706,23.8029,23.8396,23.8123,23.8074,23.8192,23.8096,23.8306,23.8049,23.8308,23.7896,23.7828,23.8248,23.8268,23.7898,23.6923
-49.7879,0.999317,0.418132,2,7,0,50.4013,0.286491,0.018281,0.286491,0.018281,3.26213e+07,1.37042e+06,57571.6,23.8158,23.7563,23.7819,23.781,23.7823,23.7729,23.7432,23.7754,23.7716,23.8788,23.8139,23.8777,23.8539,23.7971,23.8238,23.8785,23.8039,23.7481,23.8215,23.8195,23.8033,23.8089,23.7986,23.7981,23.7672,23.7993,23.8358,23.8082,23.803,23.8144,23.8044,23.8251,23.7989,23.8243,23.7825,23.7749,23.8161,23.8171,23.7784,23.6791
-50.8668,0.963478,0.418132,2,7,0,51.3628,0.268488,0.13646,0.268488,0.13646,3.26058e+07,1.3701e+06,57571.6,23.8155,23.756,23.7814,23.7804,23.7816,23.772,23.7421,23.7741,23.7702,23.8772,23.8121,23.8757,23.8517,23.7947,23.8212,23.8756,23.8009,23.7447,23.8178,23.8156,23.799,23.8043,23.7936,23.7928,23.7615,23.7932,23.8291,23.801,23.7953,23.806,23.7954,23.8152,23.7882,23.8125,23.7697,23.7603,23.7999,23.7988,23.7562,23.6528
-50.0435,1,0.418132,2,3,0,50.8647,0.280409,0.160782,0.280409,0.160782,3.2622e+07,1.37044e+06,57571.6,23.8158,23.7564,23.782,23.7812,23.7825,23.7731,23.7434,23.7756,23.7718,23.8791,23.8142,23.878,23.8542,23.7974,23.8241,23.8788,23.8043,23.7485,23.8219,23.8199,23.8037,23.8094,23.7991,23.7986,23.7677,23.7998,23.8362,23.8086,23.8034,23.8148,23.8048,23.8253,23.7991,23.8243,23.7825,23.7746,23.8156,23.8162,23.7767,23.6765
-50.6078,0.962644,0.418132,3,7,0,51.1192,0.289933,-0.144423,0.289933,-0.144423,3.26316e+07,1.37064e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7737,23.7441,23.7764,23.7728,23.8801,23.8153,23.8793,23.8556,23.799,23.8258,23.8806,23.8063,23.7506,23.8242,23.8224,23.8064,23.8122,23.8022,23.8019,23.7713,23.8036,23.8404,23.8131,23.8082,23.82,23.8103,23.8313,23.8056,23.8315,23.7902,23.7833,23.8252,23.827,23.7896,23.6915
-50.2354,0.980549,0.418132,2,3,0,50.9419,0.290688,-0.0871211,0.290688,-0.0871211,3.26284e+07,1.37057e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7734,23.7438,23.776,23.7724,23.8797,23.8148,23.8788,23.855,23.7983,23.8251,23.8799,23.8055,23.7497,23.8233,23.8214,23.8054,23.8111,23.801,23.8007,23.77,23.8022,23.8389,23.8115,23.8065,23.8183,23.8085,23.8294,23.8036,23.8294,23.788,23.781,23.8228,23.8244,23.7868,23.6886
-50.0372,1,0.418132,3,7,0,50.4999,0.290139,0.0505896,0.290139,0.0505896,3.26263e+07,1.37053e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7733,23.7436,23.7758,23.7721,23.8794,23.8145,23.8784,23.8546,23.7979,23.8247,23.8794,23.805,23.7492,23.8227,23.8208,23.8047,23.8104,23.8003,23.7999,23.7691,23.8013,23.8379,23.8105,23.8054,23.8171,23.8073,23.8281,23.8022,23.8279,23.7864,23.7792,23.8209,23.8223,23.7845,23.6861
-50.0678,1,0.418132,3,7,0,50.2029,0.276743,0.0736962,0.276743,0.0736962,3.26115e+07,1.37022e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7425,23.7745,23.7707,23.8777,23.8127,23.8764,23.8524,23.7955,23.8221,23.8766,23.8019,23.7459,23.8191,23.8169,23.8005,23.8059,23.7954,23.7947,23.7635,23.7954,23.8315,23.8036,23.7981,23.8091,23.7987,23.8189,23.7922,23.8169,23.7745,23.7659,23.8062,23.806,23.765,23.6635
-50.8897,0.993023,0.418132,3,7,0,51.4076,0.269667,0.299923,0.269667,0.299923,3.2629e+07,1.37058e+06,57571.6,23.816,23.7567,23.7825,23.7817,23.7831,23.7739,23.7443,23.7766,23.773,23.8803,23.8155,23.8795,23.8558,23.7992,23.826,23.8808,23.8064,23.7507,23.8243,23.8224,23.8064,23.8121,23.802,23.8016,23.7709,23.8031,23.8397,23.8122,23.8071,23.8186,23.8087,23.8294,23.8032,23.8285,23.7866,23.7787,23.8195,23.8199,23.7795,23.6781
-50.4839,1,0.418132,2,3,0,50.8181,0.270303,0.256596,0.270303,0.256596,3.26224e+07,1.37044e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7733,23.7437,23.7758,23.7721,23.8794,23.8145,23.8784,23.8546,23.7979,23.8246,23.8793,23.8048,23.749,23.8224,23.8204,23.8042,23.8099,23.7996,23.7991,23.7682,23.8002,23.8366,23.809,23.8037,23.815,23.8049,23.8253,23.7989,23.824,23.7819,23.7736,23.8141,23.8141,23.7732,23.6714
-50.9698,0.883018,0.418132,2,3,0,51.6502,0.26153,0.263888,0.26153,0.263888,3.26132e+07,1.37025e+06,57571.6,23.8157,23.7563,23.7818,23.7809,23.7822,23.7727,23.743,23.7751,23.7713,23.8784,23.8134,23.8772,23.8533,23.7964,23.823,23.8776,23.8029,23.7469,23.8202,23.8181,23.8017,23.8071,23.7966,23.7959,23.7647,23.7966,23.8327,23.8047,23.7991,23.8101,23.7996,23.8196,23.7927,23.8171,23.7744,23.7652,23.8048,23.8037,23.7607,23.6567
-51.4532,0.92333,0.418132,2,3,0,51.5654,0.262193,0.360433,0.262193,0.360433,3.26325e+07,1.37066e+06,57571.6,23.8162,23.7569,23.7827,23.782,23.7835,23.7743,23.7448,23.7771,23.7736,23.881,23.8163,23.8804,23.8566,23.8001,23.827,23.8819,23.8076,23.7519,23.8255,23.8238,23.8078,23.8136,23.8035,23.8032,23.7725,23.8048,23.8415,23.814,23.809,23.8205,23.8106,23.8313,23.8051,23.8304,23.7885,23.7805,23.8211,23.8212,23.7801,23.6778
-51.0059,0.931944,0.418132,2,3,0,51.8024,0.260345,0.280566,0.260345,0.280566,3.26146e+07,1.37028e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7729,23.7431,23.7752,23.7715,23.8786,23.8137,23.8775,23.8535,23.7967,23.8233,23.8779,23.8033,23.7473,23.8206,23.8185,23.8022,23.8076,23.7971,23.7965,23.7653,23.7972,23.8333,23.8054,23.7999,23.8108,23.8004,23.8204,23.7935,23.818,23.7753,23.7661,23.8057,23.8046,23.7616,23.6575
-51.9963,0.977266,0.418132,3,11,0,52.8162,0.248249,0.424988,0.248249,0.424988,3.26317e+07,1.37064e+06,57571.6,23.8162,23.757,23.7828,23.7821,23.7836,23.7745,23.745,23.7774,23.7738,23.8813,23.8166,23.8807,23.8569,23.8004,23.8273,23.8822,23.8079,23.7522,23.8259,23.8241,23.8081,23.8139,23.8038,23.8034,23.7727,23.8049,23.8414,23.8139,23.8087,23.8201,23.8101,23.8305,23.8041,23.829,23.7868,23.778,23.818,23.817,23.7739,23.6691
-51.4985,1,0.418132,3,7,0,51.8832,0.252502,0.38094,0.252502,0.38094,3.26258e+07,1.37052e+06,57571.6,23.8161,23.7568,23.7825,23.7817,23.7832,23.7739,23.7443,23.7766,23.773,23.8804,23.8156,23.8795,23.8558,23.7991,23.8259,23.8807,23.8063,23.7505,23.824,23.8222,23.806,23.8117,23.8015,23.801,23.7701,23.8022,23.8386,23.811,23.8057,23.8169,23.8067,23.827,23.8004,23.8252,23.7828,23.7739,23.8137,23.8127,23.7696,23.6651
-51.4985,0.0594954,0.418132,1,1,0,52.9987,0.252502,0.38094,0.252502,0.38094,3.26258e+07,1.37052e+06,57571.6,23.8161,23.7568,23.7825,23.7817,23.7832,23.7739,23.7443,23.7766,23.773,23.8804,23.8156,23.8795,23.8558,23.7991,23.8259,23.8807,23.8063,23.7505,23.824,23.8222,23.806,23.8117,23.8015,23.801,23.7701,23.8022,23.8386,23.811,23.8057,23.8169,23.8067,23.827,23.8004,23.8252,23.7828,23.7739,23.8137,23.8127,23.7696,23.6651
-53.8043,0.581532,0.418132,2,5,0,54.2858,0.236039,0.519661,0.236039,0.519661,3.2645e+07,1.37092e+06,57571.6,23.8166,23.7576,23.7836,23.783,23.7847,23.7758,23.7465,23.7791,23.7757,23.8834,23.8189,23.8832,23.8597,23.8034,23.8305,23.8856,23.8116,23.7561,23.83,23.8285,23.8127,23.8188,23.809,23.8089,23.7784,23.8109,23.8478,23.8206,23.8157,23.8274,23.8176,23.8384,23.8122,23.8375,23.7954,23.787,23.827,23.8261,23.7826,23.6767
-52.2932,0.620413,0.418132,2,7,0,53.3466,0.242725,0.384671,0.242725,0.384671,3.2615e+07,1.37029e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7732,23.7435,23.7757,23.772,23.8792,23.8143,23.8781,23.8542,23.7974,23.8241,23.8787,23.8041,23.7482,23.8215,23.8194,23.803,23.8085,23.798,23.7973,23.7661,23.7979,23.834,23.806,23.8003,23.8111,23.8005,23.8203,23.7931,23.8172,23.7741,23.7641,23.8028,23.8005,23.7549,23.6478
-52.3412,0.990866,0.418132,3,7,0,52.4412,0.242155,0.387427,0.242155,0.387427,3.2615e+07,1.37029e+06,57571.6,23.8159,23.7565,23.7821,23.7813,23.7826,23.7732,23.7435,23.7757,23.772,23.8792,23.8143,23.8781,23.8542,23.7974,23.8241,23.8787,23.8041,23.7482,23.8215,23.8194,23.803,23.8085,23.798,23.7973,23.7661,23.7979,23.834,23.806,23.8003,23.8111,23.8005,23.8203,23.7931,23.8171,23.774,23.764,23.8027,23.8003,23.7547,23.6474
-50.7946,0.696202,0.418132,2,7,0,55.1203,0.262919,0.288528,0.262919,0.288528,3.2619e+07,1.37037e+06,57571.6,23.8158,23.7565,23.7821,23.7812,23.7826,23.7732,23.7435,23.7757,23.7719,23.8792,23.8143,23.8781,23.8542,23.7975,23.8242,23.8788,23.8043,23.7484,23.8217,23.8197,23.8035,23.809,23.7986,23.7981,23.7671,23.799,23.8353,23.8075,23.8021,23.8132,23.8029,23.8231,23.7965,23.8212,23.7788,23.77,23.8099,23.8092,23.767,23.6637
-50.8636,0.814606,0.418132,2,3,0,51.6991,0.266523,0.183285,0.266523,0.183285,3.2608e+07,1.37014e+06,57571.6,23.8156,23.7561,23.7815,23.7805,23.7817,23.7722,23.7424,23.7744,23.7705,23.8776,23.8125,23.8762,23.8522,23.7952,23.8217,23.8762,23.8015,23.7454,23.8185,23.8163,23.7998,23.8052,23.7945,23.7938,23.7625,23.7942,23.8302,23.8021,23.7965,23.8072,23.7967,23.8166,23.7896,23.8139,23.7711,23.7618,23.8014,23.8003,23.7576,23.6541
-50.1286,0.935722,0.418132,3,9,0,52.2981,0.289886,-0.0809686,0.289886,-0.0809686,3.26272e+07,1.37055e+06,57571.6,23.8159,23.7565,23.7822,23.7813,23.7827,23.7733,23.7437,23.7759,23.7722,23.8795,23.8147,23.8786,23.8548,23.7981,23.8249,23.8797,23.8052,23.7495,23.823,23.8211,23.805,23.8108,23.8006,23.8002,23.7695,23.8017,23.8384,23.8109,23.8059,23.8176,23.8078,23.8287,23.8028,23.8285,23.787,23.7799,23.8216,23.8231,23.7853,23.6869
-49.9668,0.997426,0.418132,3,7,0,50.3588,0.280934,0.140921,0.280934,0.140921,3.26208e+07,1.37041e+06,57571.6,23.8158,23.7564,23.782,23.7811,23.7824,23.773,23.7433,23.7754,23.7717,23.8789,23.814,23.8778,23.8539,23.7972,23.8239,23.8785,23.804,23.7481,23.8215,23.8196,23.8033,23.8089,23.7986,23.7981,23.7672,23.7992,23.8357,23.808,23.8028,23.8141,23.8041,23.8246,23.7983,23.8235,23.7817,23.7737,23.8147,23.8153,23.7757,23.6755
-49.8992,0.916825,0.418132,3,7,0,50.9039,0.279407,-0.0904238,0.279407,-0.0904238,3.26154e+07,1.3703e+06,57571.6,23.8157,23.7562,23.7817,23.7808,23.782,23.7726,23.7428,23.7749,23.7711,23.8782,23.8132,23.877,23.8531,23.7962,23.8228,23.8774,23.8028,23.7468,23.8201,23.818,23.8017,23.8072,23.7967,23.7961,23.7651,23.797,23.8332,23.8055,23.8001,23.8112,23.801,23.8213,23.7948,23.8198,23.7776,23.7694,23.81,23.8102,23.7699,23.6691
-50.1682,0.975668,0.418132,3,7,0,50.5696,0.291236,0.0609959,0.291236,0.0609959,3.26279e+07,1.37056e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7437,23.776,23.7723,23.8796,23.8147,23.8787,23.8549,23.7982,23.825,23.8798,23.8054,23.7496,23.8231,23.8213,23.8052,23.8109,23.8008,23.8005,23.7697,23.802,23.8387,23.8113,23.8063,23.818,23.8082,23.8291,23.8033,23.829,23.7877,23.7806,23.8224,23.824,23.7865,23.6884
-50.2101,0.978148,0.418132,2,7,0,50.7943,0.285087,0.153091,0.285087,0.153091,3.26267e+07,1.37054e+06,57571.6,23.8159,23.7565,23.7822,23.7814,23.7827,23.7734,23.7438,23.776,23.7723,23.8796,23.8148,23.8787,23.8549,23.7982,23.825,23.8797,23.8053,23.7495,23.823,23.8212,23.805,23.8108,23.8006,23.8002,23.7694,23.8017,23.8383,23.8108,23.8057,23.8173,23.8075,23.8283,23.8023,23.8279,23.7863,23.7789,23.8204,23.8216,23.7831,23.6839
-50.6395,0.985903,0.418132,3,7,0,50.8288,0.272493,0.0139254,0.272493,0.0139254,3.26049e+07,1.37008e+06,57571.6,23.8154,23.7559,23.7813,23.7803,23.7814,23.7718,23.7419,23.7739,23.77,23.877,23.8119,23.8754,23.8514,23.7944,23.8209,23.8753,23.8005,23.7443,23.8174,23.8152,23.7986,23.8039,23.7932,23.7923,23.761,23.7926,23.8286,23.8005,23.7948,23.8055,23.7949,23.8148,23.7878,23.8121,23.7694,23.7601,23.7999,23.799,23.7569,23.6541
-51.1121,0.986936,0.418132,2,5,0,52.0863,0.268946,-0.0740342,0.268946,-0.0740342,3.26023e+07,1.37002e+06,57571.6,23.8154,23.7558,23.7812,23.7802,23.7813,23.7717,23.7418,23.7737,23.7697,23.8767,23.8116,23.8751,23.8511,23.794,23.8205,23.8748,23.8,23.7438,23.8168,23.8145,23.7979,23.8032,23.7924,23.7915,23.7601,23.7916,23.8275,23.7993,23.7935,23.8041,23.7934,23.8131,23.786,23.8101,23.7672,23.7576,23.7971,23.7958,23.7529,23.6494
-49.9293,1,0.418132,2,7,0,51.3789,0.289139,0.0343805,0.289139,0.0343805,3.26247e+07,1.37049e+06,57571.6,23.8158,23.7564,23.7821,23.7812,23.7825,23.7732,23.7435,23.7757,23.772,23.8792,23.8143,23.8782,23.8544,23.7977,23.8244,23.8791,23.8047,23.7488,23.8223,23.8204,23.8042,23.8099,23.7997,23.7993,23.7685,23.8007,23.8372,23.8097,23.8047,23.8162,23.8064,23.8271,23.8011,23.8267,23.7852,23.7778,23.8194,23.8207,23.7826,23.6839
-49.8959,1,0.418132,2,3,0,49.9394,0.288887,0.0205532,0.288887,0.0205532,3.26242e+07,1.37048e+06,57571.6,23.8158,23.7564,23.782,23.7812,23.7825,23.7731,23.7434,23.7756,23.7719,23.8791,23.8143,23.8781,23.8543,23.7976,23.8243,23.879,23.8045,23.7487,23.8222,23.8202,23.8041,23.8098,23.7995,23.7991,23.7683,23.8005,23.837,23.8095,23.8044,23.8159,23.8061,23.8268,23.8008,23.8263,23.7848,23.7774,23.8189,23.8202,23.782,23.6833
-50.4446,0.978644,0.418132,3,11,0,50.6198,0.269071,0.224545,0.269071,0.224545,3.26162e+07,1.37031e+06,57571.6,23.8157,23.7563,23.7819,23.781,23.7823,23.7728,23.7431,23.7752,23.7714,23.8786,23.8137,23.8774,23.8535,23.7967,23.8233,23.878,23.8034,23.7474,23.8207,23.8187,23.8023,23.8078,23.7974,23.7968,23.7657,23.7976,23.8338,23.806,23.8006,23.8117,23.8014,23.8216,23.7949,23.8197,23.7773,23.7686,23.8087,23.8083,23.7667,23.6642
-50.5584,0.909766,0.418132,3,7,0,51.1864,0.271459,0.110627,0.271459,0.110627,3.26073e+07,1.37013e+06,57571.6,23.8155,23.756,23.7815,23.7804,23.7816,23.7721,23.7422,23.7742,23.7703,23.8773,23.8123,23.8759,23.8519,23.7949,23.8214,23.8759,23.8011,23.745,23.8181,23.8159,23.7994,23.8048,23.7941,23.7933,23.762,23.7937,23.8297,23.8017,23.796,23.8068,23.7963,23.8162,23.7893,23.8137,23.7711,23.7619,23.8017,23.8009,23.7589,23.6562
-49.8032,0.996159,0.418132,2,7,0,50.8282,0.282207,0.0649546,0.282207,0.0649546,3.26175e+07,1.37034e+06,57571.6,23.8157,23.7562,23.7818,23.7809,23.7821,23.7727,23.7429,23.775,23.7713,23.8784,23.8135,23.8772,23.8533,23.7965,23.8231,23.8778,23.8032,23.7472,23.8206,23.8185,23.8022,23.8078,23.7974,23.7968,23.7658,23.7978,23.8341,23.8064,23.8011,23.8124,23.8022,23.8227,23.7963,23.8214,23.7794,23.7713,23.8122,23.8127,23.773,23.6728
-51.0345,0.880221,0.418132,2,3,0,52.945,0.296746,0.0834204,0.296746,0.0834204,3.26353e+07,1.37072e+06,57571.6,23.816,23.7567,23.7825,23.7817,23.7831,23.7739,23.7443,23.7766,23.7731,23.8804,23.8157,23.8797,23.856,23.7995,23.8263,23.8812,23.807,23.7513,23.825,23.8232,23.8073,23.8132,23.8033,23.8031,23.7725,23.805,23.8419,23.8147,23.81,23.822,23.8125,23.8337,23.8082,23.8344,23.7935,23.787,23.8295,23.8318,23.7956,23.6988
-49.9034,0.988165,0.418132,2,7,0,51.8785,0.279266,0.0848017,0.279266,0.0848017,3.2615e+07,1.37029e+06,57571.6,23.8156,23.7562,23.7817,23.7808,23.782,23.7725,23.7428,23.7748,23.771,23.8781,23.8132,23.8769,23.853,23.7961,23.8227,23.8773,23.8027,23.7467,23.82,23.8179,23.8015,23.807,23.7966,23.796,23.7649,23.7968,23.833,23.8052,23.7998,23.811,23.8007,23.821,23.7945,23.8195,23.7773,23.769,23.8096,23.8097,23.7694,23.6685
-50.3279,0.981286,0.418132,3,9,0,50.5949,0.293808,-0.0130277,0.293808,-0.0130277,3.26298e+07,1.3706e+06,57571.6,23.8159,23.7566,23.7822,23.7814,23.7828,23.7735,23.7439,23.7761,23.7725,23.8798,23.815,23.8789,23.8551,23.7985,23.8253,23.8801,23.8057,23.75,23.8235,23.8217,23.8057,23.8115,23.8014,23.8011,23.7704,23.8027,23.8395,23.8121,23.8072,23.819,23.8093,23.8303,23.8046,23.8305,23.7893,23.7824,23.8244,23.8263,23.7893,23.6917
-49.9829,0.903033,0.418132,3,7,0,52.4269,0.278056,0.0485715,0.278056,0.0485715,3.26121e+07,1.37023e+06,57571.6,23.8156,23.7561,23.7816,23.7806,23.7818,23.7723,23.7425,23.7745,23.7707,23.8778,23.8128,23.8765,23.8525,23.7956,23.8222,23.8767,23.802,23.746,23.8192,23.8171,23.8006,23.8061,23.7956,23.7949,23.7637,23.7956,23.8317,23.8039,23.7984,23.8094,23.7991,23.8193,23.7926,23.8174,23.7751,23.7665,23.8069,23.8068,23.7661,23.6648
-50.6256,0.958465,0.418132,3,7,0,51.5905,0.284244,0.199778,0.284244,0.199778,3.26308e+07,1.37062e+06,57571.6,23.816,23.7567,23.7824,23.7816,23.783,23.7737,23.7442,23.7764,23.7728,23.8802,23.8154,23.8794,23.8556,23.799,23.8258,23.8807,23.8063,23.7506,23.8242,23.8224,23.8064,23.8122,23.8021,23.8018,23.7711,23.8034,23.8401,23.8128,23.8078,23.8195,23.8098,23.8307,23.8048,23.8306,23.7892,23.782,23.8236,23.8249,23.7867,23.6877
